game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,0,0,0:12:00,0:00:00,0:00:00,2,ORL,jump ball,,Dwight Powell,Mo Bamba,,,,,,,Mo Bamba,,Cole Anthony,,,,jump ball,,,,,,Jump Ball Bamba vs. Powell: Tip to Anthony
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,0,2,0:11:34,0:00:26,0:00:26,3,ORL,shot,,,,,,,,,,Cole Anthony,2,,,made,,layup,8,62,51,31.2,83.9,Anthony 8' Driving Finger Roll Layup (2 PTS)
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,3,2,0:11:15,0:00:45,0:00:19,4,DAL,shot,Luka Doncic,,,,,,,,,Maxi Kleber,3,,,made,,3pt jump shot,25,233,83,1.6999999999999993,13.3,Kleber 25' 3PT Jump Shot (3 PTS) (Doncic 1 AST)
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,3,4,0:10:59,0:01:01,0:00:16,5,ORL,shot,Jalen Suggs,,,,,,,,,Franz Wagner,2,,,made,,hook shot,4,-36,21,21.4,86.9,F. Wagner 4' Driving Bank Hook Shot (2 PTS) (Suggs 1 AST)
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,5,4,0:10:40,0:01:20,0:00:19,6,DAL,shot,Luka Doncic,,,,,,,,,Dwight Powell,2,,,made,,dunk,5,-28,36,27.8,8.6,Powell 5' Alley Oop Dunk (2 PTS) (Doncic 2 AST)
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,5,6,0:10:21,0:01:39,0:00:19,7,ORL,shot,Jalen Suggs,,,,,,,,,Wendell Carter Jr.,2,,,made,,layup,3,26,6,27.6,88.4,Carter Jr. 3' Layup (2 PTS) (Suggs 2 AST)
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,8,6,0:10:00,0:02:00,0:00:21,8,DAL,shot,Dorian Finney-Smith,,,,,,,,,Luka Doncic,3,,,made,,3pt jump shot,24,227,83,2.299999999999997,13.3,Doncic 24' 3PT Jump Shot (3 PTS) (Finney-Smith 1 AST)
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,8,6,0:09:41,0:02:19,0:00:19,9,ORL,shot,,,,,,,,,,Jalen Suggs,0,,,missed,,jump shot,17,102,131,35.2,75.9,MISS Suggs 17' Pullup Jump Shot
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,8,6,0:09:39,0:02:21,0:00:02,10,DAL,rebound,,,,,,,,,,Jalen Brunson,,,,,,rebound defensive,,,,,,Brunson REBOUND (Off:0 Def:1)
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,8,6,0:09:24,0:02:36,0:00:15,11,DAL,shot,,,,,,,,,,Luka Doncic,0,,,missed,,3pt pullup jump shot,31,-210,227,46.0,27.700000000000003,MISS Doncic 31' 3PT Pullup Jump Shot
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,8,6,0:09:21,0:02:39,0:00:03,12,ORL,rebound,,,,,,,,,,Wendell Carter Jr.,,,,,,rebound defensive,,,,,,Carter Jr. REBOUND (Off:0 Def:1)
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,8,6,0:09:18,0:02:42,0:00:03,13,ORL,turnover,,,,,,,,,,Wendell Carter Jr.,,,traveling,,,traveling,,,,,,Carter Jr. Traveling Turnover (P1.T1)
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,11,6,0:09:07,0:02:53,0:00:11,14,DAL,shot,Luka Doncic,,,,,,,,,Dorian Finney-Smith,3,,,made,,3pt jump shot,27,-135,236,38.5,28.6,Finney-Smith 27' 3PT Jump Shot (3 PTS) (Doncic 3 AST)
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,11,6,0:08:54,0:03:06,0:00:13,15,ORL,turnover,,,,,,,,,,Jalen Suggs,,,bad pass,,Dwight Powell,bad pass,,,,,,Suggs Bad Pass Turnover (P1.T2): Powell STEAL (1 STL)
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,13,6,0:08:51,0:03:09,0:00:03,16,DAL,shot,,,,,,,,,,Dwight Powell,2,,,made,,dunk,4,1,43,24.9,9.3,Powell 4' Running Dunk (4 PTS)
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,13,6,0:08:50,0:03:10,0:00:01,17,ORL,timeout,,,,,,,,,,,,,,,,timeout: regular,,,,,,MAGIC Timeout: Regular (Full 1 Short 0)
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,13,6,0:08:34,0:03:26,0:00:16,18,ORL,turnover,,,,,,,,,,Franz Wagner,,,bad pass,,,bad pass,,,,,,F. Wagner Out of Bounds - Bad Pass Turnover Turnover (P1.T3)
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,13,6,0:08:13,0:03:47,0:00:21,19,ORL,technical foul,,,,,,,,,,Mo Bamba,,,,,,defensive 3 seconds,,,,,,MAGIC T.Foul (Def. 3 Sec Bamba ) (B.Adams)
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,14,6,0:08:13,0:03:47,0:00:00,20,DAL,free throw,,,,,,,1,,1,Jalen Brunson,1,,,made,,free throw technical,,,,,,Brunson Free Throw Technical (1 PTS)
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,14,6,0:08:04,0:03:56,0:00:09,21,DAL,shot,,,,,,,,,,Jalen Brunson,0,,,missed,,3pt pullup jump shot,27,146,222,10.399999999999999,27.200000000000003,MISS Brunson 27' 3PT Pullup Jump Shot
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,14,6,0:08:02,0:03:58,0:00:02,22,ORL,rebound,,,,,,,,,,Mo Bamba,,,,,,rebound defensive,,,,,,Bamba REBOUND (Off:0 Def:1)
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,14,8,0:07:50,0:04:10,0:00:12,23,ORL,shot,,,,,,,,,,Mo Bamba,2,,,made,,layup,6,55,19,30.5,87.1,Bamba 6' Layup (2 PTS)
22100755,2021-22 Regular Season,2022-01-30,Dwight Powell,Maxi Kleber,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Mo Bamba,Cole Anthony,Franz Wagner,Jalen Suggs,Wendell Carter Jr.,1,14,8,0:07:31,0:04:29,0:00:19,24,DAL,shot,,,,,,,,,,Maxi Kleber,0,,,missed,,layup,4,37,22,21.3,7.2,MISS Kleber 4' Layup
