game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100775,2021-22 Regular Season,2022-02-02,Mason Plumlee,Miles Bridges,Terry Rozier,LaMelo Ball,P.J. Washington,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100775,2021-22 Regular Season,2022-02-02,Mason Plumlee,Miles Bridges,Terry Rozier,LaMelo Ball,P.J. Washington,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,1,0,0,0:12:00,0:00:00,0:00:00,2,BOS,jump ball,,Mason Plumlee,Robert Williams III,,,,,,,Robert Williams III,,Al Horford,,,,jump ball,,,,,,Jump Ball Williams III vs. Plumlee: Tip to Horford
22100775,2021-22 Regular Season,2022-02-02,Mason Plumlee,Miles Bridges,Terry Rozier,LaMelo Ball,P.J. Washington,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,1,0,0,0:11:38,0:00:22,0:00:22,3,BOS,shot,,,,,,,,,,Marcus Smart,0,,,missed,,3pt jump shot,26,-44,251,20.6,63.9,MISS Smart 25' 3PT Jump Shot
22100775,2021-22 Regular Season,2022-02-02,Mason Plumlee,Miles Bridges,Terry Rozier,LaMelo Ball,P.J. Washington,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,1,0,0,0:11:36,0:00:24,0:00:02,4,CHA,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound defensive,,,,,,Plumlee REBOUND (Off:0 Def:1)
22100775,2021-22 Regular Season,2022-02-02,Mason Plumlee,Miles Bridges,Terry Rozier,LaMelo Ball,P.J. Washington,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,1,0,0,0:11:20,0:00:40,0:00:16,5,CHA,shot,,,,,,,,,,Miles Bridges,0,,,missed,,jump shot,15,147,10,10.299999999999999,6.0,MISS Bridges 15' Pullup Jump Shot
22100775,2021-22 Regular Season,2022-02-02,Mason Plumlee,Miles Bridges,Terry Rozier,LaMelo Ball,P.J. Washington,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,1,0,0,0:11:17,0:00:43,0:00:03,6,CHA,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound offensive,,,,,,Plumlee REBOUND (Off:1 Def:1)
22100775,2021-22 Regular Season,2022-02-02,Mason Plumlee,Miles Bridges,Terry Rozier,LaMelo Ball,P.J. Washington,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,1,0,0,0:11:15,0:00:45,0:00:02,7,CHA,turnover,,,,,,,,,,Mason Plumlee,,,bad pass,,Robert Williams III,bad pass,,,,,,Williams III STEAL (1 STL): Plumlee Bad Pass Turnover (P1.T1)
22100775,2021-22 Regular Season,2022-02-02,Mason Plumlee,Miles Bridges,Terry Rozier,LaMelo Ball,P.J. Washington,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,1,0,0,0:11:10,0:00:50,0:00:05,8,BOS,shot,,,,,,,,,,Jaylen Brown,0,,,missed,,layup,3,-10,25,24.0,86.5,MISS Brown 3' Running Reverse Layup
22100775,2021-22 Regular Season,2022-02-02,Mason Plumlee,Miles Bridges,Terry Rozier,LaMelo Ball,P.J. Washington,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,1,0,0,0:11:09,0:00:51,0:00:01,9,BOS,rebound,,,,,,,,,,Robert Williams III,,,,,,rebound offensive,,,,,,Williams III REBOUND (Off:1 Def:0)
22100775,2021-22 Regular Season,2022-02-02,Mason Plumlee,Miles Bridges,Terry Rozier,LaMelo Ball,P.J. Washington,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,1,0,2,0:11:09,0:00:51,0:00:00,10,BOS,shot,,,,,,,,,,Robert Williams III,2,,,made,,dunk,0,0,0,25.0,89.0,Williams III Tip Dunk Shot (2 PTS)
22100775,2021-22 Regular Season,2022-02-02,Mason Plumlee,Miles Bridges,Terry Rozier,LaMelo Ball,P.J. Washington,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,1,0,2,0:10:46,0:01:14,0:00:23,11,CHA,shot,,,,,,,,,,Terry Rozier,0,,,missed,,layup,7,51,47,19.9,9.7,MISS Rozier 7' Driving Finger Roll Layup
22100775,2021-22 Regular Season,2022-02-02,Mason Plumlee,Miles Bridges,Terry Rozier,LaMelo Ball,P.J. Washington,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,1,0,2,0:10:46,0:01:14,0:00:00,12,BOS,rebound,,,,,,,,,,Robert Williams III,,,,,,rebound defensive,,,,,,Williams III REBOUND (Off:1 Def:1)
22100775,2021-22 Regular Season,2022-02-02,Mason Plumlee,Miles Bridges,Terry Rozier,LaMelo Ball,P.J. Washington,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,1,0,4,0:10:40,0:01:20,0:00:06,13,BOS,shot,Marcus Smart,,,,,,,,,Jaylen Brown,2,,,made,,jump shot,17,21,167,27.1,72.3,Brown 17' Pullup Jump Shot (2 PTS) (Smart 1 AST)
22100775,2021-22 Regular Season,2022-02-02,Mason Plumlee,Miles Bridges,Terry Rozier,LaMelo Ball,P.J. Washington,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,1,3,4,0:10:13,0:01:47,0:00:27,14,CHA,shot,Mason Plumlee,,,,,,,,,LaMelo Ball,3,,,made,,3pt jump shot,23,230,13,2.0,6.3,Ball 3PT Jump Shot (3 PTS) (Plumlee 1 AST)
22100775,2021-22 Regular Season,2022-02-02,Mason Plumlee,Miles Bridges,Terry Rozier,LaMelo Ball,P.J. Washington,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,1,3,4,0:10:03,0:01:57,0:00:10,15,BOS,turnover,,,,,,,,,,Jaylen Brown,,,out of bounds lost ball,,,out of bounds lost ball,,,,,,Brown Out of Bounds Lost Ball Turnover (P1.T1)
22100775,2021-22 Regular Season,2022-02-02,Mason Plumlee,Miles Bridges,Terry Rozier,LaMelo Ball,P.J. Washington,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,1,5,4,0:09:50,0:02:10,0:00:13,16,CHA,shot,,,,,,,,,,Miles Bridges,2,,,made,,driving reverse layup,4,-34,13,28.4,6.3,Bridges 4' Driving Reverse Layup (2 PTS)
22100775,2021-22 Regular Season,2022-02-02,Mason Plumlee,Miles Bridges,Terry Rozier,LaMelo Ball,P.J. Washington,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,1,5,4,0:09:33,0:02:27,0:00:17,17,BOS,shot,,,,,,,,,,Jayson Tatum,0,,,missed,,driving floating jump shot,5,-42,31,20.8,85.9,MISS Tatum 5' Driving Floating Jump Shot
22100775,2021-22 Regular Season,2022-02-02,Mason Plumlee,Miles Bridges,Terry Rozier,LaMelo Ball,P.J. Washington,Robert Williams III,Al Horford,Marcus Smart,Jaylen Brown,Jayson Tatum,1,5,4,0:09:31,0:02:29,0:00:02,18,CHA,rebound,,,,,,,,,,P.J. Washington,,,,,,rebound defensive,,,,,,Washington REBOUND (Off:0 Def:1)
