game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100788,2021-22 Regular Season,2022-02-04,Robert Williams III,Marcus Smart,Jaylen Brown,Al Horford,Jayson Tatum,Isaiah Stewart,Hamidou Diallo,Saddiq Bey,Cory Joseph,Jerami Grant,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100788,2021-22 Regular Season,2022-02-04,Robert Williams III,Marcus Smart,Jaylen Brown,Al Horford,Jayson Tatum,Isaiah Stewart,Hamidou Diallo,Saddiq Bey,Cory Joseph,Jerami Grant,1,0,0,0:12:00,0:00:00,0:00:00,2,DET,jump ball,,Robert Williams III,Isaiah Stewart,,,,,,,Robert Williams III,,Marcus Smart,,,,jump ball,,,,,,Jump Ball Stewart vs. Williams III: Tip to Smart
22100788,2021-22 Regular Season,2022-02-04,Robert Williams III,Marcus Smart,Jaylen Brown,Al Horford,Jayson Tatum,Isaiah Stewart,Hamidou Diallo,Saddiq Bey,Cory Joseph,Jerami Grant,1,2,0,0:11:42,0:00:18,0:00:18,3,BOS,shot,Al Horford,,,,,,,,,Jaylen Brown,2,,,made,,hook shot,4,-36,20,28.6,7.0,Brown 4' Hook Shot (2 PTS) (Horford 1 AST)
22100788,2021-22 Regular Season,2022-02-04,Robert Williams III,Marcus Smart,Jaylen Brown,Al Horford,Jayson Tatum,Isaiah Stewart,Hamidou Diallo,Saddiq Bey,Cory Joseph,Jerami Grant,1,2,0,0:11:42,0:00:18,0:00:00,4,DET,foul,,,,,,,,Jaylen Brown,,Hamidou Diallo,,,s.foul,,,shooting,,,,,,Diallo S.FOUL (P1.T1) (S.Wall)
22100788,2021-22 Regular Season,2022-02-04,Robert Williams III,Marcus Smart,Jaylen Brown,Al Horford,Jayson Tatum,Isaiah Stewart,Hamidou Diallo,Saddiq Bey,Cory Joseph,Jerami Grant,1,2,0,0:11:42,0:00:18,0:00:00,5,BOS,free throw,,,,,,,1,,1,Jaylen Brown,0,,,missed,,free throw 1/1,,,,,,MISS Brown Free Throw 1 of 1
22100788,2021-22 Regular Season,2022-02-04,Robert Williams III,Marcus Smart,Jaylen Brown,Al Horford,Jayson Tatum,Isaiah Stewart,Hamidou Diallo,Saddiq Bey,Cory Joseph,Jerami Grant,1,2,0,0:11:38,0:00:22,0:00:04,6,DET,rebound,,,,,,,,,,Hamidou Diallo,,,,,,rebound defensive,,,,,,Diallo REBOUND (Off:0 Def:1)
22100788,2021-22 Regular Season,2022-02-04,Robert Williams III,Marcus Smart,Jaylen Brown,Al Horford,Jayson Tatum,Isaiah Stewart,Hamidou Diallo,Saddiq Bey,Cory Joseph,Jerami Grant,1,2,0,0:11:20,0:00:40,0:00:18,7,DET,shot,,,,,,,,,,Saddiq Bey,0,,,missed,,3pt jump shot,26,-225,127,2.5,76.3,MISS Bey 26' 3PT Jump Shot
22100788,2021-22 Regular Season,2022-02-04,Robert Williams III,Marcus Smart,Jaylen Brown,Al Horford,Jayson Tatum,Isaiah Stewart,Hamidou Diallo,Saddiq Bey,Cory Joseph,Jerami Grant,1,2,0,0:11:17,0:00:43,0:00:03,8,BOS,rebound,,,,,,,,,,Jayson Tatum,,,,,,rebound defensive,,,,,,Tatum REBOUND (Off:0 Def:1)
22100788,2021-22 Regular Season,2022-02-04,Robert Williams III,Marcus Smart,Jaylen Brown,Al Horford,Jayson Tatum,Isaiah Stewart,Hamidou Diallo,Saddiq Bey,Cory Joseph,Jerami Grant,1,4,0,0:11:10,0:00:50,0:00:07,9,BOS,shot,Marcus Smart,,,,,,,,,Jayson Tatum,2,,,made,,driving floating jump shot,8,31,73,21.9,12.3,Tatum 8' Driving Floating Jump Shot (2 PTS) (Smart 1 AST)
22100788,2021-22 Regular Season,2022-02-04,Robert Williams III,Marcus Smart,Jaylen Brown,Al Horford,Jayson Tatum,Isaiah Stewart,Hamidou Diallo,Saddiq Bey,Cory Joseph,Jerami Grant,1,4,0,0:11:01,0:00:59,0:00:09,10,DET,shot,,,,,,,,,,Cory Joseph,0,,,missed,,jump shot,18,109,147,35.9,74.3,MISS Joseph 18' Pullup Jump Shot
