game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100791,2021-22 Regular Season,2022-02-04,Joel Embiid,Matisse Thybulle,Seth Curry,Tobias Harris,Tyrese Maxey,Dwight Powell,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,Luka Doncic,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100791,2021-22 Regular Season,2022-02-04,Joel Embiid,Matisse Thybulle,Seth Curry,Tobias Harris,Tyrese Maxey,Dwight Powell,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,Luka Doncic,1,0,0,0:12:00,0:00:00,0:00:00,2,DAL,jump ball,,Joel Embiid,Dwight Powell,,,,,,,Dwight Powell,,Dorian Finney-Smith,,,,jump ball,,,,,,Jump Ball Powell vs. Embiid: Tip to Finney-Smith
22100791,2021-22 Regular Season,2022-02-04,Joel Embiid,Matisse Thybulle,Seth Curry,Tobias Harris,Tyrese Maxey,Dwight Powell,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,Luka Doncic,1,0,0,0:11:37,0:00:23,0:00:23,3,DAL,shot,,,,,,,,,,Jalen Brunson,0,,,missed,,driving floating jump shot,12,-17,116,23.3,77.4,MISS Brunson 12' Driving Floating Jump Shot
22100791,2021-22 Regular Season,2022-02-04,Joel Embiid,Matisse Thybulle,Seth Curry,Tobias Harris,Tyrese Maxey,Dwight Powell,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,Luka Doncic,1,0,0,0:11:36,0:00:24,0:00:01,4,PHI,rebound,,,,,,,,,,Joel Embiid,,,,,,rebound defensive,,,,,,Embiid REBOUND (Off:0 Def:1)
22100791,2021-22 Regular Season,2022-02-04,Joel Embiid,Matisse Thybulle,Seth Curry,Tobias Harris,Tyrese Maxey,Dwight Powell,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,Luka Doncic,1,0,0,0:11:20,0:00:40,0:00:16,5,PHI,shot,,,,,,,,,,Matisse Thybulle,0,,,missed,,3pt jump shot,23,232,30,1.7999999999999972,8.0,MISS Thybulle 3PT Jump Shot
22100791,2021-22 Regular Season,2022-02-04,Joel Embiid,Matisse Thybulle,Seth Curry,Tobias Harris,Tyrese Maxey,Dwight Powell,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,Luka Doncic,1,0,0,0:11:16,0:00:44,0:00:04,6,DAL,rebound,,,,,,,,,,Reggie Bullock,,,,,,rebound defensive,,,,,,Bullock REBOUND (Off:0 Def:1)
22100791,2021-22 Regular Season,2022-02-04,Joel Embiid,Matisse Thybulle,Seth Curry,Tobias Harris,Tyrese Maxey,Dwight Powell,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,Luka Doncic,1,0,3,0:11:06,0:00:54,0:00:10,7,DAL,shot,Luka Doncic,,,,,,,,,Dorian Finney-Smith,3,,,made,,3pt jump shot,25,-151,201,9.899999999999999,68.9,Finney-Smith 25' 3PT Jump Shot (3 PTS) (Doncic 1 AST)
22100791,2021-22 Regular Season,2022-02-04,Joel Embiid,Matisse Thybulle,Seth Curry,Tobias Harris,Tyrese Maxey,Dwight Powell,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,Luka Doncic,1,0,3,0:10:51,0:01:09,0:00:15,8,DAL,foul,,,,,,,,Joel Embiid,,Dwight Powell,,,s.foul,,,shooting,,,,,,Powell S.FOUL (P1.T1) (N.Sago)
22100791,2021-22 Regular Season,2022-02-04,Joel Embiid,Matisse Thybulle,Seth Curry,Tobias Harris,Tyrese Maxey,Dwight Powell,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,Luka Doncic,1,0,3,0:10:51,0:01:09,0:00:00,9,PHI,free throw,,,,,,,1,,2,Joel Embiid,0,,,missed,,free throw 1/2,,,,,,MISS Embiid Free Throw 1 of 2
22100791,2021-22 Regular Season,2022-02-04,Joel Embiid,Matisse Thybulle,Seth Curry,Tobias Harris,Tyrese Maxey,Dwight Powell,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,Luka Doncic,1,0,3,0:10:51,0:01:09,0:00:00,10,PHI,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,76ers Rebound
