game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100801,2021-22 Regular Season,2022-02-05,Mamadi Diakite,Tre Mann,Josh Giddey,Ty Jerome,Darius Bazley,Richaun Holmes,Tyrese Haliburton,Harrison Barnes,Davion Mitchell,Maurice Harkless,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100801,2021-22 Regular Season,2022-02-05,Mamadi Diakite,Tre Mann,Josh Giddey,Ty Jerome,Darius Bazley,Richaun Holmes,Tyrese Haliburton,Harrison Barnes,Davion Mitchell,Maurice Harkless,1,0,0,0:12:00,0:00:00,0:00:00,2,SAC,jump ball,,Mamadi Diakite,Richaun Holmes,,,,,,,Richaun Holmes,,Tyrese Haliburton,,,,jump ball,,,,,,Jump Ball Holmes vs. Diakite: Tip to Haliburton
22100801,2021-22 Regular Season,2022-02-05,Mamadi Diakite,Tre Mann,Josh Giddey,Ty Jerome,Darius Bazley,Richaun Holmes,Tyrese Haliburton,Harrison Barnes,Davion Mitchell,Maurice Harkless,1,0,2,0:11:45,0:00:15,0:00:15,3,SAC,shot,,,,,,,,,,Harrison Barnes,2,,,made,,layup,2,16,3,26.6,88.7,Barnes 2' Reverse Layup (2 PTS)
22100801,2021-22 Regular Season,2022-02-05,Mamadi Diakite,Tre Mann,Josh Giddey,Ty Jerome,Darius Bazley,Richaun Holmes,Tyrese Haliburton,Harrison Barnes,Davion Mitchell,Maurice Harkless,1,0,2,0:11:45,0:00:15,0:00:00,4,OKC,foul,,,,,,,,Harrison Barnes,,Mamadi Diakite,,,s.foul,,,shooting,,,,,,Diakite S.FOUL (P1.T1) (B.Adams)
22100801,2021-22 Regular Season,2022-02-05,Mamadi Diakite,Tre Mann,Josh Giddey,Ty Jerome,Darius Bazley,Richaun Holmes,Tyrese Haliburton,Harrison Barnes,Davion Mitchell,Maurice Harkless,1,0,3,0:11:45,0:00:15,0:00:00,5,SAC,free throw,,,,,,,1,,1,Harrison Barnes,1,,,made,,free throw 1/1,,,,,,Barnes Free Throw 1 of 1 (3 PTS)
22100801,2021-22 Regular Season,2022-02-05,Mamadi Diakite,Tre Mann,Josh Giddey,Ty Jerome,Darius Bazley,Richaun Holmes,Tyrese Haliburton,Harrison Barnes,Davion Mitchell,Maurice Harkless,1,0,3,0:11:31,0:00:29,0:00:14,6,OKC,shot,,,,,,,,,,Tre Mann,0,,,missed,,driving layup,2,23,10,22.7,6.0,MISS Mann 3' Driving Layup
22100801,2021-22 Regular Season,2022-02-05,Mamadi Diakite,Tre Mann,Josh Giddey,Ty Jerome,Darius Bazley,Richaun Holmes,Tyrese Haliburton,Harrison Barnes,Davion Mitchell,Maurice Harkless,1,0,3,0:11:29,0:00:31,0:00:02,7,SAC,rebound,,,,,,,,,,Richaun Holmes,,,,,,rebound defensive,,,,,,Holmes REBOUND (Off:0 Def:1)
22100801,2021-22 Regular Season,2022-02-05,Mamadi Diakite,Tre Mann,Josh Giddey,Ty Jerome,Darius Bazley,Richaun Holmes,Tyrese Haliburton,Harrison Barnes,Davion Mitchell,Maurice Harkless,1,0,3,0:11:15,0:00:45,0:00:14,8,SAC,shot,,,,,,,,,,Davion Mitchell,0,,,missed,,3pt jump shot,25,-159,189,9.1,70.1,MISS Mitchell 25' 3PT Jump Shot
22100801,2021-22 Regular Season,2022-02-05,Mamadi Diakite,Tre Mann,Josh Giddey,Ty Jerome,Darius Bazley,Richaun Holmes,Tyrese Haliburton,Harrison Barnes,Davion Mitchell,Maurice Harkless,1,0,3,0:11:11,0:00:49,0:00:04,9,OKC,rebound,,,,,,,,,,Mamadi Diakite,,,,,,rebound defensive,,,,,,Diakite REBOUND (Off:0 Def:1)
22100801,2021-22 Regular Season,2022-02-05,Mamadi Diakite,Tre Mann,Josh Giddey,Ty Jerome,Darius Bazley,Richaun Holmes,Tyrese Haliburton,Harrison Barnes,Davion Mitchell,Maurice Harkless,1,0,3,0:10:59,0:01:01,0:00:12,10,OKC,shot,,,,,,,,,,Josh Giddey,0,,,missed,,driving layup,3,28,6,22.2,5.6,MISS Giddey 3' Driving Layup
22100801,2021-22 Regular Season,2022-02-05,Mamadi Diakite,Tre Mann,Josh Giddey,Ty Jerome,Darius Bazley,Richaun Holmes,Tyrese Haliburton,Harrison Barnes,Davion Mitchell,Maurice Harkless,1,0,3,0:10:56,0:01:04,0:00:03,11,SAC,rebound,,,,,,,,,,Harrison Barnes,,,,,,rebound defensive,,,,,,Barnes REBOUND (Off:0 Def:1)
22100801,2021-22 Regular Season,2022-02-05,Mamadi Diakite,Tre Mann,Josh Giddey,Ty Jerome,Darius Bazley,Richaun Holmes,Tyrese Haliburton,Harrison Barnes,Davion Mitchell,Maurice Harkless,1,0,3,0:10:52,0:01:08,0:00:04,12,SAC,shot,,,,,,,,,,Maurice Harkless,0,,,missed,,layup,5,43,20,29.3,87.0,MISS Harkless 5' Running Layup
22100801,2021-22 Regular Season,2022-02-05,Mamadi Diakite,Tre Mann,Josh Giddey,Ty Jerome,Darius Bazley,Richaun Holmes,Tyrese Haliburton,Harrison Barnes,Davion Mitchell,Maurice Harkless,1,0,3,0:10:49,0:01:11,0:00:03,13,OKC,rebound,,,,,,,,,,Mamadi Diakite,,,,,,rebound defensive,,,,,,Diakite REBOUND (Off:0 Def:2)
