game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100817,2021-22 Regular Season,2022-02-08,Robert Williams III,Jaylen Brown,Marcus Smart,Jayson Tatum,Al Horford,Blake Griffin,Bruce Brown,Patty Mills,DeAndre' Bembry,Kessler Edwards,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100817,2021-22 Regular Season,2022-02-08,Robert Williams III,Jaylen Brown,Marcus Smart,Jayson Tatum,Al Horford,Blake Griffin,Bruce Brown,Patty Mills,DeAndre' Bembry,Kessler Edwards,1,0,0,0:12:00,0:00:00,0:00:00,2,BKN,jump ball,,Robert Williams III,Blake Griffin,,,,,,,Robert Williams III,,Jaylen Brown,,,,jump ball,,,,,,Jump Ball Griffin vs. Williams III: Tip to Brown
22100817,2021-22 Regular Season,2022-02-08,Robert Williams III,Jaylen Brown,Marcus Smart,Jayson Tatum,Al Horford,Blake Griffin,Bruce Brown,Patty Mills,DeAndre' Bembry,Kessler Edwards,1,0,0,0:11:42,0:00:18,0:00:18,3,BOS,shot,,,,,,,,,,Marcus Smart,0,,,missed,,3pt jump shot,25,146,199,10.399999999999999,24.900000000000002,MISS Smart 25' 3PT Jump Shot
22100817,2021-22 Regular Season,2022-02-08,Robert Williams III,Jaylen Brown,Marcus Smart,Jayson Tatum,Al Horford,Blake Griffin,Bruce Brown,Patty Mills,DeAndre' Bembry,Kessler Edwards,1,0,0,0:11:40,0:00:20,0:00:02,4,BKN,rebound,,,,,,,,,,Bruce Brown,,,,,,rebound defensive,,,,,,Brown REBOUND (Off:0 Def:1)
22100817,2021-22 Regular Season,2022-02-08,Robert Williams III,Jaylen Brown,Marcus Smart,Jayson Tatum,Al Horford,Blake Griffin,Bruce Brown,Patty Mills,DeAndre' Bembry,Kessler Edwards,1,0,0,0:11:20,0:00:40,0:00:20,5,BKN,shot,,,,Robert Williams III,,,,,,Patty Mills,0,,,missed,,driving layup,4,5,41,25.5,84.9,MISS Mills 4' Driving Layup: Williams III BLOCK (1 BLK)
22100817,2021-22 Regular Season,2022-02-08,Robert Williams III,Jaylen Brown,Marcus Smart,Jayson Tatum,Al Horford,Blake Griffin,Bruce Brown,Patty Mills,DeAndre' Bembry,Kessler Edwards,1,0,0,0:11:16,0:00:44,0:00:04,6,BKN,rebound,,,,,,,,,,Blake Griffin,,,,,,rebound offensive,,,,,,Griffin REBOUND (Off:1 Def:0)
22100817,2021-22 Regular Season,2022-02-08,Robert Williams III,Jaylen Brown,Marcus Smart,Jayson Tatum,Al Horford,Blake Griffin,Bruce Brown,Patty Mills,DeAndre' Bembry,Kessler Edwards,1,0,0,0:11:14,0:00:46,0:00:02,7,BKN,shot,,,,,,,,,,Blake Griffin,0,,,missed,,3pt jump shot,26,-152,209,9.799999999999999,68.1,MISS Griffin 26' 3PT Jump Shot
22100817,2021-22 Regular Season,2022-02-08,Robert Williams III,Jaylen Brown,Marcus Smart,Jayson Tatum,Al Horford,Blake Griffin,Bruce Brown,Patty Mills,DeAndre' Bembry,Kessler Edwards,1,0,0,0:11:12,0:00:48,0:00:02,8,BOS,rebound,,,,,,,,,,Robert Williams III,,,,,,rebound defensive,,,,,,Williams III REBOUND (Off:0 Def:1)
22100817,2021-22 Regular Season,2022-02-08,Robert Williams III,Jaylen Brown,Marcus Smart,Jayson Tatum,Al Horford,Blake Griffin,Bruce Brown,Patty Mills,DeAndre' Bembry,Kessler Edwards,1,2,0,0:11:03,0:00:57,0:00:09,9,BOS,shot,,,,,,,,,,Jaylen Brown,2,,,made,,turnaround fadeaway,12,28,122,22.2,17.200000000000003,Brown 13' Turnaround Fadeaway (2 PTS)
22100817,2021-22 Regular Season,2022-02-08,Robert Williams III,Jaylen Brown,Marcus Smart,Jayson Tatum,Al Horford,Blake Griffin,Bruce Brown,Patty Mills,DeAndre' Bembry,Kessler Edwards,1,2,0,0:10:52,0:01:08,0:00:11,10,BKN,shot,,,,,,,,,,Patty Mills,0,,,missed,,driving reverse layup,2,16,5,26.6,88.5,MISS Mills 2' Driving Reverse Layup
