game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100823,2021-22 Regular Season,2022-02-08,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,Jalen Suggs,Jusuf Nurkic,Justise Winslow,Anfernee Simons,CJ Elleby,Ben McLemore,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100823,2021-22 Regular Season,2022-02-08,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,Jalen Suggs,Jusuf Nurkic,Justise Winslow,Anfernee Simons,CJ Elleby,Ben McLemore,1,0,0,0:12:00,0:00:00,0:00:00,2,POR,jump ball,,Mo Bamba,Jusuf Nurkic,,,,,,,Jusuf Nurkic,,Justise Winslow,,,,jump ball,,,,,,Jump Ball Nurkic vs. Bamba: Tip to Winslow
22100823,2021-22 Regular Season,2022-02-08,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,Jalen Suggs,Jusuf Nurkic,Justise Winslow,Anfernee Simons,CJ Elleby,Ben McLemore,1,0,3,0:11:43,0:00:17,0:00:17,3,POR,shot,Jusuf Nurkic,,,,,,,,,Justise Winslow,3,,,made,,3pt jump shot,24,207,130,45.7,76.0,Winslow 24' 3PT Jump Shot (3 PTS) (Nurkic 1 AST)
22100823,2021-22 Regular Season,2022-02-08,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,Jalen Suggs,Jusuf Nurkic,Justise Winslow,Anfernee Simons,CJ Elleby,Ben McLemore,1,2,3,0:11:26,0:00:34,0:00:17,4,ORL,shot,Franz Wagner,,,,,,,,,Wendell Carter Jr.,2,,,made,,jump shot,16,-67,141,31.7,19.1,Carter Jr. 16' Jump Shot (2 PTS) (Wagner 1 AST)
22100823,2021-22 Regular Season,2022-02-08,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,Jalen Suggs,Jusuf Nurkic,Justise Winslow,Anfernee Simons,CJ Elleby,Ben McLemore,1,2,5,0:11:14,0:00:46,0:00:12,5,POR,shot,Anfernee Simons,,,,,,,,,Justise Winslow,2,,,made,,jump shot,16,66,150,31.6,74.0,Winslow 16' Pullup Jump Shot (5 PTS) (Simons 1 AST)
22100823,2021-22 Regular Season,2022-02-08,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,Jalen Suggs,Jusuf Nurkic,Justise Winslow,Anfernee Simons,CJ Elleby,Ben McLemore,1,4,5,0:11:02,0:00:58,0:00:12,6,ORL,shot,Wendell Carter Jr.,,,,,,,,,Mo Bamba,2,,,made,,layup,1,6,5,24.4,5.5,Bamba 1' Reverse Layup (2 PTS) (Carter Jr. 1 AST)
22100823,2021-22 Regular Season,2022-02-08,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,Jalen Suggs,Jusuf Nurkic,Justise Winslow,Anfernee Simons,CJ Elleby,Ben McLemore,1,4,5,0:10:43,0:01:17,0:00:19,7,POR,shot,,,,,,,,,,Jusuf Nurkic,0,,,missed,,hook shot,5,37,27,28.7,86.3,MISS Nurkic 5' Hook Shot
22100823,2021-22 Regular Season,2022-02-08,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,Jalen Suggs,Jusuf Nurkic,Justise Winslow,Anfernee Simons,CJ Elleby,Ben McLemore,1,4,5,0:10:41,0:01:19,0:00:02,8,ORL,rebound,,,,,,,,,,Mo Bamba,,,,,,rebound defensive,,,,,,Bamba REBOUND (Off:0 Def:1)
22100823,2021-22 Regular Season,2022-02-08,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,Jalen Suggs,Jusuf Nurkic,Justise Winslow,Anfernee Simons,CJ Elleby,Ben McLemore,1,7,5,0:10:35,0:01:25,0:00:06,9,ORL,shot,Cole Anthony,,,,,,,,,Wendell Carter Jr.,3,,,made,,3pt running jump shot,25,211,136,3.8999999999999986,18.6,Carter Jr. 25' 3PT Running Jump Shot (5 PTS) (Anthony 1 AST)
22100823,2021-22 Regular Season,2022-02-08,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,Jalen Suggs,Jusuf Nurkic,Justise Winslow,Anfernee Simons,CJ Elleby,Ben McLemore,1,7,5,0:10:13,0:01:47,0:00:22,10,ORL,foul,,,,,,,,Jusuf Nurkic,,Mo Bamba,,,s.foul,,,shooting,,,,,,Bamba S.FOUL (P1.T1) (N.Green)
