game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100846,2021-22 Regular Season,2022-02-12,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,Mason Plumlee,Miles Bridges,LaMelo Ball,Kelly Oubre Jr.,Terry Rozier,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100846,2021-22 Regular Season,2022-02-12,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,Mason Plumlee,Miles Bridges,LaMelo Ball,Kelly Oubre Jr.,Terry Rozier,1,0,0,0:12:00,0:00:00,0:00:00,2,CHA,jump ball,,Steven Adams,Mason Plumlee,,,,,,,Steven Adams,,Ja Morant,,,,jump ball,,,,,,Jump Ball Plumlee vs. Adams: Tip to Morant
22100846,2021-22 Regular Season,2022-02-12,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,Mason Plumlee,Miles Bridges,LaMelo Ball,Kelly Oubre Jr.,Terry Rozier,1,2,0,0:11:39,0:00:21,0:00:21,3,MEM,shot,,,,,,,,,,Ja Morant,2,,,made,,driving layup,1,11,6,23.9,5.6,Morant 1' Driving Layup (2 PTS)
22100846,2021-22 Regular Season,2022-02-12,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,Mason Plumlee,Miles Bridges,LaMelo Ball,Kelly Oubre Jr.,Terry Rozier,1,2,0,0:11:14,0:00:46,0:00:25,4,CHA,shot,,,,,,,,,,Miles Bridges,0,,,missed,,3pt jump shot,24,-224,94,2.599999999999998,79.6,MISS Bridges 24' 3PT Jump Shot
22100846,2021-22 Regular Season,2022-02-12,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,Mason Plumlee,Miles Bridges,LaMelo Ball,Kelly Oubre Jr.,Terry Rozier,1,2,0,0:11:11,0:00:49,0:00:03,5,MEM,rebound,,,,,,,,,,Desmond Bane,,,,,,rebound defensive,,,,,,Bane REBOUND (Off:0 Def:1)
22100846,2021-22 Regular Season,2022-02-12,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,Mason Plumlee,Miles Bridges,LaMelo Ball,Kelly Oubre Jr.,Terry Rozier,1,2,0,0:11:05,0:00:55,0:00:06,6,MEM,shot,,,,,,,,,,Jaren Jackson Jr.,0,,,missed,,3pt jump shot,24,243,-26,0.6999999999999993,2.4,MISS Jackson Jr. 24' 3PT Jump Shot
22100846,2021-22 Regular Season,2022-02-12,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,Mason Plumlee,Miles Bridges,LaMelo Ball,Kelly Oubre Jr.,Terry Rozier,1,2,0,0:11:02,0:00:58,0:00:03,7,CHA,rebound,,,,,,,,,,LaMelo Ball,,,,,,rebound defensive,,,,,,Ball REBOUND (Off:0 Def:1)
22100846,2021-22 Regular Season,2022-02-12,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,Mason Plumlee,Miles Bridges,LaMelo Ball,Kelly Oubre Jr.,Terry Rozier,1,2,0,0:10:53,0:01:07,0:00:09,8,CHA,turnover,,,,,,,,,,LaMelo Ball,,,,,Desmond Bane,lost ball,,,,,,Ball Lost Ball Turnover (P1.T1): Bane STEAL (1 STL)
22100846,2021-22 Regular Season,2022-02-12,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,Mason Plumlee,Miles Bridges,LaMelo Ball,Kelly Oubre Jr.,Terry Rozier,1,2,0,0:10:52,0:01:08,0:00:01,9,MEM,turnover,,,,,,,,,,Desmond Bane,,,out of bounds lost ball,,,out of bounds lost ball,,,,,,Bane Out of Bounds Lost Ball Turnover (P1.T1)
22100846,2021-22 Regular Season,2022-02-12,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,Mason Plumlee,Miles Bridges,LaMelo Ball,Kelly Oubre Jr.,Terry Rozier,1,2,0,0:10:49,0:01:11,0:00:03,10,CHA,shot,,,,,,,,,,Kelly Oubre Jr.,0,,,missed,,3pt jump shot,26,221,140,47.1,75.0,MISS Oubre Jr. 26' 3PT Jump Shot
22100846,2021-22 Regular Season,2022-02-12,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,Mason Plumlee,Miles Bridges,LaMelo Ball,Kelly Oubre Jr.,Terry Rozier,1,2,0,0:10:45,0:01:15,0:00:04,11,MEM,rebound,,,,,,,,,,Ja Morant,,,,,,rebound defensive,,,,,,Morant REBOUND (Off:0 Def:1)
22100846,2021-22 Regular Season,2022-02-12,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,Mason Plumlee,Miles Bridges,LaMelo Ball,Kelly Oubre Jr.,Terry Rozier,1,2,0,0:10:34,0:01:26,0:00:11,12,MEM,shot,,,,,,,,,,Ja Morant,0,,,missed,,layup,2,21,12,22.9,6.2,MISS Morant 2' Finger Roll Layup
22100846,2021-22 Regular Season,2022-02-12,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,Mason Plumlee,Miles Bridges,LaMelo Ball,Kelly Oubre Jr.,Terry Rozier,1,2,0,0:10:32,0:01:28,0:00:02,13,MEM,rebound,,,,,,,,,,Steven Adams,,,,,,rebound offensive,,,,,,Adams REBOUND (Off:1 Def:0)
22100846,2021-22 Regular Season,2022-02-12,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,Mason Plumlee,Miles Bridges,LaMelo Ball,Kelly Oubre Jr.,Terry Rozier,1,4,0,0:10:32,0:01:28,0:00:00,14,MEM,shot,,,,,,,,,,Steven Adams,2,,,made,,layup,0,0,0,25.0,5.0,Adams Tip Layup Shot (2 PTS)
22100846,2021-22 Regular Season,2022-02-12,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,Mason Plumlee,Miles Bridges,LaMelo Ball,Kelly Oubre Jr.,Terry Rozier,1,4,2,0:10:10,0:01:50,0:00:22,15,CHA,shot,Miles Bridges,,,,,,,,,Kelly Oubre Jr.,2,,,made,,layup,3,6,25,25.6,86.5,Oubre Jr. 3' Layup (2 PTS) (Bridges 1 AST)
22100846,2021-22 Regular Season,2022-02-12,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,Mason Plumlee,Miles Bridges,LaMelo Ball,Kelly Oubre Jr.,Terry Rozier,1,4,2,0:09:51,0:02:09,0:00:19,16,MEM,shot,,,,,,,,,,Jaren Jackson Jr.,0,,,missed,,3pt jump shot,25,244,52,0.5999999999999979,10.2,MISS Jackson Jr. 25' 3PT Jump Shot
