game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100854,2021-22 Regular Season,2022-02-12,Anthony Davis,LeBron James,Stanley Johnson,Avery Bradley,Russell Westbrook,Kevon Looney,Klay Thompson,Jonathan Kuminga,Andrew Wiggins,Stephen Curry,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100854,2021-22 Regular Season,2022-02-12,Anthony Davis,LeBron James,Stanley Johnson,Avery Bradley,Russell Westbrook,Kevon Looney,Klay Thompson,Jonathan Kuminga,Andrew Wiggins,Stephen Curry,1,0,0,0:12:00,0:00:00,0:00:00,2,GSW,jump ball,,Anthony Davis,Kevon Looney,,,,,,,Anthony Davis,,LeBron James,,,,jump ball,,,,,,Jump Ball Looney vs. Davis: Tip to James
22100854,2021-22 Regular Season,2022-02-12,Anthony Davis,LeBron James,Stanley Johnson,Avery Bradley,Russell Westbrook,Kevon Looney,Klay Thompson,Jonathan Kuminga,Andrew Wiggins,Stephen Curry,1,0,0,0:11:43,0:00:17,0:00:17,3,LAL,shot,,,,,,,,,,Anthony Davis,0,,,missed,,jump shot,8,9,77,24.1,12.7,MISS Davis 8' Turnaround Jump Shot
22100854,2021-22 Regular Season,2022-02-12,Anthony Davis,LeBron James,Stanley Johnson,Avery Bradley,Russell Westbrook,Kevon Looney,Klay Thompson,Jonathan Kuminga,Andrew Wiggins,Stephen Curry,1,0,0,0:11:41,0:00:19,0:00:02,4,LAL,rebound,,,,,,,,,,Stanley Johnson,,,,,,rebound offensive,,,,,,Johnson REBOUND (Off:1 Def:0)
22100854,2021-22 Regular Season,2022-02-12,Anthony Davis,LeBron James,Stanley Johnson,Avery Bradley,Russell Westbrook,Kevon Looney,Klay Thompson,Jonathan Kuminga,Andrew Wiggins,Stephen Curry,1,0,0,0:11:39,0:00:21,0:00:02,5,LAL,shot,,,,,,,,,,Stanley Johnson,0,,,missed,,layup,0,0,0,25.0,5.0,MISS Johnson Tip Layup Shot
22100854,2021-22 Regular Season,2022-02-12,Anthony Davis,LeBron James,Stanley Johnson,Avery Bradley,Russell Westbrook,Kevon Looney,Klay Thompson,Jonathan Kuminga,Andrew Wiggins,Stephen Curry,1,0,0,0:11:37,0:00:23,0:00:02,6,GSW,rebound,,,,,,,,,,Kevon Looney,,,,,,rebound defensive,,,,,,Looney REBOUND (Off:0 Def:1)
22100854,2021-22 Regular Season,2022-02-12,Anthony Davis,LeBron James,Stanley Johnson,Avery Bradley,Russell Westbrook,Kevon Looney,Klay Thompson,Jonathan Kuminga,Andrew Wiggins,Stephen Curry,1,0,2,0:11:21,0:00:39,0:00:16,7,GSW,shot,,,,,,,,,,Klay Thompson,2,,,made,,layup,6,53,34,30.3,85.6,Thompson 6' Finger Roll Layup (2 PTS)
22100854,2021-22 Regular Season,2022-02-12,Anthony Davis,LeBron James,Stanley Johnson,Avery Bradley,Russell Westbrook,Kevon Looney,Klay Thompson,Jonathan Kuminga,Andrew Wiggins,Stephen Curry,1,0,2,0:11:21,0:00:39,0:00:00,8,LAL,violation,,,,,,,,,,Anthony Davis,,,,,,defensive goaltending,,,,,,Davis Violation:Defensive Goaltending (K.Scott)
22100854,2021-22 Regular Season,2022-02-12,Anthony Davis,LeBron James,Stanley Johnson,Avery Bradley,Russell Westbrook,Kevon Looney,Klay Thompson,Jonathan Kuminga,Andrew Wiggins,Stephen Curry,1,0,2,0:11:10,0:00:50,0:00:11,9,GSW,foul,,,,,,,,LeBron James,,Jonathan Kuminga,,,s.foul,,,shooting,,,,,,Kuminga S.FOUL (P1.T1) (J.Capers)
22100854,2021-22 Regular Season,2022-02-12,Anthony Davis,LeBron James,Stanley Johnson,Avery Bradley,Russell Westbrook,Kevon Looney,Klay Thompson,Jonathan Kuminga,Andrew Wiggins,Stephen Curry,1,1,2,0:11:10,0:00:50,0:00:00,10,LAL,free throw,,,,,,,1,,2,LeBron James,1,,,made,,free throw 1/2,,,,,,James Free Throw 1 of 2 (1 PTS)
