game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100870,2021-22 Regular Season,2022-02-15,Goga Bitadze,Jalen Smith,Oshae Brissett,Buddy Hield,Tyrese Haliburton,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Grayson Allen,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100870,2021-22 Regular Season,2022-02-15,Goga Bitadze,Jalen Smith,Oshae Brissett,Buddy Hield,Tyrese Haliburton,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Grayson Allen,1,0,0,0:12:00,0:00:00,0:00:00,2,MIL,jump ball,,Goga Bitadze,Bobby Portis,,,,,,,Bobby Portis,,Giannis Antetokounmpo,,,,jump ball,,,,,,Jump Ball Portis vs. Bitadze: Tip to G. Antetokounmpo
22100870,2021-22 Regular Season,2022-02-15,Goga Bitadze,Jalen Smith,Oshae Brissett,Buddy Hield,Tyrese Haliburton,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Grayson Allen,1,0,2,0:11:49,0:00:11,0:00:11,3,MIL,shot,Jrue Holiday,,,,,,,,,Khris Middleton,2,,,made,,cutting layup shot,3,2,27,25.2,86.3,Middleton 3' Cutting Layup Shot (2 PTS) (Holiday 1 AST)
22100870,2021-22 Regular Season,2022-02-15,Goga Bitadze,Jalen Smith,Oshae Brissett,Buddy Hield,Tyrese Haliburton,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Grayson Allen,1,3,2,0:11:27,0:00:33,0:00:22,4,IND,shot,Oshae Brissett,,,,,,,,,Jalen Smith,3,,,made,,3pt jump shot,28,132,243,11.799999999999999,29.3,Smith 28' 3PT Jump Shot (3 PTS) (Brissett 1 AST)
22100870,2021-22 Regular Season,2022-02-15,Goga Bitadze,Jalen Smith,Oshae Brissett,Buddy Hield,Tyrese Haliburton,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Grayson Allen,1,3,4,0:11:18,0:00:42,0:00:09,5,MIL,shot,,,,,,,,,,Khris Middleton,2,,,made,,driving layup,1,0,13,25.0,87.7,Middleton 1' Driving Layup (4 PTS)
22100870,2021-22 Regular Season,2022-02-15,Goga Bitadze,Jalen Smith,Oshae Brissett,Buddy Hield,Tyrese Haliburton,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Grayson Allen,1,3,4,0:11:09,0:00:51,0:00:09,6,MIL,foul,,,,,,,,Goga Bitadze,,Grayson Allen,,,s.foul,,,shooting,,,,,,Allen S.FOUL (P1.T1) (C.Blair)
22100870,2021-22 Regular Season,2022-02-15,Goga Bitadze,Jalen Smith,Oshae Brissett,Buddy Hield,Tyrese Haliburton,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Grayson Allen,1,4,4,0:11:09,0:00:51,0:00:00,7,IND,free throw,,,,,,,1,,2,Goga Bitadze,1,,,made,,free throw 1/2,,,,,,Bitadze Free Throw 1 of 2 (1 PTS)
22100870,2021-22 Regular Season,2022-02-15,Goga Bitadze,Jalen Smith,Oshae Brissett,Buddy Hield,Tyrese Haliburton,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Grayson Allen,1,5,4,0:11:09,0:00:51,0:00:00,8,IND,free throw,,,,,,,2,,2,Goga Bitadze,1,,,made,,free throw 2/2,,,,,,Bitadze Free Throw 2 of 2 (2 PTS)
22100870,2021-22 Regular Season,2022-02-15,Goga Bitadze,Jalen Smith,Oshae Brissett,Buddy Hield,Tyrese Haliburton,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Grayson Allen,1,5,6,0:10:56,0:01:04,0:00:13,9,MIL,shot,Grayson Allen,,,,,,,,,Giannis Antetokounmpo,2,,,made,,cutting dunk shot,3,-4,26,24.6,86.4,G. Antetokounmpo 3' Cutting Dunk Shot (2 PTS) (Allen 1 AST)
22100870,2021-22 Regular Season,2022-02-15,Goga Bitadze,Jalen Smith,Oshae Brissett,Buddy Hield,Tyrese Haliburton,Bobby Portis,Giannis Antetokounmpo,Khris Middleton,Jrue Holiday,Grayson Allen,1,5,6,0:10:41,0:01:19,0:00:15,10,MIL,foul,,,,,,,,Oshae Brissett,,Khris Middleton,,,s.foul,,,shooting,,,,,,Middleton S.FOUL (P1.T2) (S.Twardoski)
