game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100876,2021-22 Regular Season,2022-02-16,Thomas Bryant,Raul Neto,Kentavious Caldwell-Pope,Kyle Kuzma,Corey Kispert,Jalen Smith,Tyrese Haliburton,Terry Taylor,Oshae Brissett,Buddy Hield,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100876,2021-22 Regular Season,2022-02-16,Thomas Bryant,Raul Neto,Kentavious Caldwell-Pope,Kyle Kuzma,Corey Kispert,Jalen Smith,Tyrese Haliburton,Terry Taylor,Oshae Brissett,Buddy Hield,1,0,0,0:12:00,0:00:00,0:00:00,2,IND,jump ball,,Thomas Bryant,Jalen Smith,,,,,,,Jalen Smith,,Tyrese Haliburton,,,,jump ball,,,,,,Jump Ball Smith vs. Bryant: Tip to Haliburton
22100876,2021-22 Regular Season,2022-02-16,Thomas Bryant,Raul Neto,Kentavious Caldwell-Pope,Kyle Kuzma,Corey Kispert,Jalen Smith,Tyrese Haliburton,Terry Taylor,Oshae Brissett,Buddy Hield,1,0,0,0:11:36,0:00:24,0:00:24,3,IND,turnover,,,,,,,,,,Jalen Smith,,,,,Raul Neto,lost ball,,,,,,Smith Lost Ball Turnover (P1.T1): Neto STEAL (1 STL)
22100876,2021-22 Regular Season,2022-02-16,Thomas Bryant,Raul Neto,Kentavious Caldwell-Pope,Kyle Kuzma,Corey Kispert,Jalen Smith,Tyrese Haliburton,Terry Taylor,Oshae Brissett,Buddy Hield,1,0,0,0:11:32,0:00:28,0:00:04,4,WAS,shot,,,,,,,,,,Kentavious Caldwell-Pope,0,,,missed,,3pt running jump shot,26,-244,94,49.400000000000006,14.4,MISS Caldwell-Pope 26' 3PT Running Jump Shot
22100876,2021-22 Regular Season,2022-02-16,Thomas Bryant,Raul Neto,Kentavious Caldwell-Pope,Kyle Kuzma,Corey Kispert,Jalen Smith,Tyrese Haliburton,Terry Taylor,Oshae Brissett,Buddy Hield,1,0,0,0:11:28,0:00:32,0:00:04,5,IND,rebound,,,,,,,,,,Terry Taylor,,,,,,rebound defensive,,,,,,Taylor REBOUND (Off:0 Def:1)
22100876,2021-22 Regular Season,2022-02-16,Thomas Bryant,Raul Neto,Kentavious Caldwell-Pope,Kyle Kuzma,Corey Kispert,Jalen Smith,Tyrese Haliburton,Terry Taylor,Oshae Brissett,Buddy Hield,1,0,0,0:11:11,0:00:49,0:00:17,6,IND,shot,,,,,,,,,,Oshae Brissett,0,,,missed,,driving layup,2,2,16,25.2,87.4,MISS Brissett 2' Driving Layup
22100876,2021-22 Regular Season,2022-02-16,Thomas Bryant,Raul Neto,Kentavious Caldwell-Pope,Kyle Kuzma,Corey Kispert,Jalen Smith,Tyrese Haliburton,Terry Taylor,Oshae Brissett,Buddy Hield,1,0,0,0:11:08,0:00:52,0:00:03,7,WAS,rebound,,,,,,,,,,Raul Neto,,,,,,rebound defensive,,,,,,Neto REBOUND (Off:0 Def:1)
22100876,2021-22 Regular Season,2022-02-16,Thomas Bryant,Raul Neto,Kentavious Caldwell-Pope,Kyle Kuzma,Corey Kispert,Jalen Smith,Tyrese Haliburton,Terry Taylor,Oshae Brissett,Buddy Hield,1,0,0,0:10:55,0:01:05,0:00:13,8,WAS,shot,,,,,,,,,,Kyle Kuzma,0,,,missed,,turnaround fadeaway,12,13,114,23.7,16.4,MISS Kuzma 11' Turnaround Fadeaway Shot
22100876,2021-22 Regular Season,2022-02-16,Thomas Bryant,Raul Neto,Kentavious Caldwell-Pope,Kyle Kuzma,Corey Kispert,Jalen Smith,Tyrese Haliburton,Terry Taylor,Oshae Brissett,Buddy Hield,1,0,0,0:10:52,0:01:08,0:00:03,9,WAS,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,Wizards Rebound
22100876,2021-22 Regular Season,2022-02-16,Thomas Bryant,Raul Neto,Kentavious Caldwell-Pope,Kyle Kuzma,Corey Kispert,Jalen Smith,Tyrese Haliburton,Terry Taylor,Oshae Brissett,Buddy Hield,1,0,0,0:10:46,0:01:14,0:00:06,10,WAS,shot,,,,,,,,,,Corey Kispert,0,,,missed,,3pt jump shot,27,-138,232,38.8,28.200000000000003,MISS Kispert 27' 3PT Jump Shot
22100876,2021-22 Regular Season,2022-02-16,Thomas Bryant,Raul Neto,Kentavious Caldwell-Pope,Kyle Kuzma,Corey Kispert,Jalen Smith,Tyrese Haliburton,Terry Taylor,Oshae Brissett,Buddy Hield,1,0,0,0:10:43,0:01:17,0:00:03,11,IND,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,PACERS Rebound
