game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,0,0,0:12:00,0:00:00,0:00:00,2,OKC,jump ball,,Deandre Ayton,Derrick Favors,,,,,,,Deandre Ayton,,Devin Booker,,,,jump ball,,,,,,Jump Ball Favors vs. Ayton: Tip to Booker
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,0,0,0:11:46,0:00:14,0:00:14,3,PHX,turnover,,,,,,,,,,Devin Booker,,,bad pass,,Aaron Wiggins,bad pass,,,,,,Wiggins STEAL (1 STL): Booker Bad Pass Turnover (P1.T1)
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,0,0,0:11:40,0:00:20,0:00:06,4,OKC,shot,,,,,,,,,,Josh Giddey,0,,,missed,,3pt jump shot,27,-175,206,7.5,68.4,MISS Giddey 27' 3PT Jump Shot
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,0,0,0:11:36,0:00:24,0:00:04,5,PHX,rebound,,,,,,,,,,Mikal Bridges,,,,,,rebound defensive,,,,,,Bridges REBOUND (Off:0 Def:1)
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,0,0,0:11:29,0:00:31,0:00:07,6,PHX,shot,,,,,,,,,,Mikal Bridges,0,,,missed,,3pt jump shot,27,162,216,8.8,26.6,MISS Bridges 27' 3PT Jump Shot
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,0,0,0:11:27,0:00:33,0:00:02,7,OKC,rebound,,,,,,,,,,Josh Giddey,,,,,,rebound defensive,,,,,,Giddey REBOUND (Off:0 Def:1)
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,0,2,0:11:08,0:00:52,0:00:19,8,OKC,shot,Darius Bazley,,,,,,,,,Derrick Favors,2,,,made,,jump shot,14,-13,142,23.7,74.8,Favors 14' Jump Shot (2 PTS) (Bazley 1 AST)
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,0,2,0:10:55,0:01:05,0:00:13,9,PHX,shot,,,,,,,,,,Mikal Bridges,0,,,missed,,jump bank shot,10,60,80,19.0,13.0,MISS Bridges 10' Jump Bank Shot
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,0,2,0:10:53,0:01:07,0:00:02,10,OKC,rebound,,,,,,,,,,Josh Giddey,,,,,,rebound defensive,,,,,,Giddey REBOUND (Off:0 Def:2)
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,0,4,0:10:42,0:01:18,0:00:11,11,OKC,shot,Josh Giddey,,,,,,,,,Shai Gilgeous-Alexander,2,,,made,,driving layup,4,-44,10,20.6,88.0,Gilgeous-Alexander 5' Driving Layup (2 PTS) (Giddey 1 AST)
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,0,4,0:10:31,0:01:29,0:00:11,12,OKC,foul,,,,,,,,Jae Crowder,,Josh Giddey,,,p.foul,,,personal,,,,,,Giddey P.FOUL (P1.T1) (R.Mott)
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,2,4,0:10:25,0:01:35,0:00:06,13,PHX,shot,,,,,,,,,,Jae Crowder,2,,,made,,jump shot,16,50,152,20.0,20.200000000000003,Crowder 16' Pullup Jump Shot (2 PTS)
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,2,4,0:10:04,0:01:56,0:00:21,14,OKC,turnover,,,,,,,,,,Josh Giddey,,,bad pass,,Deandre Ayton,bad pass,,,,,,Giddey Bad Pass Turnover (P1.T1): Ayton STEAL (1 STL)
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,4,4,0:10:00,0:02:00,0:00:04,15,PHX,shot,,,,,,,,,,Devin Booker,2,,,made,,layup,4,33,29,21.7,7.9,Booker 4' Running Layup (2 PTS)
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,4,6,0:09:53,0:02:07,0:00:07,16,OKC,shot,Josh Giddey,,,,,,,,,Aaron Wiggins,2,,,made,,cutting layup shot,5,-42,18,20.8,87.2,Wiggins 5' Cutting Layup Shot (2 PTS) (Giddey 2 AST)
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,4,6,0:09:30,0:02:30,0:00:23,17,PHX,shot,,,,Darius Bazley,,,,,,Devin Booker,0,,,missed,,3pt pullup jump shot,28,-92,267,34.2,31.700000000000003,Bazley BLOCK (1 BLK): MISS Booker 28' 3PT Pullup Jump Shot
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,4,6,0:09:27,0:02:33,0:00:03,18,OKC,rebound,,,,,,,,,,Josh Giddey,,,,,,rebound defensive,,,,,,Giddey REBOUND (Off:0 Def:3)
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,4,6,0:09:23,0:02:37,0:00:04,19,OKC,turnover,,,,,,,,,,Shai Gilgeous-Alexander,,,,,Jae Crowder,lost ball,,,,,,Gilgeous-Alexander Lost Ball Turnover (P1.T2): Crowder STEAL (1 STL)
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,4,6,0:09:14,0:02:46,0:00:09,20,PHX,turnover,,,,,,,,,,Devin Booker,,,bad pass,,,bad pass,,,,,,Booker Out of Bounds - Bad Pass Turnover Turnover (P2.T2)
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,4,6,0:09:00,0:03:00,0:00:14,21,OKC,shot,,,,,,,,,,Aaron Wiggins,0,,,missed,,3pt jump shot,23,230,22,48.0,86.8,MISS Wiggins 3PT Jump Shot
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,4,6,0:08:57,0:03:03,0:00:03,22,PHX,rebound,,,,,,,,,,Deandre Ayton,,,,,,rebound defensive,,,,,,Ayton REBOUND (Off:0 Def:1)
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,6,6,0:08:47,0:03:13,0:00:10,23,PHX,shot,Cameron Johnson,,,,,,,,,Deandre Ayton,2,,,made,,hook shot,6,16,62,23.4,11.2,Ayton 6' Hook Shot (2 PTS) (Johnson 1 AST)
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,6,6,0:08:47,0:03:13,0:00:00,24,OKC,foul,,,,,,,,Deandre Ayton,,Derrick Favors,,,s.foul,,,shooting,,,,,,Favors S.FOUL (P1.T2) (B.Adams)
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,6,6,0:08:47,0:03:13,0:00:00,25,PHX,free throw,,,,,,,1,,1,Deandre Ayton,0,,,missed,,free throw 1/1,,,,,,MISS Ayton Free Throw 1 of 1
22100893,2021-22 Regular Season,2022-02-24,Deandre Ayton,Devin Booker,Mikal Bridges,Jae Crowder,Cameron Johnson,Derrick Favors,Aaron Wiggins,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,1,6,6,0:08:45,0:03:15,0:00:02,26,OKC,rebound,,,,,,,,,,Darius Bazley,,,,,,rebound defensive,,,,,,Bazley REBOUND (Off:0 Def:1)
