game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100910,2021-22 Regular Season,2022-02-26,Andre Drummond,Bruce Brown,James Johnson,Seth Curry,Kyrie Irving,Bobby Portis,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,Grayson Allen,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100910,2021-22 Regular Season,2022-02-26,Andre Drummond,Bruce Brown,James Johnson,Seth Curry,Kyrie Irving,Bobby Portis,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,Grayson Allen,1,0,0,0:12:00,0:00:00,0:00:00,2,MIL,jump ball,,Andre Drummond,Bobby Portis,,,,,,,Bobby Portis,,Giannis Antetokounmpo,,,,jump ball,,,,,,Jump Ball Portis vs. Drummond: Tip to G. Antetokounmpo
22100910,2021-22 Regular Season,2022-02-26,Andre Drummond,Bruce Brown,James Johnson,Seth Curry,Kyrie Irving,Bobby Portis,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,Grayson Allen,1,0,2,0:11:43,0:00:17,0:00:17,3,MIL,shot,Khris Middleton,,,,,,,,,Jrue Holiday,2,,,made,,layup,2,4,24,25.4,86.6,Holiday 2' Alley Oop Layup (2 PTS) (Middleton 1 AST)
22100910,2021-22 Regular Season,2022-02-26,Andre Drummond,Bruce Brown,James Johnson,Seth Curry,Kyrie Irving,Bobby Portis,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,Grayson Allen,1,0,2,0:11:31,0:00:29,0:00:12,4,MIL,foul,,,,,,,,Bruce Brown,,Khris Middleton,,,s.foul,,,shooting,,,,,,Middleton S.FOUL (P1.T1) (T.Ford)
22100910,2021-22 Regular Season,2022-02-26,Andre Drummond,Bruce Brown,James Johnson,Seth Curry,Kyrie Irving,Bobby Portis,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,Grayson Allen,1,1,2,0:11:31,0:00:29,0:00:00,5,BKN,free throw,,,,,,,1,,2,Bruce Brown,1,,,made,,free throw 1/2,,,,,,Brown Free Throw 1 of 2 (1 PTS)
22100910,2021-22 Regular Season,2022-02-26,Andre Drummond,Bruce Brown,James Johnson,Seth Curry,Kyrie Irving,Bobby Portis,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,Grayson Allen,1,2,2,0:11:31,0:00:29,0:00:00,6,BKN,free throw,,,,,,,2,,2,Bruce Brown,1,,,made,,free throw 2/2,,,,,,Brown Free Throw 2 of 2 (2 PTS)
22100910,2021-22 Regular Season,2022-02-26,Andre Drummond,Bruce Brown,James Johnson,Seth Curry,Kyrie Irving,Bobby Portis,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,Grayson Allen,1,2,2,0:11:22,0:00:38,0:00:09,7,MIL,shot,,,,James Johnson,,,,,,Giannis Antetokounmpo,0,,,missed,,layup,1,-9,5,24.1,88.5,MISS G. Antetokounmpo 1' Layup: Johnson BLOCK (1 BLK)
22100910,2021-22 Regular Season,2022-02-26,Andre Drummond,Bruce Brown,James Johnson,Seth Curry,Kyrie Irving,Bobby Portis,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,Grayson Allen,1,2,2,0:11:19,0:00:41,0:00:03,8,BKN,rebound,,,,,,,,,,Seth Curry,,,,,,rebound defensive,,,,,,Curry REBOUND (Off:0 Def:1)
22100910,2021-22 Regular Season,2022-02-26,Andre Drummond,Bruce Brown,James Johnson,Seth Curry,Kyrie Irving,Bobby Portis,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,Grayson Allen,1,4,2,0:11:03,0:00:57,0:00:16,9,BKN,shot,,,,,,,,,,Andre Drummond,2,,,made,,driving layup,3,-17,28,26.7,7.800000000000001,Drummond 3' Driving Layup (2 PTS)
22100910,2021-22 Regular Season,2022-02-26,Andre Drummond,Bruce Brown,James Johnson,Seth Curry,Kyrie Irving,Bobby Portis,Giannis Antetokounmpo,Jrue Holiday,Khris Middleton,Grayson Allen,1,4,2,0:10:52,0:01:08,0:00:11,10,MIL,shot,,,,,,,,,,Bobby Portis,0,,,missed,,3pt jump shot,27,129,234,37.9,65.6,MISS Portis 27' 3PT Jump Shot
