game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100923,2021-22 Regular Season,2022-02-28,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,Doug McDermott,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100923,2021-22 Regular Season,2022-02-28,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,Doug McDermott,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,1,0,0,0:12:00,0:00:00,0:00:00,2,MEM,jump ball,,Jakob Poeltl,Steven Adams,,,,,,,Steven Adams,,Ja Morant,,,,jump ball,,,,,,Jump Ball Adams vs. Poeltl: Tip to Morant
22100923,2021-22 Regular Season,2022-02-28,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,Doug McDermott,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,1,0,0,0:11:49,0:00:11,0:00:11,3,MEM,turnover,,,,,,,,,,Ja Morant,,,bad pass,,Dejounte Murray,bad pass,,,,,,Morant Bad Pass Turnover (P1.T1): Murray STEAL (1 STL)
22100923,2021-22 Regular Season,2022-02-28,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,Doug McDermott,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,1,2,0,0:11:46,0:00:14,0:00:03,4,SAS,shot,,,,,,,,,,Dejounte Murray,2,,,made,,layup,1,1,7,24.9,5.7,Murray 1' Running Finger Roll Layup (2 PTS)
22100923,2021-22 Regular Season,2022-02-28,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,Doug McDermott,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,1,2,0,0:11:40,0:00:20,0:00:06,5,MEM,shot,,,,Dejounte Murray,,,,,,Ja Morant,0,,,missed,,layup,0,-1,-2,24.9,89.2,MISS Morant Running Layup: Murray BLOCK (1 BLK)
22100923,2021-22 Regular Season,2022-02-28,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,Doug McDermott,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,1,2,0,0:11:40,0:00:20,0:00:00,6,SAS,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,Spurs Rebound
22100923,2021-22 Regular Season,2022-02-28,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,Doug McDermott,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,1,4,0,0:11:21,0:00:39,0:00:19,7,SAS,shot,Devin Vassell,,,,,,,,,Jakob Poeltl,2,,,made,,floating jump shot,11,-105,41,35.5,9.100000000000001,Poeltl 11' Floating Jump Shot (2 PTS) (Vassell 1 AST)
22100923,2021-22 Regular Season,2022-02-28,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,Doug McDermott,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,1,4,0,0:11:06,0:00:54,0:00:15,8,MEM,shot,,,,,,,,,,Desmond Bane,0,,,missed,,jump shot,13,-98,83,15.2,80.7,MISS Bane 13' Pullup Jump Shot
22100923,2021-22 Regular Season,2022-02-28,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,Doug McDermott,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,1,4,0,0:11:04,0:00:56,0:00:02,9,SAS,rebound,,,,,,,,,,Jakob Poeltl,,,,,,rebound defensive,,,,,,Poeltl REBOUND (Off:0 Def:1)
22100923,2021-22 Regular Season,2022-02-28,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,Doug McDermott,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,1,4,0,0:10:57,0:01:03,0:00:07,10,SAS,shot,,,,,,,,,,Keldon Johnson,0,,,missed,,3pt jump shot,26,88,239,16.2,28.900000000000002,MISS Johnson 25' 3PT Jump Shot
22100923,2021-22 Regular Season,2022-02-28,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,Doug McDermott,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,1,4,0,0:10:55,0:01:05,0:00:02,11,MEM,rebound,,,,,,,,,,Steven Adams,,,,,,rebound defensive,,,,,,Adams REBOUND (Off:0 Def:1)
22100923,2021-22 Regular Season,2022-02-28,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,Doug McDermott,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,1,4,0,0:10:48,0:01:12,0:00:07,12,SAS,foul,,,,,,,,Ja Morant,,Devin Vassell,,,p.foul,,,personal,,,,,,Vassell P.FOUL (P1.T1) (R.Mott)
22100923,2021-22 Regular Season,2022-02-28,Jakob Poeltl,Dejounte Murray,Devin Vassell,Keldon Johnson,Doug McDermott,Steven Adams,Ja Morant,Desmond Bane,Jaren Jackson Jr.,Ziaire Williams,1,4,3,0:10:46,0:01:14,0:00:02,13,MEM,shot,Desmond Bane,,,,,,,,,Jaren Jackson Jr.,3,,,made,,3pt jump shot,25,80,236,33.0,65.4,Jackson Jr. 25' 3PT Jump Shot (3 PTS) (Bane 1 AST)
