game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100951,2021-22 Regular Season,2022-03-04,Karl-Anthony Towns,Patrick Beverley,D'Angelo Russell,Jaden McDaniels,Jarred Vanderbilt,Isaiah Roby,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Tre Mann,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100951,2021-22 Regular Season,2022-03-04,Karl-Anthony Towns,Patrick Beverley,D'Angelo Russell,Jaden McDaniels,Jarred Vanderbilt,Isaiah Roby,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Tre Mann,1,0,0,0:12:00,0:00:00,0:00:00,2,OKC,jump ball,,Karl-Anthony Towns,Isaiah Roby,,,,,,,Karl-Anthony Towns,,Patrick Beverley,,,,jump ball,,,,,,Jump Ball Roby vs. Towns: Tip to Beverley
22100951,2021-22 Regular Season,2022-03-04,Karl-Anthony Towns,Patrick Beverley,D'Angelo Russell,Jaden McDaniels,Jarred Vanderbilt,Isaiah Roby,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Tre Mann,1,2,0,0:11:43,0:00:17,0:00:17,3,MIN,shot,Patrick Beverley,,,,,,,,,D'Angelo Russell,2,,,made,,driving layup,9,-56,71,30.6,12.100000000000001,Russell 9' Driving Layup (2 PTS) (Beverley 1 AST)
22100951,2021-22 Regular Season,2022-03-04,Karl-Anthony Towns,Patrick Beverley,D'Angelo Russell,Jaden McDaniels,Jarred Vanderbilt,Isaiah Roby,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Tre Mann,1,2,0,0:11:24,0:00:36,0:00:19,4,MIN,foul,,,,,,,,Isaiah Roby,,Patrick Beverley,,,s.foul,,,shooting,,,,,,Beverley S.FOUL (P1.T1) (J.Goble)
22100951,2021-22 Regular Season,2022-03-04,Karl-Anthony Towns,Patrick Beverley,D'Angelo Russell,Jaden McDaniels,Jarred Vanderbilt,Isaiah Roby,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Tre Mann,1,2,1,0:11:24,0:00:36,0:00:00,5,OKC,free throw,,,,,,,1,,2,Isaiah Roby,1,,,made,,free throw 1/2,,,,,,Roby Free Throw 1 of 2 (1 PTS)
22100951,2021-22 Regular Season,2022-03-04,Karl-Anthony Towns,Patrick Beverley,D'Angelo Russell,Jaden McDaniels,Jarred Vanderbilt,Isaiah Roby,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Tre Mann,1,2,2,0:11:24,0:00:36,0:00:00,6,OKC,free throw,,,,,,,2,,2,Isaiah Roby,1,,,made,,free throw 2/2,,,,,,Roby Free Throw 2 of 2 (2 PTS)
22100951,2021-22 Regular Season,2022-03-04,Karl-Anthony Towns,Patrick Beverley,D'Angelo Russell,Jaden McDaniels,Jarred Vanderbilt,Isaiah Roby,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Tre Mann,1,2,2,0:11:04,0:00:56,0:00:20,7,MIN,turnover,,,,,,,,,,Karl-Anthony Towns,,,bad pass,,Aleksej Pokusevski,bad pass,,,,,,Pokusevski STEAL (1 STL): Towns Bad Pass Turnover (P1.T1)
22100951,2021-22 Regular Season,2022-03-04,Karl-Anthony Towns,Patrick Beverley,D'Angelo Russell,Jaden McDaniels,Jarred Vanderbilt,Isaiah Roby,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Tre Mann,1,2,4,0:10:58,0:01:02,0:00:06,8,OKC,shot,Shai Gilgeous-Alexander,,,,,,,,,Isaiah Roby,2,,,made,,layup,6,47,35,29.7,85.5,Roby 6' Running Layup (4 PTS) (Gilgeous-Alexander 1 AST)
22100951,2021-22 Regular Season,2022-03-04,Karl-Anthony Towns,Patrick Beverley,D'Angelo Russell,Jaden McDaniels,Jarred Vanderbilt,Isaiah Roby,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Tre Mann,1,2,4,0:10:51,0:01:09,0:00:07,9,OKC,foul,,,,,,,,D'Angelo Russell,,Shai Gilgeous-Alexander,,,p.foul,,,personal,,,,,,Gilgeous-Alexander P.FOUL (P1.T1) (J.Goble)
22100951,2021-22 Regular Season,2022-03-04,Karl-Anthony Towns,Patrick Beverley,D'Angelo Russell,Jaden McDaniels,Jarred Vanderbilt,Isaiah Roby,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Tre Mann,1,3,4,0:10:51,0:01:09,0:00:00,10,MIN,free throw,,,,,,,1,,2,D'Angelo Russell,1,,,made,,free throw 1/2,,,,,,Russell Free Throw 1 of 2 (3 PTS)
