game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100955,2021-22 Regular Season,2022-03-05,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Devin Vassell,Mason Plumlee,P.J. Washington,Terry Rozier,LaMelo Ball,Miles Bridges,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100955,2021-22 Regular Season,2022-03-05,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Devin Vassell,Mason Plumlee,P.J. Washington,Terry Rozier,LaMelo Ball,Miles Bridges,1,0,0,0:12:00,0:00:00,0:00:00,2,CHA,jump ball,,Jakob Poeltl,Mason Plumlee,,,,,,,Mason Plumlee,,P.J. Washington,,,,jump ball,,,,,,Jump Ball Plumlee vs. Poeltl: Tip to Washington
22100955,2021-22 Regular Season,2022-03-05,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Devin Vassell,Mason Plumlee,P.J. Washington,Terry Rozier,LaMelo Ball,Miles Bridges,1,0,0,0:11:56,0:00:04,0:00:04,3,CHA,turnover,,,,,,,,,,Terry Rozier,,,,,,step out of bounds,,,,,,Rozier Step Out of Bounds Turnover (P1.T1)
22100955,2021-22 Regular Season,2022-03-05,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Devin Vassell,Mason Plumlee,P.J. Washington,Terry Rozier,LaMelo Ball,Miles Bridges,1,0,0,0:11:35,0:00:25,0:00:21,4,SAS,shot,,,,,,,,,,Dejounte Murray,0,,,missed,,jump shot,17,5,174,24.5,22.400000000000002,MISS Murray 17' Jump Shot
22100955,2021-22 Regular Season,2022-03-05,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Devin Vassell,Mason Plumlee,P.J. Washington,Terry Rozier,LaMelo Ball,Miles Bridges,1,0,0,0:11:32,0:00:28,0:00:03,5,CHA,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound defensive,,,,,,Plumlee REBOUND (Off:0 Def:1)
22100955,2021-22 Regular Season,2022-03-05,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Devin Vassell,Mason Plumlee,P.J. Washington,Terry Rozier,LaMelo Ball,Miles Bridges,1,0,0,0:11:25,0:00:35,0:00:07,6,SAS,foul,,,,,,,,Mason Plumlee,,Dejounte Murray,,,p.foul,,,personal,,,,,,Murray P.FOUL (P1.T1) (B.Barnaky)
22100955,2021-22 Regular Season,2022-03-05,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Devin Vassell,Mason Plumlee,P.J. Washington,Terry Rozier,LaMelo Ball,Miles Bridges,1,0,2,0:11:21,0:00:39,0:00:04,7,CHA,shot,LaMelo Ball,,,,,,,,,Mason Plumlee,2,,,made,,cutting layup shot,1,-1,8,24.9,88.2,Plumlee 1' Cutting Layup Shot (2 PTS) (Ball 1 AST)
22100955,2021-22 Regular Season,2022-03-05,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Devin Vassell,Mason Plumlee,P.J. Washington,Terry Rozier,LaMelo Ball,Miles Bridges,1,0,2,0:11:08,0:00:52,0:00:13,8,SAS,shot,,,,,,,,,,Jakob Poeltl,0,,,missed,,layup,1,-9,8,25.9,5.8,MISS Poeltl 1' Layup
22100955,2021-22 Regular Season,2022-03-05,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Devin Vassell,Mason Plumlee,P.J. Washington,Terry Rozier,LaMelo Ball,Miles Bridges,1,0,2,0:11:08,0:00:52,0:00:00,9,SAS,rebound,,,,,,,,,,Doug McDermott,,,,,,rebound offensive,,,,,,McDermott REBOUND (Off:1 Def:0)
22100955,2021-22 Regular Season,2022-03-05,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Devin Vassell,Mason Plumlee,P.J. Washington,Terry Rozier,LaMelo Ball,Miles Bridges,1,3,2,0:11:03,0:00:57,0:00:05,10,SAS,shot,Doug McDermott,,,,,,,,,Keldon Johnson,3,,,made,,3pt jump shot,25,195,162,5.5,21.2,Johnson 25' 3PT Jump Shot (3 PTS) (McDermott 1 AST)
22100955,2021-22 Regular Season,2022-03-05,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Devin Vassell,Mason Plumlee,P.J. Washington,Terry Rozier,LaMelo Ball,Miles Bridges,1,3,2,0:10:48,0:01:12,0:00:15,11,CHA,shot,,,,,,,,,,LaMelo Ball,0,,,missed,,floating jump shot,4,-16,36,23.4,85.4,MISS Ball 4' Floating Jump Shot
22100955,2021-22 Regular Season,2022-03-05,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Devin Vassell,Mason Plumlee,P.J. Washington,Terry Rozier,LaMelo Ball,Miles Bridges,1,3,2,0:10:46,0:01:14,0:00:02,12,SAS,rebound,,,,,,,,,,Devin Vassell,,,,,,rebound defensive,,,,,,Vassell REBOUND (Off:0 Def:1)
22100955,2021-22 Regular Season,2022-03-05,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Devin Vassell,Mason Plumlee,P.J. Washington,Terry Rozier,LaMelo Ball,Miles Bridges,1,5,2,0:10:45,0:01:15,0:00:01,13,SAS,shot,Dejounte Murray,,,,,,,,,Keldon Johnson,2,,,made,,layup,1,-10,0,26.0,5.0,Johnson 1' Layup (5 PTS) (Murray 1 AST)
22100955,2021-22 Regular Season,2022-03-05,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Devin Vassell,Mason Plumlee,P.J. Washington,Terry Rozier,LaMelo Ball,Miles Bridges,1,5,5,0:10:33,0:01:27,0:00:12,14,CHA,shot,Terry Rozier,,,,,,,,,P.J. Washington,3,,,made,,3pt jump shot,27,4,267,25.4,62.3,Washington 27' 3PT Jump Shot (3 PTS) (Rozier 1 AST)
22100955,2021-22 Regular Season,2022-03-05,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Devin Vassell,Mason Plumlee,P.J. Washington,Terry Rozier,LaMelo Ball,Miles Bridges,1,5,5,0:10:15,0:01:45,0:00:18,15,SAS,shot,,,,,,,,,,Dejounte Murray,0,,,missed,,jump shot,7,-13,66,26.3,11.600000000000001,MISS Murray 7' Pullup Jump Shot
22100955,2021-22 Regular Season,2022-03-05,Jakob Poeltl,Dejounte Murray,Doug McDermott,Keldon Johnson,Devin Vassell,Mason Plumlee,P.J. Washington,Terry Rozier,LaMelo Ball,Miles Bridges,1,5,5,0:10:13,0:01:47,0:00:02,16,CHA,rebound,,,,,,,,,,Mason Plumlee,,,,,,rebound defensive,,,,,,Plumlee REBOUND (Off:0 Def:2)
