game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100965,2021-22 Regular Season,2022-03-06,Rudy Gobert,Bojan Bogdanovic,Donovan Mitchell,Royce O'Neale,Trent Forrest,Darius Bazley,Shai Gilgeous-Alexander,Aleksej Pokusevski,Tre Mann,Aaron Wiggins,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100965,2021-22 Regular Season,2022-03-06,Rudy Gobert,Bojan Bogdanovic,Donovan Mitchell,Royce O'Neale,Trent Forrest,Darius Bazley,Shai Gilgeous-Alexander,Aleksej Pokusevski,Tre Mann,Aaron Wiggins,1,0,0,0:12:00,0:00:00,0:00:00,2,OKC,jump ball,,Rudy Gobert,Darius Bazley,,,,,,,Darius Bazley,,Shai Gilgeous-Alexander,,,,jump ball,,,,,,Jump Ball Bazley vs. Gobert: Tip to Gilgeous-Alexander
22100965,2021-22 Regular Season,2022-03-06,Rudy Gobert,Bojan Bogdanovic,Donovan Mitchell,Royce O'Neale,Trent Forrest,Darius Bazley,Shai Gilgeous-Alexander,Aleksej Pokusevski,Tre Mann,Aaron Wiggins,1,0,0,0:11:47,0:00:13,0:00:13,3,OKC,shot,,,,,,,,,,Darius Bazley,0,,,missed,,3pt jump shot,26,-27,258,22.3,63.2,MISS Bazley 26' 3PT Jump Shot
22100965,2021-22 Regular Season,2022-03-06,Rudy Gobert,Bojan Bogdanovic,Donovan Mitchell,Royce O'Neale,Trent Forrest,Darius Bazley,Shai Gilgeous-Alexander,Aleksej Pokusevski,Tre Mann,Aaron Wiggins,1,0,0,0:11:44,0:00:16,0:00:03,4,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
22100965,2021-22 Regular Season,2022-03-06,Rudy Gobert,Bojan Bogdanovic,Donovan Mitchell,Royce O'Neale,Trent Forrest,Darius Bazley,Shai Gilgeous-Alexander,Aleksej Pokusevski,Tre Mann,Aaron Wiggins,1,0,0,0:11:29,0:00:31,0:00:15,5,UTA,turnover,,,,,,,,,,Bojan Bogdanovic,,,,,Aleksej Pokusevski,lost ball,,,,,,Pokusevski STEAL (1 STL): Bogdanovic Lost Ball Turnover (P1.T1)
22100965,2021-22 Regular Season,2022-03-06,Rudy Gobert,Bojan Bogdanovic,Donovan Mitchell,Royce O'Neale,Trent Forrest,Darius Bazley,Shai Gilgeous-Alexander,Aleksej Pokusevski,Tre Mann,Aaron Wiggins,1,0,2,0:11:24,0:00:36,0:00:05,6,OKC,shot,Shai Gilgeous-Alexander,,,,,,,,,Aleksej Pokusevski,2,,,made,,cutting layup shot,4,-13,37,23.7,85.3,Pokusevski 4' Cutting Layup Shot (2 PTS) (Gilgeous-Alexander 1 AST)
22100965,2021-22 Regular Season,2022-03-06,Rudy Gobert,Bojan Bogdanovic,Donovan Mitchell,Royce O'Neale,Trent Forrest,Darius Bazley,Shai Gilgeous-Alexander,Aleksej Pokusevski,Tre Mann,Aaron Wiggins,1,2,2,0:11:12,0:00:48,0:00:12,7,UTA,shot,Bojan Bogdanovic,,,,,,,,,Donovan Mitchell,2,,,made,,jump shot,20,-43,193,29.3,24.3,Mitchell 20' Jump Shot (2 PTS) (Bogdanovic 1 AST)
22100965,2021-22 Regular Season,2022-03-06,Rudy Gobert,Bojan Bogdanovic,Donovan Mitchell,Royce O'Neale,Trent Forrest,Darius Bazley,Shai Gilgeous-Alexander,Aleksej Pokusevski,Tre Mann,Aaron Wiggins,1,2,5,0:10:57,0:01:03,0:00:15,8,OKC,shot,Shai Gilgeous-Alexander,,,,,,,,,Darius Bazley,3,,,made,,3pt jump shot,26,-36,260,21.4,63.0,Bazley 26' 3PT Jump Shot (3 PTS) (Gilgeous-Alexander 2 AST)
22100965,2021-22 Regular Season,2022-03-06,Rudy Gobert,Bojan Bogdanovic,Donovan Mitchell,Royce O'Neale,Trent Forrest,Darius Bazley,Shai Gilgeous-Alexander,Aleksej Pokusevski,Tre Mann,Aaron Wiggins,1,2,5,0:10:41,0:01:19,0:00:16,9,OKC,foul,,,,,,,,Rudy Gobert,,Tre Mann,,,s.foul,,,shooting,,,,,,Mann S.FOUL (P1.T1) (P.Fraher)
22100965,2021-22 Regular Season,2022-03-06,Rudy Gobert,Bojan Bogdanovic,Donovan Mitchell,Royce O'Neale,Trent Forrest,Darius Bazley,Shai Gilgeous-Alexander,Aleksej Pokusevski,Tre Mann,Aaron Wiggins,1,3,5,0:10:41,0:01:19,0:00:00,10,UTA,free throw,,,,,,,1,,2,Rudy Gobert,1,,,made,,free throw 1/2,,,,,,Gobert Free Throw 1 of 2 (1 PTS)
