game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100966,2021-22 Regular Season,2022-03-06,Mitchell Robinson,Alec Burks,Julius Randle,Evan Fournier,RJ Barrett,Ivica Zubac,Nicolas Batum,Reggie Jackson,Terance Mann,Marcus Morris Sr.,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100966,2021-22 Regular Season,2022-03-06,Mitchell Robinson,Alec Burks,Julius Randle,Evan Fournier,RJ Barrett,Ivica Zubac,Nicolas Batum,Reggie Jackson,Terance Mann,Marcus Morris Sr.,1,0,0,0:12:00,0:00:00,0:00:00,2,LAC,jump ball,,Mitchell Robinson,Ivica Zubac,,,,,,,Mitchell Robinson,,Alec Burks,,,,jump ball,,,,,,Jump Ball Zubac vs. Robinson: Tip to Burks
22100966,2021-22 Regular Season,2022-03-06,Mitchell Robinson,Alec Burks,Julius Randle,Evan Fournier,RJ Barrett,Ivica Zubac,Nicolas Batum,Reggie Jackson,Terance Mann,Marcus Morris Sr.,1,0,0,0:11:48,0:00:12,0:00:12,3,NYK,shot,,,,,,,,,,Julius Randle,0,,,missed,,jump shot,15,-29,144,27.9,19.4,MISS Randle 15' Jump Shot
22100966,2021-22 Regular Season,2022-03-06,Mitchell Robinson,Alec Burks,Julius Randle,Evan Fournier,RJ Barrett,Ivica Zubac,Nicolas Batum,Reggie Jackson,Terance Mann,Marcus Morris Sr.,1,0,0,0:11:44,0:00:16,0:00:04,4,LAC,rebound,,,,,,,,,,Nicolas Batum,,,,,,rebound defensive,,,,,,Batum REBOUND (Off:0 Def:1)
22100966,2021-22 Regular Season,2022-03-06,Mitchell Robinson,Alec Burks,Julius Randle,Evan Fournier,RJ Barrett,Ivica Zubac,Nicolas Batum,Reggie Jackson,Terance Mann,Marcus Morris Sr.,1,0,0,0:11:39,0:00:21,0:00:05,5,NYK,foul,,,,,,,,Reggie Jackson,,Evan Fournier,,,p.foul,,,personal,,,,,,Fournier P.FOUL (P1.T1) (K.Fitzgerald)
22100966,2021-22 Regular Season,2022-03-06,Mitchell Robinson,Alec Burks,Julius Randle,Evan Fournier,RJ Barrett,Ivica Zubac,Nicolas Batum,Reggie Jackson,Terance Mann,Marcus Morris Sr.,1,0,0,0:11:32,0:00:28,0:00:07,6,LAC,shot,,,,,,,,,,Ivica Zubac,0,,,missed,,hook shot,7,13,73,26.3,81.7,MISS Zubac 7' Turnaround Hook Shot
22100966,2021-22 Regular Season,2022-03-06,Mitchell Robinson,Alec Burks,Julius Randle,Evan Fournier,RJ Barrett,Ivica Zubac,Nicolas Batum,Reggie Jackson,Terance Mann,Marcus Morris Sr.,1,0,0,0:11:28,0:00:32,0:00:04,7,NYK,rebound,,,,,,,,,,Julius Randle,,,,,,rebound defensive,,,,,,Randle REBOUND (Off:0 Def:1)
22100966,2021-22 Regular Season,2022-03-06,Mitchell Robinson,Alec Burks,Julius Randle,Evan Fournier,RJ Barrett,Ivica Zubac,Nicolas Batum,Reggie Jackson,Terance Mann,Marcus Morris Sr.,1,3,0,0:11:22,0:00:38,0:00:06,8,NYK,shot,RJ Barrett,,,,,,,,,Alec Burks,3,,,made,,3pt jump shot,23,-229,25,47.900000000000006,7.5,Burks 3PT Jump Shot (3 PTS) (Barrett 1 AST)
22100966,2021-22 Regular Season,2022-03-06,Mitchell Robinson,Alec Burks,Julius Randle,Evan Fournier,RJ Barrett,Ivica Zubac,Nicolas Batum,Reggie Jackson,Terance Mann,Marcus Morris Sr.,1,3,0,0:11:07,0:00:53,0:00:15,9,LAC,foul,,,,,,,,Evan Fournier,,Ivica Zubac,,,,,,offensive,,,,,,Zubac OFF.Foul (P1) (J.Van Duyne)
22100966,2021-22 Regular Season,2022-03-06,Mitchell Robinson,Alec Burks,Julius Randle,Evan Fournier,RJ Barrett,Ivica Zubac,Nicolas Batum,Reggie Jackson,Terance Mann,Marcus Morris Sr.,1,3,0,0:11:07,0:00:53,0:00:00,10,LAC,turnover,,,,,,,,,,Ivica Zubac,,,offensive foul turnover,,,offensive foul,,,,,,Zubac Offensive Foul Turnover (P1.T1)
