game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100976,2021-22 Regular Season,2022-03-08,Evan Mobley,Darius Garland,Isaac Okoro,Lauri Markkanen,Dean Wade,Isaiah Jackson,Oshae Brissett,Tyrese Haliburton,Buddy Hield,Malcolm Brogdon,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100976,2021-22 Regular Season,2022-03-08,Evan Mobley,Darius Garland,Isaac Okoro,Lauri Markkanen,Dean Wade,Isaiah Jackson,Oshae Brissett,Tyrese Haliburton,Buddy Hield,Malcolm Brogdon,1,0,0,0:12:00,0:00:00,0:00:00,2,IND,jump ball,,Evan Mobley,Isaiah Jackson,,,,,,,Isaiah Jackson,,Oshae Brissett,,,,jump ball,,,,,,Jump Ball Jackson vs. Mobley: Tip to Brissett
22100976,2021-22 Regular Season,2022-03-08,Evan Mobley,Darius Garland,Isaac Okoro,Lauri Markkanen,Dean Wade,Isaiah Jackson,Oshae Brissett,Tyrese Haliburton,Buddy Hield,Malcolm Brogdon,1,0,2,0:11:41,0:00:19,0:00:19,3,IND,shot,Tyrese Haliburton,,,,,,,,,Isaiah Jackson,2,,,made,,driving floating bank jump shot,6,-43,36,20.7,85.4,Jackson 6' Driving Floating Bank Jump Shot (2 PTS) (Haliburton 1 AST)
22100976,2021-22 Regular Season,2022-03-08,Evan Mobley,Darius Garland,Isaac Okoro,Lauri Markkanen,Dean Wade,Isaiah Jackson,Oshae Brissett,Tyrese Haliburton,Buddy Hield,Malcolm Brogdon,1,0,2,0:11:25,0:00:35,0:00:16,4,IND,foul,,,,,,,,Evan Mobley,,Buddy Hield,,,s.foul,,,shooting,,,,,,Hield S.FOUL (P1.T1) (N.Buchert)
22100976,2021-22 Regular Season,2022-03-08,Evan Mobley,Darius Garland,Isaac Okoro,Lauri Markkanen,Dean Wade,Isaiah Jackson,Oshae Brissett,Tyrese Haliburton,Buddy Hield,Malcolm Brogdon,1,1,2,0:11:25,0:00:35,0:00:00,5,CLE,free throw,,,,,,,1,,2,Evan Mobley,1,,,made,,free throw 1/2,,,,,,Mobley Free Throw 1 of 2 (1 PTS)
22100976,2021-22 Regular Season,2022-03-08,Evan Mobley,Darius Garland,Isaac Okoro,Lauri Markkanen,Dean Wade,Isaiah Jackson,Oshae Brissett,Tyrese Haliburton,Buddy Hield,Malcolm Brogdon,1,2,2,0:11:25,0:00:35,0:00:00,6,CLE,free throw,,,,,,,2,,2,Evan Mobley,1,,,made,,free throw 2/2,,,,,,Mobley Free Throw 2 of 2 (2 PTS)
22100976,2021-22 Regular Season,2022-03-08,Evan Mobley,Darius Garland,Isaac Okoro,Lauri Markkanen,Dean Wade,Isaiah Jackson,Oshae Brissett,Tyrese Haliburton,Buddy Hield,Malcolm Brogdon,1,2,2,0:11:14,0:00:46,0:00:11,7,IND,turnover,,,,,,,,,,Malcolm Brogdon,,,bad pass,,,bad pass,,,,,,Brogdon Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
22100976,2021-22 Regular Season,2022-03-08,Evan Mobley,Darius Garland,Isaac Okoro,Lauri Markkanen,Dean Wade,Isaiah Jackson,Oshae Brissett,Tyrese Haliburton,Buddy Hield,Malcolm Brogdon,1,2,2,0:11:05,0:00:55,0:00:09,8,CLE,shot,,,,,,,,,,Darius Garland,0,,,missed,,layup,1,5,3,24.5,5.3,MISS Garland 1' Driving Finger Roll Layup
22100976,2021-22 Regular Season,2022-03-08,Evan Mobley,Darius Garland,Isaac Okoro,Lauri Markkanen,Dean Wade,Isaiah Jackson,Oshae Brissett,Tyrese Haliburton,Buddy Hield,Malcolm Brogdon,1,2,2,0:11:04,0:00:56,0:00:01,9,CLE,rebound,,,,,,,,,,Evan Mobley,,,,,,rebound offensive,,,,,,Mobley REBOUND (Off:1 Def:0)
22100976,2021-22 Regular Season,2022-03-08,Evan Mobley,Darius Garland,Isaac Okoro,Lauri Markkanen,Dean Wade,Isaiah Jackson,Oshae Brissett,Tyrese Haliburton,Buddy Hield,Malcolm Brogdon,1,2,2,0:11:04,0:00:56,0:00:00,10,IND,foul,,,,,,,,Evan Mobley,,Oshae Brissett,,,s.foul,,,shooting,,,,,,Brissett S.FOUL (P1.T2) (G.Petraitis)
