game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22100991,2021-22 Regular Season,2022-03-09,Nikola Jokic,Monte Morris,Aaron Gordon,Davon Reed,Austin Rivers,Alex Len,De'Aaron Fox,Justin Holiday,Harrison Barnes,Trey Lyles,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22100991,2021-22 Regular Season,2022-03-09,Nikola Jokic,Monte Morris,Aaron Gordon,Davon Reed,Austin Rivers,Alex Len,De'Aaron Fox,Justin Holiday,Harrison Barnes,Trey Lyles,1,0,0,0:12:00,0:00:00,0:00:00,2,SAC,jump ball,,Nikola Jokic,Alex Len,,,,,,,Nikola Jokic,,Monte Morris,,,,jump ball,,,,,,Jump Ball Len vs. Jokic: Tip to Morris
22100991,2021-22 Regular Season,2022-03-09,Nikola Jokic,Monte Morris,Aaron Gordon,Davon Reed,Austin Rivers,Alex Len,De'Aaron Fox,Justin Holiday,Harrison Barnes,Trey Lyles,1,2,0,0:11:38,0:00:22,0:00:22,3,DEN,shot,,,,,,,,,,Nikola Jokic,2,,,made,,layup,2,-20,6,27.0,5.6,Jokic 2' Reverse Layup (2 PTS)
22100991,2021-22 Regular Season,2022-03-09,Nikola Jokic,Monte Morris,Aaron Gordon,Davon Reed,Austin Rivers,Alex Len,De'Aaron Fox,Justin Holiday,Harrison Barnes,Trey Lyles,1,2,0,0:11:21,0:00:39,0:00:17,4,SAC,shot,,,,,,,,,,De'Aaron Fox,0,,,missed,,layup,2,22,1,27.2,88.9,MISS Fox 2' Reverse Layup
22100991,2021-22 Regular Season,2022-03-09,Nikola Jokic,Monte Morris,Aaron Gordon,Davon Reed,Austin Rivers,Alex Len,De'Aaron Fox,Justin Holiday,Harrison Barnes,Trey Lyles,1,2,0,0:11:18,0:00:42,0:00:03,5,DEN,rebound,,,,,,,,,,Nikola Jokic,,,,,,rebound defensive,,,,,,Jokic REBOUND (Off:0 Def:1)
22100991,2021-22 Regular Season,2022-03-09,Nikola Jokic,Monte Morris,Aaron Gordon,Davon Reed,Austin Rivers,Alex Len,De'Aaron Fox,Justin Holiday,Harrison Barnes,Trey Lyles,1,2,0,0:11:12,0:00:48,0:00:06,6,DEN,turnover,,,,,,,,,,Aaron Gordon,,,,,,step out of bounds,,,,,,Gordon Step Out of Bounds Turnover (P1.T1)
22100991,2021-22 Regular Season,2022-03-09,Nikola Jokic,Monte Morris,Aaron Gordon,Davon Reed,Austin Rivers,Alex Len,De'Aaron Fox,Justin Holiday,Harrison Barnes,Trey Lyles,1,2,0,0:10:57,0:01:03,0:00:15,7,SAC,shot,,,,,,,,,,Justin Holiday,0,,,missed,,jump shot,18,124,132,37.4,75.8,MISS Holiday 18' Pullup Jump Shot
22100991,2021-22 Regular Season,2022-03-09,Nikola Jokic,Monte Morris,Aaron Gordon,Davon Reed,Austin Rivers,Alex Len,De'Aaron Fox,Justin Holiday,Harrison Barnes,Trey Lyles,1,2,0,0:10:54,0:01:06,0:00:03,8,SAC,rebound,,,,,,,,,,Alex Len,,,,,,rebound offensive,,,,,,Len REBOUND (Off:1 Def:0)
22100991,2021-22 Regular Season,2022-03-09,Nikola Jokic,Monte Morris,Aaron Gordon,Davon Reed,Austin Rivers,Alex Len,De'Aaron Fox,Justin Holiday,Harrison Barnes,Trey Lyles,1,2,3,0:10:51,0:01:09,0:00:03,9,SAC,shot,De'Aaron Fox,,,,,,,,,Harrison Barnes,3,,,made,,3pt jump shot,27,157,219,40.7,67.1,Barnes 27' 3PT Jump Shot (3 PTS) (Fox 1 AST)
22100991,2021-22 Regular Season,2022-03-09,Nikola Jokic,Monte Morris,Aaron Gordon,Davon Reed,Austin Rivers,Alex Len,De'Aaron Fox,Justin Holiday,Harrison Barnes,Trey Lyles,1,2,3,0:10:36,0:01:24,0:00:15,10,SAC,foul,,,,,,,,Aaron Gordon,,Trey Lyles,,,p.foul,,,personal,,,,,,Lyles P.FOUL (P1.T1) (J.Williams)
22100991,2021-22 Regular Season,2022-03-09,Nikola Jokic,Monte Morris,Aaron Gordon,Davon Reed,Austin Rivers,Alex Len,De'Aaron Fox,Justin Holiday,Harrison Barnes,Trey Lyles,1,4,3,0:10:25,0:01:35,0:00:11,11,DEN,shot,,,,,,,,,,Nikola Jokic,2,,,made,,hook shot,4,-25,31,27.5,8.1,Jokic 4' Hook Shot (4 PTS)
22100991,2021-22 Regular Season,2022-03-09,Nikola Jokic,Monte Morris,Aaron Gordon,Davon Reed,Austin Rivers,Alex Len,De'Aaron Fox,Justin Holiday,Harrison Barnes,Trey Lyles,1,4,3,0:10:18,0:01:42,0:00:07,12,SAC,shot,,,,,,,,,,Alex Len,0,,,missed,,layup,1,-13,6,23.7,88.4,MISS Len 1' Running Layup
