game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,0,0,0:12:00,0:00:00,0:00:00,2,SAS,jump ball,,Isaiah Jackson,Zach Collins,,,,,,,Zach Collins,,Tre Jones,,,,jump ball,,,,,,Jump Ball Collins vs. Jackson: Tip to Jones
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,0,0,0:11:46,0:00:14,0:00:14,3,SAS,shot,,,,,,,,,,Doug McDermott,0,,,missed,,layup,4,2,39,25.2,85.1,MISS McDermott 4' Driving Finger Roll Layup
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,0,0,0:11:43,0:00:17,0:00:03,4,IND,rebound,,,,,,,,,,Chris Duarte,,,,,,rebound defensive,,,,,,Duarte REBOUND (Off:0 Def:1)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,0,0,0:11:36,0:00:24,0:00:07,5,IND,shot,,,,,,,,,,Isaiah Jackson,0,,,missed,,layup,3,20,21,23.0,7.1,MISS Jackson 3' Layup
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,0,0,0:11:33,0:00:27,0:00:03,6,SAS,rebound,,,,,,,,,,Devin Vassell,,,,,,rebound defensive,,,,,,Vassell REBOUND (Off:0 Def:1)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,0,2,0:11:20,0:00:40,0:00:13,7,SAS,shot,Devin Vassell,,,,,,,,,Zach Collins,2,,,made,,jump shot,18,-75,167,17.5,72.3,Collins 18' Jump Shot (2 PTS) (Vassell 1 AST)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,0,2,0:11:06,0:00:54,0:00:14,8,IND,turnover,,,,,,,,,,Buddy Hield,,,bad pass,,Tre Jones,bad pass,,,,,,Jones STEAL (1 STL): Hield Bad Pass Turnover (P1.T1)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,0,4,0:11:03,0:00:57,0:00:03,9,SAS,shot,,,,,,,,,,Tre Jones,2,,,made,,layup,3,-21,15,22.9,87.5,Jones 3' Running Finger Roll Layup (2 PTS)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,0,4,0:10:45,0:01:15,0:00:18,10,IND,shot,,,,,,,,,,Isaiah Jackson,0,,,missed,,cutting layup shot,2,-16,8,26.6,5.8,MISS Jackson 2' Cutting Layup Shot
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,0,4,0:10:42,0:01:18,0:00:03,11,SAS,rebound,,,,,,,,,,Josh Richardson,,,,,,rebound defensive,,,,,,Richardson REBOUND (Off:0 Def:1)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,0,6,0:10:36,0:01:24,0:00:06,12,SAS,shot,Josh Richardson,,,,,,,,,Doug McDermott,2,,,made,,layup,1,13,4,26.3,88.6,McDermott 1' Driving Finger Roll Layup (2 PTS) (Richardson 1 AST)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,2,6,0:10:27,0:01:33,0:00:09,13,IND,shot,Tyrese Haliburton,,,,,,,,,Isaiah Jackson,2,,,made,,cutting dunk shot,2,1,16,24.9,6.6,Jackson 2' Cutting Dunk Shot (2 PTS) (Haliburton 1 AST)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,2,6,0:10:27,0:01:33,0:00:00,14,SAS,foul,,,,,,,,Isaiah Jackson,,Zach Collins,,,s.foul,,,shooting,,,,,,Collins S.FOUL (P1.T1) (D.Guthrie)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,3,6,0:10:27,0:01:33,0:00:00,15,IND,free throw,,,,,,,1,,1,Isaiah Jackson,1,,,made,,free throw 1/1,,,,,,Jackson Free Throw 1 of 1 (3 PTS)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,3,6,0:10:16,0:01:44,0:00:11,16,SAS,turnover,,,,,,,,,,Doug McDermott,,,bad pass,,,bad pass,,,,,,McDermott Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,5,6,0:09:59,0:02:01,0:00:17,17,IND,shot,Tyrese Haliburton,,,,,,,,,Chris Duarte,2,,,made,,jump shot,12,54,112,19.6,16.200000000000003,Duarte 12' Pullup Jump Shot (2 PTS) (Haliburton 2 AST)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,5,6,0:09:52,0:02:08,0:00:07,18,IND,foul,,,,,,,,Devin Vassell,,Chris Duarte,,,p.foul,,,personal,,,,,,Duarte P.FOUL (P1.T1) (M.Boland)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,5,6,0:09:44,0:02:16,0:00:08,19,SAS,shot,,,,,,,,,,Josh Richardson,0,,,missed,,jump shot,17,138,97,38.8,79.3,MISS Richardson 17' Pullup Jump Shot
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,5,6,0:09:39,0:02:21,0:00:05,20,IND,rebound,,,,,,,,,,Oshae Brissett,,,,,,rebound defensive,,,,,,Brissett REBOUND (Off:0 Def:1)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,5,6,0:09:29,0:02:31,0:00:10,21,IND,shot,,,,,,,,,,Buddy Hield,0,,,missed,,3pt jump shot,26,169,199,8.099999999999998,24.900000000000002,MISS Hield 26' 3PT Jump Shot
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,5,6,0:09:27,0:02:33,0:00:02,22,SAS,rebound,,,,,,,,,,Devin Vassell,,,,,,rebound defensive,,,,,,Vassell REBOUND (Off:0 Def:2)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,5,6,0:09:19,0:02:41,0:00:08,23,SAS,shot,,,,,,,,,,Devin Vassell,0,,,missed,,driving floating jump shot,9,18,84,26.8,80.6,MISS Vassell 9' Driving Floating Jump Shot
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,5,8,0:09:13,0:02:47,0:00:06,24,SAS,shot,,,,,,,,,,Devin Vassell,2,,,made,,layup,0,0,0,25.0,89.0,Vassell Putback Layup (2 PTS)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,5,8,0:09:13,0:02:47,0:00:00,25,SAS,rebound,,,,,,,,,,Devin Vassell,,,,,,rebound offensive,,,,,,Vassell REBOUND (Off:1 Def:2)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,5,8,0:09:02,0:02:58,0:00:11,26,IND,shot,,,,,,,,,,Chris Duarte,0,,,missed,,3pt jump shot,23,-233,11,48.3,6.1,MISS Duarte 3PT Jump Shot
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,5,8,0:09:02,0:02:58,0:00:00,27,IND,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,Pacers Rebound
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,5,8,0:09:02,0:02:58,0:00:00,28,SAS,foul,,,,,,,,Buddy Hield,,Devin Vassell,,,l.b.foul,,,loose ball,,,,,,Vassell L.B.FOUL (P1.T2) (M.Boland)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,8,8,0:08:52,0:03:08,0:00:10,29,IND,shot,,,,,,,,,,Tyrese Haliburton,3,,,made,,3pt pullup jump shot,25,-91,236,34.1,28.6,Haliburton 25' 3PT Pullup Jump Shot (3 PTS)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,8,8,0:08:40,0:03:20,0:00:12,30,IND,foul,,,,,,,,Doug McDermott,,Oshae Brissett,,,s.foul,,,shooting,,,,,,Brissett S.FOUL (P1.T2) (M.Boland)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,8,8,0:08:40,0:03:20,0:00:00,31,,,,,,,,,,,,,,,,,,unknown,,,,,,
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,8,9,0:08:40,0:03:20,0:00:00,32,SAS,free throw,,,,,,,1,,3,Doug McDermott,1,,,made,,free throw 1/3,,,,,,McDermott Free Throw 1 of 3 (3 PTS)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,8,10,0:08:40,0:03:20,0:00:00,33,SAS,free throw,,,,,,,2,,3,Doug McDermott,1,,,made,,free throw 2/3,,,,,,McDermott Free Throw 2 of 3 (4 PTS)
22101007,2021-22 Regular Season,2022-03-12,Isaiah Jackson,Chris Duarte,Buddy Hield,Tyrese Haliburton,Oshae Brissett,Zach Collins,Tre Jones,Doug McDermott,Devin Vassell,Josh Richardson,1,8,11,0:08:40,0:03:20,0:00:00,34,SAS,free throw,,,,,,,3,,3,Doug McDermott,1,,,made,,free throw 3/3,,,,,,McDermott Free Throw 3 of 3 (5 PTS)
