game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22101013,2021-22 Regular Season,2022-03-13,Ivica Zubac,Reggie Jackson,Nicolas Batum,Marcus Morris Sr.,Amir Coffey,Marvin Bagley III,Cory Joseph,Cade Cunningham,Jerami Grant,Saddiq Bey,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22101013,2021-22 Regular Season,2022-03-13,Ivica Zubac,Reggie Jackson,Nicolas Batum,Marcus Morris Sr.,Amir Coffey,Marvin Bagley III,Cory Joseph,Cade Cunningham,Jerami Grant,Saddiq Bey,1,0,0,0:12:00,0:00:00,0:00:00,2,DET,jump ball,,Ivica Zubac,Marvin Bagley III,,,,,,,Marvin Bagley III,,Cory Joseph,,,,jump ball,,,,,,Jump Ball Bagley III vs. Zubac: Tip to Joseph
22101013,2021-22 Regular Season,2022-03-13,Ivica Zubac,Reggie Jackson,Nicolas Batum,Marcus Morris Sr.,Amir Coffey,Marvin Bagley III,Cory Joseph,Cade Cunningham,Jerami Grant,Saddiq Bey,1,0,0,0:11:43,0:00:17,0:00:17,3,DET,shot,,,,,,,,,,Cade Cunningham,0,,,missed,,driving layup,2,-21,10,22.9,88.0,MISS Cunningham 2' Driving Layup
22101013,2021-22 Regular Season,2022-03-13,Ivica Zubac,Reggie Jackson,Nicolas Batum,Marcus Morris Sr.,Amir Coffey,Marvin Bagley III,Cory Joseph,Cade Cunningham,Jerami Grant,Saddiq Bey,1,0,0,0:11:41,0:00:19,0:00:02,4,LAC,rebound,,,,,,,,,,Reggie Jackson,,,,,,rebound defensive,,,,,,Jackson REBOUND (Off:0 Def:1)
22101013,2021-22 Regular Season,2022-03-13,Ivica Zubac,Reggie Jackson,Nicolas Batum,Marcus Morris Sr.,Amir Coffey,Marvin Bagley III,Cory Joseph,Cade Cunningham,Jerami Grant,Saddiq Bey,1,2,0,0:11:30,0:00:30,0:00:11,5,LAC,shot,,,,,,,,,,Ivica Zubac,2,,,made,,hook shot,5,22,43,22.8,9.3,Zubac 5' Turnaround Hook Shot (2 PTS)
22101013,2021-22 Regular Season,2022-03-13,Ivica Zubac,Reggie Jackson,Nicolas Batum,Marcus Morris Sr.,Amir Coffey,Marvin Bagley III,Cory Joseph,Cade Cunningham,Jerami Grant,Saddiq Bey,1,2,0,0:11:03,0:00:57,0:00:27,6,DET,shot,,,,,,,,,,Jerami Grant,0,,,missed,,3pt jump shot,26,-100,243,15.0,64.7,MISS Grant 26' 3PT Jump Shot
22101013,2021-22 Regular Season,2022-03-13,Ivica Zubac,Reggie Jackson,Nicolas Batum,Marcus Morris Sr.,Amir Coffey,Marvin Bagley III,Cory Joseph,Cade Cunningham,Jerami Grant,Saddiq Bey,1,2,0,0:11:00,0:01:00,0:00:03,7,LAC,rebound,,,,,,,,,,Reggie Jackson,,,,,,rebound defensive,,,,,,Jackson REBOUND (Off:0 Def:2)
22101013,2021-22 Regular Season,2022-03-13,Ivica Zubac,Reggie Jackson,Nicolas Batum,Marcus Morris Sr.,Amir Coffey,Marvin Bagley III,Cory Joseph,Cade Cunningham,Jerami Grant,Saddiq Bey,1,2,0,0:10:48,0:01:12,0:00:12,8,LAC,shot,,,,,,,,,,Nicolas Batum,0,,,missed,,3pt jump shot,24,240,21,1.0,7.1,MISS Batum 24' 3PT Jump Shot
22101013,2021-22 Regular Season,2022-03-13,Ivica Zubac,Reggie Jackson,Nicolas Batum,Marcus Morris Sr.,Amir Coffey,Marvin Bagley III,Cory Joseph,Cade Cunningham,Jerami Grant,Saddiq Bey,1,2,0,0:10:46,0:01:14,0:00:02,9,DET,rebound,,,,,,,,,,Cade Cunningham,,,,,,rebound defensive,,,,,,Cunningham REBOUND (Off:0 Def:1)
22101013,2021-22 Regular Season,2022-03-13,Ivica Zubac,Reggie Jackson,Nicolas Batum,Marcus Morris Sr.,Amir Coffey,Marvin Bagley III,Cory Joseph,Cade Cunningham,Jerami Grant,Saddiq Bey,1,2,0,0:10:34,0:01:26,0:00:12,10,DET,shot,,,,,,,,,,Cory Joseph,0,,,missed,,driving layup,3,26,14,27.6,87.6,MISS Joseph 3' Driving Layup
