game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22101027,2021-22 Regular Season,2022-03-14,Bobby Portis,Khris Middleton,Grayson Allen,Jrue Holiday,Giannis Antetokounmpo,Rudy Gobert,Mike Conley,Donovan Mitchell,Royce O'Neale,Danuel House Jr.,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22101027,2021-22 Regular Season,2022-03-14,Bobby Portis,Khris Middleton,Grayson Allen,Jrue Holiday,Giannis Antetokounmpo,Rudy Gobert,Mike Conley,Donovan Mitchell,Royce O'Neale,Danuel House Jr.,1,0,0,0:12:00,0:00:00,0:00:00,2,UTA,jump ball,,Bobby Portis,Rudy Gobert,,,,,,,Rudy Gobert,,Mike Conley,,,,jump ball,,,,,,Jump Ball Gobert vs. Portis: Tip to Conley
22101027,2021-22 Regular Season,2022-03-14,Bobby Portis,Khris Middleton,Grayson Allen,Jrue Holiday,Giannis Antetokounmpo,Rudy Gobert,Mike Conley,Donovan Mitchell,Royce O'Neale,Danuel House Jr.,1,0,0,0:11:43,0:00:17,0:00:17,3,UTA,shot,,,,,,,,,,Mike Conley,0,,,missed,,3pt jump shot,25,102,230,35.2,66.0,MISS Conley 25' 3PT Jump Shot
22101027,2021-22 Regular Season,2022-03-14,Bobby Portis,Khris Middleton,Grayson Allen,Jrue Holiday,Giannis Antetokounmpo,Rudy Gobert,Mike Conley,Donovan Mitchell,Royce O'Neale,Danuel House Jr.,1,0,0,0:11:41,0:00:19,0:00:02,4,MIL,rebound,,,,,,,,,,Khris Middleton,,,,,,rebound defensive,,,,,,Middleton REBOUND (Off:0 Def:1)
22101027,2021-22 Regular Season,2022-03-14,Bobby Portis,Khris Middleton,Grayson Allen,Jrue Holiday,Giannis Antetokounmpo,Rudy Gobert,Mike Conley,Donovan Mitchell,Royce O'Neale,Danuel House Jr.,1,3,0,0:11:28,0:00:32,0:00:13,5,MIL,shot,Jrue Holiday,,,,,,,,,Grayson Allen,3,,,made,,3pt jump shot,25,114,222,13.6,27.200000000000003,Allen 25' 3PT Jump Shot (3 PTS) (Holiday 1 AST)
22101027,2021-22 Regular Season,2022-03-14,Bobby Portis,Khris Middleton,Grayson Allen,Jrue Holiday,Giannis Antetokounmpo,Rudy Gobert,Mike Conley,Donovan Mitchell,Royce O'Neale,Danuel House Jr.,1,3,0,0:11:09,0:00:51,0:00:19,6,UTA,shot,,,,,,,,,,Donovan Mitchell,0,,,missed,,3pt pullup jump shot,26,-147,211,10.299999999999999,67.9,MISS Mitchell 26' 3PT Pullup Jump Shot
22101027,2021-22 Regular Season,2022-03-14,Bobby Portis,Khris Middleton,Grayson Allen,Jrue Holiday,Giannis Antetokounmpo,Rudy Gobert,Mike Conley,Donovan Mitchell,Royce O'Neale,Danuel House Jr.,1,3,0,0:11:06,0:00:54,0:00:03,7,UTA,rebound,,,,,,,,,,Royce O'Neale,,,,,,rebound offensive,,,,,,O'Neale REBOUND (Off:1 Def:0)
22101027,2021-22 Regular Season,2022-03-14,Bobby Portis,Khris Middleton,Grayson Allen,Jrue Holiday,Giannis Antetokounmpo,Rudy Gobert,Mike Conley,Donovan Mitchell,Royce O'Neale,Danuel House Jr.,1,3,3,0:10:57,0:01:03,0:00:09,8,UTA,shot,Donovan Mitchell,,,,,,,,,Royce O'Neale,3,,,made,,3pt jump shot,29,186,220,43.6,67.0,O'Neale 29' 3PT Jump Shot (3 PTS) (Mitchell 1 AST)
22101027,2021-22 Regular Season,2022-03-14,Bobby Portis,Khris Middleton,Grayson Allen,Jrue Holiday,Giannis Antetokounmpo,Rudy Gobert,Mike Conley,Donovan Mitchell,Royce O'Neale,Danuel House Jr.,1,5,3,0:10:42,0:01:18,0:00:15,9,MIL,shot,Jrue Holiday,,,,,,,,,Khris Middleton,2,,,made,,driving layup,4,-27,22,27.7,7.2,Middleton 3' Driving Layup (2 PTS) (Holiday 2 AST)
22101027,2021-22 Regular Season,2022-03-14,Bobby Portis,Khris Middleton,Grayson Allen,Jrue Holiday,Giannis Antetokounmpo,Rudy Gobert,Mike Conley,Donovan Mitchell,Royce O'Neale,Danuel House Jr.,1,5,3,0:10:27,0:01:33,0:00:15,10,UTA,shot,,,,,,,,,,Danuel House Jr.,0,,,missed,,3pt jump shot,24,234,38,48.400000000000006,85.2,MISS House Jr. 24' 3PT Jump Shot
