game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,0,0,0:12:00,0:00:00,0:00:00,2,MIA,jump ball,,Olivier Sarr,Bam Adebayo,,,,,,,Bam Adebayo,,Gabe Vincent,,,,jump ball,,,,,,Jump Ball Adebayo vs. Sarr: Tip to Vincent
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,0,0,0:11:41,0:00:19,0:00:19,3,MIA,shot,,,,,,,,,,Gabe Vincent,0,,,missed,,3pt jump shot,23,-234,-10,1.5999999999999979,90.0,MISS Vincent 3PT Jump Shot
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,0,0,0:11:38,0:00:22,0:00:03,4,OKC,rebound,,,,,,,,,,Aleksej Pokusevski,,,,,,rebound defensive,,,,,,Pokusevski REBOUND (Off:0 Def:1)
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,0,0,0:11:15,0:00:45,0:00:23,5,OKC,shot,,,,,,,,,,Shai Gilgeous-Alexander,0,,,missed,,jump shot,21,58,200,19.2,25.0,MISS Gilgeous-Alexander 21' Step Back Jump Shot
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,0,0,0:11:10,0:00:50,0:00:05,6,MIA,rebound,,,,,,,,,,P.J. Tucker,,,,,,rebound defensive,,,,,,Tucker REBOUND (Off:0 Def:1)
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,0,2,0:10:58,0:01:02,0:00:12,7,MIA,shot,,,,,,,,,,Bam Adebayo,2,,,made,,turnaround fadeaway,8,66,42,31.6,84.8,Adebayo 8' Turnaround Fadeaway (2 PTS)
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,2,2,0:10:44,0:01:16,0:00:14,8,OKC,shot,,,,,,,,,,Darius Bazley,2,,,made,,driving dunk,2,-13,10,26.3,6.0,Bazley 2' Driving Dunk (2 PTS)
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,2,2,0:10:32,0:01:28,0:00:12,9,MIA,shot,,,,,,,,,,Duncan Robinson,0,,,missed,,3pt jump shot,26,9,263,25.9,62.7,MISS Robinson 26' 3PT Jump Shot
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,2,2,0:10:32,0:01:28,0:00:00,10,OKC,rebound,,,,,,,,,,Darius Bazley,,,,,,rebound defensive,,,,,,Bazley REBOUND (Off:0 Def:1)
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,2,2,0:10:12,0:01:48,0:00:20,11,OKC,shot,,,,,,,,,,Aaron Wiggins,0,,,missed,,driving layup,2,-23,7,27.3,5.7,MISS Wiggins 2' Driving Layup
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,2,2,0:10:10,0:01:50,0:00:02,12,MIA,rebound,,,,,,,,,,Duncan Robinson,,,,,,rebound defensive,,,,,,Robinson REBOUND (Off:0 Def:1)
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,2,5,0:10:03,0:01:57,0:00:07,13,MIA,shot,,,,,,,,,,Duncan Robinson,3,,,made,,3pt pullup jump shot,26,-156,208,9.399999999999999,68.2,Robinson 26' 3PT Pullup Jump Shot (3 PTS)
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,2,5,0:09:41,0:02:19,0:00:22,14,OKC,shot,,,,,,,,,,Aleksej Pokusevski,0,,,missed,,layup,4,-13,33,26.3,8.3,MISS Pokusevski 4' Driving Finger Roll Layup
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,2,5,0:09:38,0:02:22,0:00:03,15,MIA,rebound,,,,,,,,,,Bam Adebayo,,,,,,rebound defensive,,,,,,Adebayo REBOUND (Off:0 Def:1)
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,2,5,0:09:31,0:02:29,0:00:07,16,OKC,foul,,,,,,,,Bam Adebayo,,Shai Gilgeous-Alexander,,,p.foul,,,personal,,,,,,Gilgeous-Alexander P.FOUL (P1.T1) (J.DeRosa)
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,2,5,0:09:26,0:02:34,0:00:05,17,MIA,shot,,,,,,,,,,Kyle Lowry,0,,,missed,,3pt jump shot,25,-194,161,5.599999999999998,72.9,MISS Lowry 25' 3PT Jump Shot
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,2,5,0:09:22,0:02:38,0:00:04,18,OKC,rebound,,,,,,,,,,Olivier Sarr,,,,,,rebound defensive,,,,,,Sarr REBOUND (Off:0 Def:1)
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,2,5,0:09:13,0:02:47,0:00:09,19,OKC,shot,,,,,,,,,,Aaron Wiggins,0,,,missed,,3pt jump shot,25,-173,185,42.3,23.5,MISS Wiggins 25' 3PT Jump Shot
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,2,5,0:09:08,0:02:52,0:00:05,20,MIA,rebound,,,,,,,,,,P.J. Tucker,,,,,,rebound defensive,,,,,,Tucker REBOUND (Off:0 Def:2)
22101052,2021-22 Regular Season,2022-03-18,Olivier Sarr,Aleksej Pokusevski,Shai Gilgeous-Alexander,Darius Bazley,Aaron Wiggins,Bam Adebayo,Gabe Vincent,P.J. Tucker,Duncan Robinson,Kyle Lowry,1,2,8,0:09:02,0:02:58,0:00:06,21,MIA,shot,Bam Adebayo,,,,,,,,,Duncan Robinson,3,,,made,,3pt pullup jump shot,27,162,211,41.2,67.9,Robinson 27' 3PT Pullup Jump Shot (6 PTS) (Adebayo 1 AST)
