game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22101079,2021-22 Regular Season,2022-03-21,Karl-Anthony Towns,Jarred Vanderbilt,D'Angelo Russell,Patrick Beverley,Anthony Edwards,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22101079,2021-22 Regular Season,2022-03-21,Karl-Anthony Towns,Jarred Vanderbilt,D'Angelo Russell,Patrick Beverley,Anthony Edwards,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,1,0,0,0:12:00,0:00:00,0:00:00,2,DAL,jump ball,,Karl-Anthony Towns,Dwight Powell,,,,,,,Karl-Anthony Towns,,Jarred Vanderbilt,,,,jump ball,,,,,,Jump Ball Powell vs. Towns: Tip to Vanderbilt
22101079,2021-22 Regular Season,2022-03-21,Karl-Anthony Towns,Jarred Vanderbilt,D'Angelo Russell,Patrick Beverley,Anthony Edwards,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,1,2,0,0:11:45,0:00:15,0:00:15,3,MIN,shot,,,,,,,,,,D'Angelo Russell,2,,,made,,driving floating jump shot,9,-86,15,33.6,6.5,Russell 9' Driving Floating Jump Shot (2 PTS)
22101079,2021-22 Regular Season,2022-03-21,Karl-Anthony Towns,Jarred Vanderbilt,D'Angelo Russell,Patrick Beverley,Anthony Edwards,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,1,2,2,0:11:28,0:00:32,0:00:17,4,DAL,shot,Luka Doncic,,,,,,,,,Dwight Powell,2,,,made,,dunk,1,4,7,25.4,88.3,Powell 1' Alley Oop Dunk (2 PTS) (Doncic 1 AST)
22101079,2021-22 Regular Season,2022-03-21,Karl-Anthony Towns,Jarred Vanderbilt,D'Angelo Russell,Patrick Beverley,Anthony Edwards,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,1,4,2,0:11:16,0:00:44,0:00:12,5,MIN,shot,,,,,,,,,,Patrick Beverley,2,,,made,,jump shot,13,-99,83,34.9,13.3,Beverley 13' Pullup Jump Shot (2 PTS)
22101079,2021-22 Regular Season,2022-03-21,Karl-Anthony Towns,Jarred Vanderbilt,D'Angelo Russell,Patrick Beverley,Anthony Edwards,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,1,4,2,0:10:58,0:01:02,0:00:18,6,DAL,turnover,,,,,,,,,,Luka Doncic,,,bad pass,,Jarred Vanderbilt,bad pass,,,,,,Doncic Bad Pass Turnover (P1.T1): Vanderbilt STEAL (1 STL)
22101079,2021-22 Regular Season,2022-03-21,Karl-Anthony Towns,Jarred Vanderbilt,D'Angelo Russell,Patrick Beverley,Anthony Edwards,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,1,4,2,0:10:54,0:01:06,0:00:04,7,MIN,shot,,,,,,,,,,D'Angelo Russell,0,,,missed,,layup,4,40,15,21.0,6.5,MISS Russell 4' Running Layup
22101079,2021-22 Regular Season,2022-03-21,Karl-Anthony Towns,Jarred Vanderbilt,D'Angelo Russell,Patrick Beverley,Anthony Edwards,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,1,4,2,0:10:51,0:01:09,0:00:03,8,DAL,rebound,,,,,,,,,,Dorian Finney-Smith,,,,,,rebound defensive,,,,,,Finney-Smith REBOUND (Off:0 Def:1)
22101079,2021-22 Regular Season,2022-03-21,Karl-Anthony Towns,Jarred Vanderbilt,D'Angelo Russell,Patrick Beverley,Anthony Edwards,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,1,4,2,0:10:41,0:01:19,0:00:10,9,DAL,shot,,,,,,,,,,Jalen Brunson,0,,,missed,,driving layup,2,13,18,26.3,87.2,MISS Brunson 2' Driving Layup
22101079,2021-22 Regular Season,2022-03-21,Karl-Anthony Towns,Jarred Vanderbilt,D'Angelo Russell,Patrick Beverley,Anthony Edwards,Dwight Powell,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Reggie Bullock,1,4,2,0:10:39,0:01:21,0:00:02,10,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound defensive,,,,,,Towns REBOUND (Off:0 Def:1)
