game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22101080,2021-22 Regular Season,2022-03-22,Kevon Looney,Draymond Green,Andrew Wiggins,Klay Thompson,Jordan Poole,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,R.J. Hampton,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22101080,2021-22 Regular Season,2022-03-22,Kevon Looney,Draymond Green,Andrew Wiggins,Klay Thompson,Jordan Poole,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,R.J. Hampton,1,0,0,0:12:00,0:00:00,0:00:00,2,ORL,jump ball,,Kevon Looney,Mo Bamba,,,,,,,Kevon Looney,,Draymond Green,,,,jump ball,,,,,,Jump Ball Bamba vs. Looney: Tip to Green
22101080,2021-22 Regular Season,2022-03-22,Kevon Looney,Draymond Green,Andrew Wiggins,Klay Thompson,Jordan Poole,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,R.J. Hampton,1,0,0,0:11:41,0:00:19,0:00:19,3,GSW,shot,,,,,,,,,,Andrew Wiggins,0,,,missed,,jump shot,13,-129,33,37.9,8.3,MISS Wiggins 13' Step Back Jump Shot
22101080,2021-22 Regular Season,2022-03-22,Kevon Looney,Draymond Green,Andrew Wiggins,Klay Thompson,Jordan Poole,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,R.J. Hampton,1,0,0,0:11:37,0:00:23,0:00:04,4,ORL,rebound,,,,,,,,,,Wendell Carter Jr.,,,,,,rebound defensive,,,,,,Carter Jr. REBOUND (Off:0 Def:1)
22101080,2021-22 Regular Season,2022-03-22,Kevon Looney,Draymond Green,Andrew Wiggins,Klay Thompson,Jordan Poole,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,R.J. Hampton,1,0,0,0:11:32,0:00:28,0:00:05,5,ORL,turnover,,,,,,,,,,Mo Bamba,,,bad pass,,Draymond Green,bad pass,,,,,,Bamba Bad Pass Turnover (P1.T1): Green STEAL (1 STL)
22101080,2021-22 Regular Season,2022-03-22,Kevon Looney,Draymond Green,Andrew Wiggins,Klay Thompson,Jordan Poole,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,R.J. Hampton,1,0,0,0:11:28,0:00:32,0:00:04,6,GSW,shot,,,,Mo Bamba,,,,,,Draymond Green,0,,,missed,,layup,4,-9,44,25.9,9.4,Bamba BLOCK (1 BLK): MISS Green 4' Running Layup
22101080,2021-22 Regular Season,2022-03-22,Kevon Looney,Draymond Green,Andrew Wiggins,Klay Thompson,Jordan Poole,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,R.J. Hampton,1,0,0,0:11:28,0:00:32,0:00:00,7,GSW,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,Warriors Rebound
22101080,2021-22 Regular Season,2022-03-22,Kevon Looney,Draymond Green,Andrew Wiggins,Klay Thompson,Jordan Poole,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,R.J. Hampton,1,2,0,0:11:21,0:00:39,0:00:07,8,GSW,shot,Draymond Green,,,,,,,,,Klay Thompson,2,,,made,,jump shot,21,-126,164,37.6,21.400000000000002,Thompson 21' Pullup Jump Shot (2 PTS) (Green 1 AST)
22101080,2021-22 Regular Season,2022-03-22,Kevon Looney,Draymond Green,Andrew Wiggins,Klay Thompson,Jordan Poole,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,R.J. Hampton,1,2,2,0:11:06,0:00:54,0:00:15,9,ORL,shot,,,,,,,,,,Franz Wagner,2,,,made,,layup,3,-28,5,22.2,88.5,F. Wagner 3' Driving Finger Roll Layup (2 PTS)
22101080,2021-22 Regular Season,2022-03-22,Kevon Looney,Draymond Green,Andrew Wiggins,Klay Thompson,Jordan Poole,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,R.J. Hampton,1,2,2,0:10:55,0:01:05,0:00:11,10,GSW,shot,,,,,,,,,,Klay Thompson,0,,,missed,,3pt jump shot,28,-158,233,40.8,28.3,MISS Thompson 28' 3PT Jump Shot
