game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,0,0,0:12:00,0:00:00,0:00:00,2,PHX,jump ball,,Joel Embiid,Deandre Ayton,,,,,,,Deandre Ayton,,Chris Paul,,,,jump ball,,,,,,Jump Ball Ayton vs. Embiid: Tip to Paul
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,0,0,0:11:41,0:00:19,0:00:19,3,PHX,shot,,,,,,,,,,Jae Crowder,0,,,missed,,3pt jump shot,26,70,252,32.0,63.8,MISS Crowder 26' 3PT Jump Shot
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,0,0,0:11:39,0:00:21,0:00:02,4,PHI,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,2,0,0:11:25,0:00:35,0:00:14,5,PHI,shot,Tyrese Maxey,,,,,,,,,Joel Embiid,2,,,made,,fadeaway jumper,3,-21,17,27.1,6.7,Embiid 3' Fadeaway Jumper (2 PTS) (Maxey 1 AST)
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,2,3,0:11:13,0:00:47,0:00:12,6,PHX,shot,Chris Paul,,,,,,,,,Devin Booker,3,,,made,,3pt step back jump shot,25,47,248,29.7,64.2,Booker 25' 3PT Step Back Jump Shot (3 PTS) (Paul 1 AST)
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,4,3,0:10:59,0:01:01,0:00:14,7,PHI,shot,James Harden,,,,,,,,,Joel Embiid,2,,,made,,cutting layup shot,1,10,4,24.0,5.4,Embiid 1' Cutting Layup Shot (4 PTS) (Harden 1 AST)
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,4,3,0:10:52,0:01:08,0:00:07,8,PHI,foul,,,,,,,,Devin Booker,,Tyrese Maxey,,,s.foul,,,shooting,,,,,,Maxey S.FOUL (P1.T1) (J.Goldenberg)
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,4,4,0:10:52,0:01:08,0:00:00,9,PHX,free throw,,,,,,,1,,2,Devin Booker,1,,,made,,free throw 1/2,,,,,,Booker Free Throw 1 of 2 (4 PTS)
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,4,5,0:10:52,0:01:08,0:00:00,10,PHX,free throw,,,,,,,2,,2,Devin Booker,1,,,made,,free throw 2/2,,,,,,Booker Free Throw 2 of 2 (5 PTS)
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,6,5,0:10:33,0:01:27,0:00:19,11,PHI,shot,James Harden,,,,,,,,,Joel Embiid,2,,,made,,driving layup,3,-4,30,25.4,8.0,Embiid 3' Driving Layup (6 PTS) (Harden 2 AST)
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,6,7,0:10:13,0:01:47,0:00:20,12,PHX,shot,,,,,,,,,,Devin Booker,2,,,made,,jump shot,22,-137,175,11.299999999999999,71.5,Booker 22' Pullup Jump Shot (7 PTS)
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,6,7,0:10:01,0:01:59,0:00:12,13,PHX,foul,,,,,,,,Matisse Thybulle,,Devin Booker,,,s.foul,,,shooting,,,,,,Booker S.FOUL (P1.T1) (T.Maddox)
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,7,7,0:10:01,0:01:59,0:00:00,14,PHI,free throw,,,,,,,1,,2,Matisse Thybulle,1,,,made,,free throw 1/2,,,,,,Thybulle Free Throw 1 of 2 (1 PTS)
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,8,7,0:10:01,0:01:59,0:00:00,15,PHI,free throw,,,,,,,2,,2,Matisse Thybulle,1,,,made,,free throw 2/2,,,,,,Thybulle Free Throw 2 of 2 (2 PTS)
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,8,9,0:09:51,0:02:09,0:00:10,16,PHX,shot,,,,,,,,,,Chris Paul,2,,,made,,jump shot,11,82,78,33.2,81.2,Paul 11' Pullup Jump Shot (2 PTS)
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,8,9,0:09:37,0:02:23,0:00:14,17,PHI,shot,,,,,,,,,,Joel Embiid,0,,,missed,,3pt jump shot,24,170,172,8.0,22.2,MISS Embiid 24' 3PT Jump Shot
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,8,9,0:09:33,0:02:27,0:00:04,18,PHX,rebound,,,,,,,,,,Deandre Ayton,,,,,,rebound defensive,,,,,,Ayton REBOUND (Off:0 Def:1)
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,8,11,0:09:25,0:02:35,0:00:08,19,PHX,shot,Chris Paul,,,,,,,,,Deandre Ayton,2,,,made,,cutting dunk shot,1,1,10,25.1,88.0,Ayton 1' Cutting Dunk Shot (2 PTS) (Paul 2 AST)
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,8,11,0:09:07,0:02:53,0:00:18,20,PHI,shot,,,,,,,,,,Joel Embiid,0,,,missed,,jump shot,11,-103,46,35.3,9.600000000000001,MISS Embiid 11' Pullup Jump Shot
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,8,11,0:09:05,0:02:55,0:00:02,21,PHX,rebound,,,,,,,,,,Deandre Ayton,,,,,,rebound defensive,,,,,,Ayton REBOUND (Off:0 Def:2)
22101118,2021-22 Regular Season,2022-03-27,Joel Embiid,Tobias Harris,Tyrese Maxey,James Harden,Matisse Thybulle,Deandre Ayton,Chris Paul,Jae Crowder,Devin Booker,Mikal Bridges,1,8,13,0:08:55,0:03:05,0:00:10,22,PHX,shot,,,,,,,,,,Chris Paul,2,,,made,,jump shot,12,-45,109,20.5,78.1,Paul 12' Pullup Jump Shot (4 PTS)
