game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22101129,2021-22 Regular Season,2022-03-28,Kevon Looney,Andrew Wiggins,Jonathan Kuminga,Jordan Poole,Gary Payton II,Steven Adams,Tyus Jones,Dillon Brooks,Desmond Bane,Kyle Anderson,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22101129,2021-22 Regular Season,2022-03-28,Kevon Looney,Andrew Wiggins,Jonathan Kuminga,Jordan Poole,Gary Payton II,Steven Adams,Tyus Jones,Dillon Brooks,Desmond Bane,Kyle Anderson,1,0,0,0:12:00,0:00:00,0:00:00,2,MEM,jump ball,,Kevon Looney,Steven Adams,,,,,,,Steven Adams,,Tyus Jones,,,,jump ball,,,,,,Jump Ball Adams vs. Looney: Tip to Jones
22101129,2021-22 Regular Season,2022-03-28,Kevon Looney,Andrew Wiggins,Jonathan Kuminga,Jordan Poole,Gary Payton II,Steven Adams,Tyus Jones,Dillon Brooks,Desmond Bane,Kyle Anderson,1,0,0,0:11:44,0:00:16,0:00:16,3,MEM,shot,,,,,,,,,,Dillon Brooks,0,,,missed,,driving floating bank jump shot,9,47,75,29.7,81.5,MISS Brooks 9' Driving Floating Bank Jump Shot
22101129,2021-22 Regular Season,2022-03-28,Kevon Looney,Andrew Wiggins,Jonathan Kuminga,Jordan Poole,Gary Payton II,Steven Adams,Tyus Jones,Dillon Brooks,Desmond Bane,Kyle Anderson,1,0,0,0:11:36,0:00:24,0:00:08,4,GSW,rebound,,,,,,,,,,Andrew Wiggins,,,,,,rebound defensive,,,,,,Wiggins REBOUND (Off:0 Def:1)
22101129,2021-22 Regular Season,2022-03-28,Kevon Looney,Andrew Wiggins,Jonathan Kuminga,Jordan Poole,Gary Payton II,Steven Adams,Tyus Jones,Dillon Brooks,Desmond Bane,Kyle Anderson,1,2,0,0:11:23,0:00:37,0:00:13,5,GSW,shot,Kevon Looney,,,,,,,,,Andrew Wiggins,2,,,made,,driving floating jump shot,2,0,25,25.0,7.5,Wiggins 3' Driving Floating Jump Shot (2 PTS) (Looney 1 AST)
22101129,2021-22 Regular Season,2022-03-28,Kevon Looney,Andrew Wiggins,Jonathan Kuminga,Jordan Poole,Gary Payton II,Steven Adams,Tyus Jones,Dillon Brooks,Desmond Bane,Kyle Anderson,1,2,0,0:11:11,0:00:49,0:00:12,6,MEM,shot,,,,,,,,,,Dillon Brooks,0,,,missed,,jump shot,14,6,140,25.6,75.0,MISS Brooks 14' Pullup Jump Shot
22101129,2021-22 Regular Season,2022-03-28,Kevon Looney,Andrew Wiggins,Jonathan Kuminga,Jordan Poole,Gary Payton II,Steven Adams,Tyus Jones,Dillon Brooks,Desmond Bane,Kyle Anderson,1,2,0,0:11:08,0:00:52,0:00:03,7,GSW,rebound,,,,,,,,,,Jonathan Kuminga,,,,,,rebound defensive,,,,,,Kuminga REBOUND (Off:0 Def:1)
22101129,2021-22 Regular Season,2022-03-28,Kevon Looney,Andrew Wiggins,Jonathan Kuminga,Jordan Poole,Gary Payton II,Steven Adams,Tyus Jones,Dillon Brooks,Desmond Bane,Kyle Anderson,1,2,0,0:11:01,0:00:59,0:00:07,8,MEM,foul,,,,,,,,Jordan Poole,,Dillon Brooks,,,s.foul,,,shooting,,,,,,Brooks S.FOUL (P1.T1) (J.DeRosa)
22101129,2021-22 Regular Season,2022-03-28,Kevon Looney,Andrew Wiggins,Jonathan Kuminga,Jordan Poole,Gary Payton II,Steven Adams,Tyus Jones,Dillon Brooks,Desmond Bane,Kyle Anderson,1,3,0,0:11:01,0:00:59,0:00:00,9,GSW,free throw,,,,,,,1,,3,Jordan Poole,1,,,made,,free throw 1/3,,,,,,Poole Free Throw 1 of 3 (1 PTS)
22101129,2021-22 Regular Season,2022-03-28,Kevon Looney,Andrew Wiggins,Jonathan Kuminga,Jordan Poole,Gary Payton II,Steven Adams,Tyus Jones,Dillon Brooks,Desmond Bane,Kyle Anderson,1,4,0,0:11:01,0:00:59,0:00:00,10,GSW,free throw,,,,,,,2,,3,Jordan Poole,1,,,made,,free throw 2/3,,,,,,Poole Free Throw 2 of 3 (2 PTS)
