game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22101144,2021-22 Regular Season,2022-03-30,Steven Adams,Tyus Jones,Jaren Jackson Jr.,Desmond Bane,Dillon Brooks,Jakob Poeltl,Keldon Johnson,Dejounte Murray,Joshua Primo,Devin Vassell,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22101144,2021-22 Regular Season,2022-03-30,Steven Adams,Tyus Jones,Jaren Jackson Jr.,Desmond Bane,Dillon Brooks,Jakob Poeltl,Keldon Johnson,Dejounte Murray,Joshua Primo,Devin Vassell,1,0,0,0:12:00,0:00:00,0:00:00,2,SAS,jump ball,,Steven Adams,Jakob Poeltl,,,,,,,Steven Adams,,Tyus Jones,,,,jump ball,,,,,,Jump Ball Poeltl vs. Adams: Tip to Jones
22101144,2021-22 Regular Season,2022-03-30,Steven Adams,Tyus Jones,Jaren Jackson Jr.,Desmond Bane,Dillon Brooks,Jakob Poeltl,Keldon Johnson,Dejounte Murray,Joshua Primo,Devin Vassell,1,2,0,0:11:47,0:00:13,0:00:13,3,MEM,shot,Steven Adams,,,,,,,,,Jaren Jackson Jr.,2,,,made,,dunk,1,5,13,24.5,6.3,Jackson Jr. 1' Dunk (2 PTS) (Adams 1 AST)
22101144,2021-22 Regular Season,2022-03-30,Steven Adams,Tyus Jones,Jaren Jackson Jr.,Desmond Bane,Dillon Brooks,Jakob Poeltl,Keldon Johnson,Dejounte Murray,Joshua Primo,Devin Vassell,1,2,0,0:11:27,0:00:33,0:00:20,4,SAS,shot,,,,,,,,,,Keldon Johnson,0,,,missed,,3pt jump shot,25,143,208,39.3,68.2,MISS Johnson 25' 3PT Jump Shot
22101144,2021-22 Regular Season,2022-03-30,Steven Adams,Tyus Jones,Jaren Jackson Jr.,Desmond Bane,Dillon Brooks,Jakob Poeltl,Keldon Johnson,Dejounte Murray,Joshua Primo,Devin Vassell,1,2,0,0:11:23,0:00:37,0:00:04,5,MEM,rebound,,,,,,,,,,Desmond Bane,,,,,,rebound defensive,,,,,,Bane REBOUND (Off:0 Def:1)
22101144,2021-22 Regular Season,2022-03-30,Steven Adams,Tyus Jones,Jaren Jackson Jr.,Desmond Bane,Dillon Brooks,Jakob Poeltl,Keldon Johnson,Dejounte Murray,Joshua Primo,Devin Vassell,1,5,0,0:11:16,0:00:44,0:00:07,6,MEM,shot,Tyus Jones,,,,,,,,,Jaren Jackson Jr.,3,,,made,,3pt jump shot,26,-239,97,48.900000000000006,14.700000000000001,Jackson Jr. 26' 3PT Jump Shot (5 PTS) (Jones 1 AST)
22101144,2021-22 Regular Season,2022-03-30,Steven Adams,Tyus Jones,Jaren Jackson Jr.,Desmond Bane,Dillon Brooks,Jakob Poeltl,Keldon Johnson,Dejounte Murray,Joshua Primo,Devin Vassell,1,5,3,0:11:03,0:00:57,0:00:13,7,SAS,shot,Jakob Poeltl,,,,,,,,,Keldon Johnson,3,,,made,,3pt jump shot,26,150,216,40.0,67.4,Johnson 26' 3PT Jump Shot (3 PTS) (Poeltl 1 AST)
22101144,2021-22 Regular Season,2022-03-30,Steven Adams,Tyus Jones,Jaren Jackson Jr.,Desmond Bane,Dillon Brooks,Jakob Poeltl,Keldon Johnson,Dejounte Murray,Joshua Primo,Devin Vassell,1,7,3,0:10:40,0:01:20,0:00:23,8,MEM,shot,,,,,,,,,,Tyus Jones,2,,,made,,floating jump shot,15,67,131,18.3,18.1,Jones 15' Floating Jump Shot (2 PTS)
22101144,2021-22 Regular Season,2022-03-30,Steven Adams,Tyus Jones,Jaren Jackson Jr.,Desmond Bane,Dillon Brooks,Jakob Poeltl,Keldon Johnson,Dejounte Murray,Joshua Primo,Devin Vassell,1,7,3,0:10:18,0:01:42,0:00:22,9,SAS,shot,,,,,,,,,,Dejounte Murray,0,,,missed,,driving layup,2,-12,9,23.8,88.1,MISS Murray 2' Driving Layup
22101144,2021-22 Regular Season,2022-03-30,Steven Adams,Tyus Jones,Jaren Jackson Jr.,Desmond Bane,Dillon Brooks,Jakob Poeltl,Keldon Johnson,Dejounte Murray,Joshua Primo,Devin Vassell,1,7,3,0:10:13,0:01:47,0:00:05,10,SAS,rebound,,,,,,,,,,Keldon Johnson,,,,,,rebound offensive,,,,,,Johnson REBOUND (Off:1 Def:0)
22101144,2021-22 Regular Season,2022-03-30,Steven Adams,Tyus Jones,Jaren Jackson Jr.,Desmond Bane,Dillon Brooks,Jakob Poeltl,Keldon Johnson,Dejounte Murray,Joshua Primo,Devin Vassell,1,7,5,0:10:13,0:01:47,0:00:00,11,SAS,shot,,,,,,,,,,Keldon Johnson,2,,,made,,layup,0,0,0,25.0,89.0,Johnson Tip Layup Shot (5 PTS)
