game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22101169,2021-22 Regular Season,2022-04-03,Isaiah Stewart,Saddiq Bey,Frank Jackson,Killian Hayes,Isaiah Livers,Goga Bitadze,Terry Taylor,Oshae Brissett,Tyrese Haliburton,Buddy Hield,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22101169,2021-22 Regular Season,2022-04-03,Isaiah Stewart,Saddiq Bey,Frank Jackson,Killian Hayes,Isaiah Livers,Goga Bitadze,Terry Taylor,Oshae Brissett,Tyrese Haliburton,Buddy Hield,1,0,0,0:12:00,0:00:00,0:00:00,2,IND,jump ball,,Isaiah Stewart,Goga Bitadze,,,,,,,Goga Bitadze,,Terry Taylor,,,,jump ball,,,,,,Jump Ball Bitadze vs. Stewart: Tip to Taylor
22101169,2021-22 Regular Season,2022-04-03,Isaiah Stewart,Saddiq Bey,Frank Jackson,Killian Hayes,Isaiah Livers,Goga Bitadze,Terry Taylor,Oshae Brissett,Tyrese Haliburton,Buddy Hield,1,0,0,0:11:40,0:00:20,0:00:20,3,IND,shot,,,,,,,,,,Oshae Brissett,0,,,missed,,driving layup,2,-11,21,23.9,86.9,MISS Brissett 2' Driving Layup
22101169,2021-22 Regular Season,2022-04-03,Isaiah Stewart,Saddiq Bey,Frank Jackson,Killian Hayes,Isaiah Livers,Goga Bitadze,Terry Taylor,Oshae Brissett,Tyrese Haliburton,Buddy Hield,1,0,0,0:11:39,0:00:21,0:00:01,4,DET,rebound,,,,,,,,,,Saddiq Bey,,,,,,rebound defensive,,,,,,Bey REBOUND (Off:0 Def:1)
22101169,2021-22 Regular Season,2022-04-03,Isaiah Stewart,Saddiq Bey,Frank Jackson,Killian Hayes,Isaiah Livers,Goga Bitadze,Terry Taylor,Oshae Brissett,Tyrese Haliburton,Buddy Hield,1,3,0,0:11:25,0:00:35,0:00:14,5,DET,shot,Frank Jackson,,,,,,,,,Saddiq Bey,3,,,made,,3pt jump shot,24,-237,16,48.7,6.6,Bey 24' 3PT Jump Shot (3 PTS) (Jackson 1 AST)
22101169,2021-22 Regular Season,2022-04-03,Isaiah Stewart,Saddiq Bey,Frank Jackson,Killian Hayes,Isaiah Livers,Goga Bitadze,Terry Taylor,Oshae Brissett,Tyrese Haliburton,Buddy Hield,1,3,3,0:11:09,0:00:51,0:00:16,6,IND,shot,Tyrese Haliburton,,,,,,,,,Terry Taylor,3,,,made,,3pt jump shot,23,-230,11,2.0,87.9,Taylor 3PT Jump Shot (3 PTS) (Haliburton 1 AST)
22101169,2021-22 Regular Season,2022-04-03,Isaiah Stewart,Saddiq Bey,Frank Jackson,Killian Hayes,Isaiah Livers,Goga Bitadze,Terry Taylor,Oshae Brissett,Tyrese Haliburton,Buddy Hield,1,5,3,0:10:54,0:01:06,0:00:15,7,DET,shot,,,,,,,,,,Killian Hayes,2,,,made,,driving layup,2,-11,22,26.1,7.2,Hayes 2' Driving Layup (2 PTS)
22101169,2021-22 Regular Season,2022-04-03,Isaiah Stewart,Saddiq Bey,Frank Jackson,Killian Hayes,Isaiah Livers,Goga Bitadze,Terry Taylor,Oshae Brissett,Tyrese Haliburton,Buddy Hield,1,5,5,0:10:41,0:01:19,0:00:13,8,IND,shot,,,,,,,,,,Terry Taylor,2,,,made,,driving layup,6,-36,49,21.4,84.1,Taylor 6' Driving Layup (5 PTS)
22101169,2021-22 Regular Season,2022-04-03,Isaiah Stewart,Saddiq Bey,Frank Jackson,Killian Hayes,Isaiah Livers,Goga Bitadze,Terry Taylor,Oshae Brissett,Tyrese Haliburton,Buddy Hield,1,8,5,0:10:26,0:01:34,0:00:15,9,DET,shot,Killian Hayes,,,,,,,,,Saddiq Bey,3,,,made,,3pt jump shot,24,241,19,0.8999999999999986,6.9,Bey 24' 3PT Jump Shot (6 PTS) (Hayes 1 AST)
22101169,2021-22 Regular Season,2022-04-03,Isaiah Stewart,Saddiq Bey,Frank Jackson,Killian Hayes,Isaiah Livers,Goga Bitadze,Terry Taylor,Oshae Brissett,Tyrese Haliburton,Buddy Hield,1,8,5,0:10:13,0:01:47,0:00:13,10,IND,turnover,,,,,,,,,,Buddy Hield,,,bad pass,,Isaiah Livers,bad pass,,,,,,Hield Bad Pass Turnover (P1.T1): Livers STEAL (1 STL)
