game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22101179,2021-22 Regular Season,2022-04-05,Moses Brown,Darius Garland,Lauri Markkanen,Caris LeVert,Isaac Okoro,Mo Bamba,Chuma Okeke,Markelle Fultz,Jalen Suggs,Franz Wagner,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22101179,2021-22 Regular Season,2022-04-05,Moses Brown,Darius Garland,Lauri Markkanen,Caris LeVert,Isaac Okoro,Mo Bamba,Chuma Okeke,Markelle Fultz,Jalen Suggs,Franz Wagner,1,0,0,0:12:00,0:00:00,0:00:00,2,ORL,jump ball,,Moses Brown,Mo Bamba,,,,,,,Moses Brown,,Darius Garland,,,,jump ball,,,,,,Jump Ball Bamba vs. Brown: Tip to Garland
22101179,2021-22 Regular Season,2022-04-05,Moses Brown,Darius Garland,Lauri Markkanen,Caris LeVert,Isaac Okoro,Mo Bamba,Chuma Okeke,Markelle Fultz,Jalen Suggs,Franz Wagner,1,2,0,0:11:43,0:00:17,0:00:17,3,CLE,shot,Lauri Markkanen,,,,,,,,,Darius Garland,2,,,made,,jump shot,24,-49,233,29.9,28.3,Garland 24' Jump Shot (2 PTS) (Markkanen 1 AST)
22101179,2021-22 Regular Season,2022-04-05,Moses Brown,Darius Garland,Lauri Markkanen,Caris LeVert,Isaac Okoro,Mo Bamba,Chuma Okeke,Markelle Fultz,Jalen Suggs,Franz Wagner,1,2,0,0:11:16,0:00:44,0:00:27,4,ORL,shot,,,,,,,,,,Chuma Okeke,0,,,missed,,3pt jump shot,32,82,311,33.2,57.9,MISS Okeke 32' 3PT Jump Shot
22101179,2021-22 Regular Season,2022-04-05,Moses Brown,Darius Garland,Lauri Markkanen,Caris LeVert,Isaac Okoro,Mo Bamba,Chuma Okeke,Markelle Fultz,Jalen Suggs,Franz Wagner,1,2,0,0:11:12,0:00:48,0:00:04,5,CLE,rebound,,,,,,,,,,Moses Brown,,,,,,rebound defensive,,,,,,Brown REBOUND (Off:0 Def:1)
22101179,2021-22 Regular Season,2022-04-05,Moses Brown,Darius Garland,Lauri Markkanen,Caris LeVert,Isaac Okoro,Mo Bamba,Chuma Okeke,Markelle Fultz,Jalen Suggs,Franz Wagner,1,4,0,0:11:00,0:01:00,0:00:12,6,CLE,shot,Caris LeVert,,,,,,,,,Moses Brown,2,,,made,,cutting dunk shot,1,-6,11,25.6,6.1,Brown 1' Cutting Dunk Shot (2 PTS) (LeVert 1 AST)
22101179,2021-22 Regular Season,2022-04-05,Moses Brown,Darius Garland,Lauri Markkanen,Caris LeVert,Isaac Okoro,Mo Bamba,Chuma Okeke,Markelle Fultz,Jalen Suggs,Franz Wagner,1,4,0,0:10:48,0:01:12,0:00:12,7,ORL,shot,,,,,,,,,,Markelle Fultz,0,,,missed,,fadeaway jumper,10,-93,19,15.7,87.1,MISS Fultz 9' Fadeaway Jumper
22101179,2021-22 Regular Season,2022-04-05,Moses Brown,Darius Garland,Lauri Markkanen,Caris LeVert,Isaac Okoro,Mo Bamba,Chuma Okeke,Markelle Fultz,Jalen Suggs,Franz Wagner,1,4,0,0:10:46,0:01:14,0:00:02,8,CLE,rebound,,,,,,,,,,Moses Brown,,,,,,rebound defensive,,,,,,Brown REBOUND (Off:0 Def:2)
22101179,2021-22 Regular Season,2022-04-05,Moses Brown,Darius Garland,Lauri Markkanen,Caris LeVert,Isaac Okoro,Mo Bamba,Chuma Okeke,Markelle Fultz,Jalen Suggs,Franz Wagner,1,4,0,0:10:25,0:01:35,0:00:21,9,CLE,shot,,,,,,,,,,Lauri Markkanen,0,,,missed,,hook shot,10,-9,99,25.9,14.9,MISS Markkanen 10' Turnaround Hook Shot
22101179,2021-22 Regular Season,2022-04-05,Moses Brown,Darius Garland,Lauri Markkanen,Caris LeVert,Isaac Okoro,Mo Bamba,Chuma Okeke,Markelle Fultz,Jalen Suggs,Franz Wagner,1,4,0,0:10:20,0:01:40,0:00:05,10,CLE,rebound,,,,,,,,,,Moses Brown,,,,,,rebound offensive,,,,,,Brown REBOUND (Off:1 Def:2)
22101179,2021-22 Regular Season,2022-04-05,Moses Brown,Darius Garland,Lauri Markkanen,Caris LeVert,Isaac Okoro,Mo Bamba,Chuma Okeke,Markelle Fultz,Jalen Suggs,Franz Wagner,1,4,0,0:10:20,0:01:40,0:00:00,11,CLE,shot,,,,,,,,,,Moses Brown,0,,,missed,,layup,0,0,0,25.0,5.0,MISS Brown Tip Layup Shot
22101179,2021-22 Regular Season,2022-04-05,Moses Brown,Darius Garland,Lauri Markkanen,Caris LeVert,Isaac Okoro,Mo Bamba,Chuma Okeke,Markelle Fultz,Jalen Suggs,Franz Wagner,1,4,0,0:10:20,0:01:40,0:00:00,12,ORL,rebound,,,,,,,,,,Jalen Suggs,,,,,,rebound defensive,,,,,,Suggs REBOUND (Off:0 Def:1)
22101179,2021-22 Regular Season,2022-04-05,Moses Brown,Darius Garland,Lauri Markkanen,Caris LeVert,Isaac Okoro,Mo Bamba,Chuma Okeke,Markelle Fultz,Jalen Suggs,Franz Wagner,1,4,3,0:10:16,0:01:44,0:00:04,13,ORL,shot,Jalen Suggs,,,,,,,,,Mo Bamba,3,,,made,,3pt running jump shot,26,88,247,33.8,64.3,Bamba 26' 3PT Running Jump Shot (3 PTS) (Suggs 1 AST)
22101179,2021-22 Regular Season,2022-04-05,Moses Brown,Darius Garland,Lauri Markkanen,Caris LeVert,Isaac Okoro,Mo Bamba,Chuma Okeke,Markelle Fultz,Jalen Suggs,Franz Wagner,1,7,3,0:10:00,0:02:00,0:00:16,14,CLE,shot,Darius Garland,,,,,,,,,Isaac Okoro,3,,,made,,3pt jump shot,27,-206,176,45.6,22.6,Okoro 27' 3PT Jump Shot (3 PTS) (Garland 1 AST)
22101179,2021-22 Regular Season,2022-04-05,Moses Brown,Darius Garland,Lauri Markkanen,Caris LeVert,Isaac Okoro,Mo Bamba,Chuma Okeke,Markelle Fultz,Jalen Suggs,Franz Wagner,1,7,3,0:09:52,0:02:08,0:00:08,15,ORL,turnover,,,,,,,,,,Jalen Suggs,,,bad pass,,Darius Garland,bad pass,,,,,,Suggs Bad Pass Turnover (P1.T1): Garland STEAL (1 STL)
