game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22101185,2021-22 Regular Season,2022-04-05,Drew Eubanks,Kris Dunn,Greg Brown III,Keon Johnson,CJ Elleby,Isaiah Roby,Zavier Simpson,Georgios Kalaitzakis,Jaylen Hoard,Vit Krejci,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22101185,2021-22 Regular Season,2022-04-05,Drew Eubanks,Kris Dunn,Greg Brown III,Keon Johnson,CJ Elleby,Isaiah Roby,Zavier Simpson,Georgios Kalaitzakis,Jaylen Hoard,Vit Krejci,1,0,0,0:12:00,0:00:00,0:00:00,2,OKC,jump ball,,Drew Eubanks,Isaiah Roby,,,,,,,Drew Eubanks,,Kris Dunn,,,,jump ball,,,,,,Jump Ball Roby vs. Eubanks: Tip to Dunn
22101185,2021-22 Regular Season,2022-04-05,Drew Eubanks,Kris Dunn,Greg Brown III,Keon Johnson,CJ Elleby,Isaiah Roby,Zavier Simpson,Georgios Kalaitzakis,Jaylen Hoard,Vit Krejci,1,0,0,0:11:36,0:00:24,0:00:24,3,OKC,foul,,,,,,,,Drew Eubanks,,Zavier Simpson,,,s.foul,,,shooting,,,,,,Simpson S.FOUL (P1.T1) (J.Goble)
22101185,2021-22 Regular Season,2022-04-05,Drew Eubanks,Kris Dunn,Greg Brown III,Keon Johnson,CJ Elleby,Isaiah Roby,Zavier Simpson,Georgios Kalaitzakis,Jaylen Hoard,Vit Krejci,1,1,0,0:11:36,0:00:24,0:00:00,4,POR,free throw,,,,,,,1,,2,Drew Eubanks,1,,,made,,free throw 1/2,,,,,,Eubanks Free Throw 1 of 2 (1 PTS)
22101185,2021-22 Regular Season,2022-04-05,Drew Eubanks,Kris Dunn,Greg Brown III,Keon Johnson,CJ Elleby,Isaiah Roby,Zavier Simpson,Georgios Kalaitzakis,Jaylen Hoard,Vit Krejci,1,2,0,0:11:36,0:00:24,0:00:00,5,POR,free throw,,,,,,,2,,2,Drew Eubanks,1,,,made,,free throw 2/2,,,,,,Eubanks Free Throw 2 of 2 (2 PTS)
22101185,2021-22 Regular Season,2022-04-05,Drew Eubanks,Kris Dunn,Greg Brown III,Keon Johnson,CJ Elleby,Isaiah Roby,Zavier Simpson,Georgios Kalaitzakis,Jaylen Hoard,Vit Krejci,1,2,2,0:11:13,0:00:47,0:00:23,6,OKC,shot,,,,,,,,,,Zavier Simpson,2,,,made,,driving layup,3,-28,-1,22.2,89.1,Simpson 3' Driving Layup (2 PTS)
22101185,2021-22 Regular Season,2022-04-05,Drew Eubanks,Kris Dunn,Greg Brown III,Keon Johnson,CJ Elleby,Isaiah Roby,Zavier Simpson,Georgios Kalaitzakis,Jaylen Hoard,Vit Krejci,1,2,2,0:10:46,0:01:14,0:00:27,7,POR,shot,,,,,,,,,,Kris Dunn,0,,,missed,,floating jump shot,7,25,65,22.5,11.5,MISS Dunn 7' Floating Jump Shot
22101185,2021-22 Regular Season,2022-04-05,Drew Eubanks,Kris Dunn,Greg Brown III,Keon Johnson,CJ Elleby,Isaiah Roby,Zavier Simpson,Georgios Kalaitzakis,Jaylen Hoard,Vit Krejci,1,2,2,0:10:45,0:01:15,0:00:01,8,POR,rebound,,,,,,,,,,Kris Dunn,,,,,,rebound offensive,,,,,,Dunn REBOUND (Off:1 Def:0)
22101185,2021-22 Regular Season,2022-04-05,Drew Eubanks,Kris Dunn,Greg Brown III,Keon Johnson,CJ Elleby,Isaiah Roby,Zavier Simpson,Georgios Kalaitzakis,Jaylen Hoard,Vit Krejci,1,4,2,0:10:44,0:01:16,0:00:01,9,POR,shot,,,,,,,,,,Kris Dunn,2,,,made,,layup,2,22,0,22.8,5.0,Dunn 2' Reverse Layup (2 PTS)
22101185,2021-22 Regular Season,2022-04-05,Drew Eubanks,Kris Dunn,Greg Brown III,Keon Johnson,CJ Elleby,Isaiah Roby,Zavier Simpson,Georgios Kalaitzakis,Jaylen Hoard,Vit Krejci,1,4,4,0:10:20,0:01:40,0:00:24,10,OKC,shot,,,,,,,,,,Georgios Kalaitzakis,2,,,made,,driving floating bank jump shot,5,-37,27,21.3,86.3,Kalaitzakis 5' Driving Floating Bank Jump Shot (2 PTS)
