game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22101188,2021-22 Regular Season,2022-04-05,Willy Hernangomez,CJ McCollum,Jaxson Hayes,Herbert Jones,Brandon Ingram,Damian Jones,Trey Lyles,Harrison Barnes,Davion Mitchell,Justin Holiday,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22101188,2021-22 Regular Season,2022-04-05,Willy Hernangomez,CJ McCollum,Jaxson Hayes,Herbert Jones,Brandon Ingram,Damian Jones,Trey Lyles,Harrison Barnes,Davion Mitchell,Justin Holiday,1,0,0,0:12:00,0:00:00,0:00:00,2,SAC,jump ball,,Willy Hernangomez,Damian Jones,,,,,,,Damian Jones,,Trey Lyles,,,,jump ball,,,,,,Jump Ball Jones vs. Hernangomez: Tip to Lyles
22101188,2021-22 Regular Season,2022-04-05,Willy Hernangomez,CJ McCollum,Jaxson Hayes,Herbert Jones,Brandon Ingram,Damian Jones,Trey Lyles,Harrison Barnes,Davion Mitchell,Justin Holiday,1,0,0,0:11:43,0:00:17,0:00:17,3,SAC,shot,,,,,,,,,,Damian Jones,0,,,missed,,jump shot,19,-97,167,15.299999999999999,72.3,MISS Jones 19' Jump Shot
22101188,2021-22 Regular Season,2022-04-05,Willy Hernangomez,CJ McCollum,Jaxson Hayes,Herbert Jones,Brandon Ingram,Damian Jones,Trey Lyles,Harrison Barnes,Davion Mitchell,Justin Holiday,1,0,0,0:11:38,0:00:22,0:00:05,4,NOP,rebound,,,,,,,,,,CJ McCollum,,,,,,rebound defensive,,,,,,McCollum REBOUND (Off:0 Def:1)
22101188,2021-22 Regular Season,2022-04-05,Willy Hernangomez,CJ McCollum,Jaxson Hayes,Herbert Jones,Brandon Ingram,Damian Jones,Trey Lyles,Harrison Barnes,Davion Mitchell,Justin Holiday,1,2,0,0:11:26,0:00:34,0:00:12,5,NOP,shot,Herbert Jones,,,,,,,,,Jaxson Hayes,2,,,made,,cutting layup shot,1,-5,11,25.5,6.1,Hayes 1' Cutting Layup Shot (2 PTS) (Jones 1 AST)
22101188,2021-22 Regular Season,2022-04-05,Willy Hernangomez,CJ McCollum,Jaxson Hayes,Herbert Jones,Brandon Ingram,Damian Jones,Trey Lyles,Harrison Barnes,Davion Mitchell,Justin Holiday,1,2,2,0:11:12,0:00:48,0:00:14,6,SAC,shot,Davion Mitchell,,,,,,,,,Harrison Barnes,2,,,made,,cutting layup shot,2,-22,12,22.8,87.8,Barnes 3' Cutting Layup Shot (2 PTS) (Mitchell 1 AST)
22101188,2021-22 Regular Season,2022-04-05,Willy Hernangomez,CJ McCollum,Jaxson Hayes,Herbert Jones,Brandon Ingram,Damian Jones,Trey Lyles,Harrison Barnes,Davion Mitchell,Justin Holiday,1,2,2,0:10:52,0:01:08,0:00:20,7,SAC,foul,,,,,,,,CJ McCollum,,Damian Jones,,,p.foul,,,personal,,,,,,Jones P.FOUL (P1.T1) (M.Lindsay)
22101188,2021-22 Regular Season,2022-04-05,Willy Hernangomez,CJ McCollum,Jaxson Hayes,Herbert Jones,Brandon Ingram,Damian Jones,Trey Lyles,Harrison Barnes,Davion Mitchell,Justin Holiday,1,4,2,0:10:42,0:01:18,0:00:10,8,NOP,shot,Willy Hernangomez,,,,,,,,,Jaxson Hayes,2,,,made,,cutting dunk shot,5,-29,43,27.9,9.3,Hayes 5' Cutting Dunk Shot (4 PTS) (Hernangomez 1 AST)
22101188,2021-22 Regular Season,2022-04-05,Willy Hernangomez,CJ McCollum,Jaxson Hayes,Herbert Jones,Brandon Ingram,Damian Jones,Trey Lyles,Harrison Barnes,Davion Mitchell,Justin Holiday,1,4,4,0:10:30,0:01:30,0:00:12,9,SAC,shot,Damian Jones,,,,,,,,,Harrison Barnes,2,,,made,,driving floating jump shot,5,-12,47,23.8,84.3,Barnes 5' Driving Floating Jump Shot (4 PTS) (Jones 1 AST)
22101188,2021-22 Regular Season,2022-04-05,Willy Hernangomez,CJ McCollum,Jaxson Hayes,Herbert Jones,Brandon Ingram,Damian Jones,Trey Lyles,Harrison Barnes,Davion Mitchell,Justin Holiday,1,6,4,0:10:14,0:01:46,0:00:16,10,NOP,shot,CJ McCollum,,,,,,,,,Jaxson Hayes,2,,,made,,driving dunk,1,4,6,24.6,5.6,Hayes 1' Driving Dunk (6 PTS) (McCollum 1 AST)
