game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22101206,2021-22 Regular Season,2022-04-08,Alperen Sengun,Jae'Sean Tate,Kevin Porter Jr.,Jalen Green,Garrison Mathews,Scottie Barnes,Pascal Siakam,Gary Trent Jr.,Khem Birch,Armoni Brooks,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22101206,2021-22 Regular Season,2022-04-08,Alperen Sengun,Jae'Sean Tate,Kevin Porter Jr.,Jalen Green,Garrison Mathews,Scottie Barnes,Pascal Siakam,Gary Trent Jr.,Khem Birch,Armoni Brooks,1,0,0,0:12:00,0:00:00,0:00:00,2,TOR,jump ball,,Alperen Sengun,Scottie Barnes,,,,,,,Scottie Barnes,,Pascal Siakam,,,,jump ball,,,,,,Jump Ball Barnes vs. Sengun: Tip to Siakam
22101206,2021-22 Regular Season,2022-04-08,Alperen Sengun,Jae'Sean Tate,Kevin Porter Jr.,Jalen Green,Garrison Mathews,Scottie Barnes,Pascal Siakam,Gary Trent Jr.,Khem Birch,Armoni Brooks,1,0,2,0:11:38,0:00:22,0:00:22,3,TOR,shot,,,,,,,,,,Scottie Barnes,2,,,made,,layup,2,-13,12,23.7,87.8,Barnes 2' Driving Finger Roll Layup (2 PTS)
22101206,2021-22 Regular Season,2022-04-08,Alperen Sengun,Jae'Sean Tate,Kevin Porter Jr.,Jalen Green,Garrison Mathews,Scottie Barnes,Pascal Siakam,Gary Trent Jr.,Khem Birch,Armoni Brooks,1,3,2,0:11:17,0:00:43,0:00:21,4,HOU,shot,Kevin Porter Jr.,,,,,,,,,Jae'Sean Tate,3,,,made,,3pt jump shot,25,217,126,3.299999999999997,17.6,Tate 25' 3PT Jump Shot (3 PTS) (Porter Jr. 1 AST)
22101206,2021-22 Regular Season,2022-04-08,Alperen Sengun,Jae'Sean Tate,Kevin Porter Jr.,Jalen Green,Garrison Mathews,Scottie Barnes,Pascal Siakam,Gary Trent Jr.,Khem Birch,Armoni Brooks,1,3,2,0:11:03,0:00:57,0:00:14,5,TOR,shot,,,,,,,,,,Gary Trent Jr.,0,,,missed,,jump shot,20,-29,193,22.1,69.7,MISS Trent Jr. 20' Step Back Jump Shot
22101206,2021-22 Regular Season,2022-04-08,Alperen Sengun,Jae'Sean Tate,Kevin Porter Jr.,Jalen Green,Garrison Mathews,Scottie Barnes,Pascal Siakam,Gary Trent Jr.,Khem Birch,Armoni Brooks,1,3,2,0:11:00,0:01:00,0:00:03,6,HOU,rebound,,,,,,,,,,Kevin Porter Jr.,,,,,,rebound defensive,,,,,,Porter Jr. REBOUND (Off:0 Def:1)
22101206,2021-22 Regular Season,2022-04-08,Alperen Sengun,Jae'Sean Tate,Kevin Porter Jr.,Jalen Green,Garrison Mathews,Scottie Barnes,Pascal Siakam,Gary Trent Jr.,Khem Birch,Armoni Brooks,1,5,2,0:10:51,0:01:09,0:00:09,7,HOU,shot,,,,,,,,,,Jalen Green,2,,,made,,driving dunk,0,1,5,24.9,5.5,Green 1' Driving Dunk (2 PTS)
22101206,2021-22 Regular Season,2022-04-08,Alperen Sengun,Jae'Sean Tate,Kevin Porter Jr.,Jalen Green,Garrison Mathews,Scottie Barnes,Pascal Siakam,Gary Trent Jr.,Khem Birch,Armoni Brooks,1,5,2,0:10:41,0:01:19,0:00:10,8,TOR,shot,,,,,,,,,,Scottie Barnes,0,,,missed,,driving floating jump shot,9,-21,85,22.9,80.5,MISS Barnes 9' Driving Floating Jump Shot
22101206,2021-22 Regular Season,2022-04-08,Alperen Sengun,Jae'Sean Tate,Kevin Porter Jr.,Jalen Green,Garrison Mathews,Scottie Barnes,Pascal Siakam,Gary Trent Jr.,Khem Birch,Armoni Brooks,1,5,2,0:10:38,0:01:22,0:00:03,9,TOR,rebound,,,,,,,,,,Scottie Barnes,,,,,,rebound offensive,,,,,,Barnes REBOUND (Off:1 Def:0)
22101206,2021-22 Regular Season,2022-04-08,Alperen Sengun,Jae'Sean Tate,Kevin Porter Jr.,Jalen Green,Garrison Mathews,Scottie Barnes,Pascal Siakam,Gary Trent Jr.,Khem Birch,Armoni Brooks,1,5,2,0:10:35,0:01:25,0:00:03,10,TOR,shot,,,,,,,,,,Scottie Barnes,0,,,missed,,hook shot,5,48,2,29.8,88.8,MISS Barnes 5' Hook Shot
