game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,0,0,0:12:00,0:00:00,0:00:00,2,NOP,jump ball,,Kevon Looney,Willy Hernangomez,,,,,,,Willy Hernangomez,,Jaxson Hayes,,,,jump ball,,,,,,Jump Ball Hernangomez vs. Looney: Tip to Hayes
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,0,2,0:11:34,0:00:26,0:00:26,3,NOP,shot,,,,,,,,,,Willy Hernangomez,2,,,made,,turnaround fadeaway,14,142,15,39.2,87.5,Hernangomez 14' Turnaround Fadeaway (2 PTS)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,2,0:11:18,0:00:42,0:00:16,4,GSW,shot,Draymond Green,,,,,,,,,Klay Thompson,3,,,made,,3pt jump shot,27,118,240,13.2,29.0,Thompson 27' 3PT Jump Shot (3 PTS) (Green 1 AST)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,2,0:11:05,0:00:55,0:00:13,5,NOP,shot,,,,,,,,,,Trey Murphy III,0,,,missed,,3pt jump shot,22,225,-8,47.5,89.8,MISS Murphy III 3PT Jump Shot
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,2,0:11:02,0:00:58,0:00:03,6,GSW,rebound,,,,,,,,,,Kevon Looney,,,,,,rebound defensive,,,,,,Looney REBOUND (Off:0 Def:1)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,2,0:10:48,0:01:12,0:00:14,7,GSW,shot,,,,,,,,,,Klay Thompson,0,,,missed,,3pt jump shot,25,131,216,11.899999999999999,26.6,MISS Thompson 25' 3PT Jump Shot
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,2,0:10:44,0:01:16,0:00:04,8,NOP,rebound,,,,,,,,,,Trey Murphy III,,,,,,rebound defensive,,,,,,Murphy III REBOUND (Off:0 Def:1)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,2,0:10:40,0:01:20,0:00:04,9,NOP,shot,,,,,,,,,,CJ McCollum,0,,,missed,,3pt jump shot,26,-15,260,23.5,63.0,MISS McCollum 26' 3PT Jump Shot
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,2,0:10:34,0:01:26,0:00:06,10,NOP,rebound,,,,,,,,,,Naji Marshall,,,,,,rebound offensive,,,,,,Marshall REBOUND (Off:1 Def:0)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,2,0:10:33,0:01:27,0:00:01,11,NOP,shot,,,,,,,,,,Trey Murphy III,0,,,missed,,3pt jump shot,26,203,157,45.3,73.3,MISS Murphy III 26' 3PT Jump Shot
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,2,0:10:28,0:01:32,0:00:05,12,GSW,rebound,,,,,,,,,,Kevon Looney,,,,,,rebound defensive,,,,,,Looney REBOUND (Off:0 Def:2)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,2,0:10:18,0:01:42,0:00:10,13,GSW,shot,,,,,,,,,,Jordan Poole,0,,,missed,,3pt jump shot,27,181,200,6.899999999999999,25.0,MISS Poole 27' 3PT Jump Shot
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,2,0:10:15,0:01:45,0:00:03,14,NOP,rebound,,,,,,,,,,Naji Marshall,,,,,,rebound defensive,,,,,,Marshall REBOUND (Off:1 Def:1)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,4,0:10:11,0:01:49,0:00:04,15,NOP,shot,,,,,,,,,,Naji Marshall,2,,,made,,driving layup,2,-21,2,22.9,88.8,Marshall 2' Driving Layup (2 PTS)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,4,0:10:11,0:01:49,0:00:00,16,GSW,foul,,,,,,,,Naji Marshall,,Moses Moody,,,s.foul,,,shooting,,,,,,Moody S.FOUL (P1.T1) (T.Washington)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,5,0:10:11,0:01:49,0:00:00,17,NOP,free throw,,,,,,,1,,1,Naji Marshall,1,,,made,,free throw 1/1,,,,,,Marshall Free Throw 1 of 1 (3 PTS)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,5,0:10:01,0:01:59,0:00:10,18,GSW,turnover,,,,,,,,,,Jordan Poole,,,,,Willy Hernangomez,lost ball,,,,,,Hernangomez STEAL (1 STL): Poole Lost Ball Turnover (P1.T1)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,7,0:09:56,0:02:04,0:00:05,19,NOP,shot,Naji Marshall,,,,,,,,,Trey Murphy III,2,,,made,,cutting dunk shot,0,-1,4,24.9,88.6,Murphy III Cutting Dunk Shot (2 PTS) (Marshall 1 AST)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,7,0:09:40,0:02:20,0:00:16,20,GSW,shot,,,,,,,,,,Klay Thompson,0,,,missed,,3pt jump shot,23,228,20,2.1999999999999993,7.0,MISS Thompson 3PT Jump Shot
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,7,0:09:36,0:02:24,0:00:04,21,NOP,rebound,,,,,,,,,,Trey Murphy III,,,,,,rebound defensive,,,,,,Murphy III REBOUND (Off:0 Def:2)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,9,0:09:35,0:02:25,0:00:01,22,NOP,shot,,,,,,,,,,Trey Murphy III,2,,,made,,layup,2,18,8,26.8,88.2,Murphy III 2' Running Layup (4 PTS)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,9,0:09:35,0:02:25,0:00:00,23,GSW,foul,,,,,,,,Trey Murphy III,,Kevon Looney,,,s.foul,,,shooting,,,,,,Looney S.FOUL (P1.T2) (S.Twardoski)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,3,10,0:09:35,0:02:25,0:00:00,24,NOP,free throw,,,,,,,1,,1,Trey Murphy III,1,,,made,,free throw 1/1,,,,,,Murphy III Free Throw 1 of 1 (5 PTS)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,5,10,0:09:22,0:02:38,0:00:13,25,GSW,shot,Draymond Green,,,,,,,,,Klay Thompson,2,,,made,,jump shot,14,7,145,24.3,19.5,Thompson 15' Pullup Jump Shot (5 PTS) (Green 2 AST)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,5,13,0:09:07,0:02:53,0:00:15,26,NOP,shot,CJ McCollum,,,,,,,,,Jaxson Hayes,3,,,made,,3pt jump shot,23,-232,0,1.7999999999999972,89.0,Hayes 3PT Jump Shot (3 PTS) (McCollum 1 AST)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,7,13,0:08:48,0:03:12,0:00:19,27,GSW,shot,Jordan Poole,,,,,,,,,Draymond Green,2,,,made,,jump bank shot,13,-125,27,37.5,7.7,Green 13' Jump Bank Shot (2 PTS) (Poole 1 AST)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,7,13,0:08:36,0:03:24,0:00:12,28,NOP,shot,,,,,,,,,,CJ McCollum,0,,,missed,,3pt jump shot,26,70,246,32.0,64.4,MISS McCollum 26' 3PT Jump Shot
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,7,13,0:08:34,0:03:26,0:00:02,29,NOP,rebound,,,,,,,,,,Naji Marshall,,,,,,rebound offensive,,,,,,Marshall REBOUND (Off:2 Def:1)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,7,13,0:08:33,0:03:27,0:00:01,30,NOP,turnover,,,,,,,,,,Naji Marshall,,,out of bounds lost ball,,,out of bounds lost ball,,,,,,Marshall Out of Bounds Lost Ball Turnover (P1.T1)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,9,13,0:08:20,0:03:40,0:00:13,31,GSW,shot,Kevon Looney,,,,,,,,,Klay Thompson,2,,,made,,jump shot,17,70,151,18.0,20.1,Thompson 17' Pullup Jump Shot (7 PTS) (Looney 1 AST)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,9,13,0:08:02,0:03:58,0:00:18,32,NOP,shot,,,,,,,,,,Jaxson Hayes,0,,,missed,,3pt jump shot,22,224,2,47.400000000000006,88.8,MISS Hayes 3PT Jump Shot
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,9,13,0:07:59,0:04:01,0:00:03,33,GSW,rebound,,,,,,,,,,Moses Moody,,,,,,rebound defensive,,,,,,Moody REBOUND (Off:0 Def:1)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,12,13,0:07:49,0:04:11,0:00:10,34,GSW,shot,Draymond Green,,,,,,,,,Klay Thompson,3,,,made,,3pt jump shot,25,-206,141,45.6,19.1,Thompson 25' 3PT Jump Shot (10 PTS) (Green 3 AST)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,12,13,0:07:34,0:04:26,0:00:15,35,NOP,shot,,,,,,,,,,Willy Hernangomez,0,,,missed,,driving layup,2,-17,17,23.3,87.3,MISS Hernangomez 2' Driving Layup
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,12,13,0:07:31,0:04:29,0:00:03,36,NOP,rebound,,,,,,,,,,Naji Marshall,,,,,,rebound offensive,,,,,,Marshall REBOUND (Off:3 Def:1)
22101225,2021-22 Regular Season,2022-04-10,Kevon Looney,Klay Thompson,Draymond Green,Jordan Poole,Moses Moody,Willy Hernangomez,Jaxson Hayes,Trey Murphy III,CJ McCollum,Naji Marshall,1,12,13,0:07:28,0:04:32,0:00:03,37,NOP,shot,,,,,,,,,,Naji Marshall,0,,,missed,,layup,0,0,0,25.0,89.0,MISS Marshall Tip Layup Shot
