game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
52100121,2021-22 Regular Season,2022-04-12,Ivica Zubac,Marcus Morris Sr.,Paul George,Nicolas Batum,Reggie Jackson,Karl-Anthony Towns,Patrick Beverley,Anthony Edwards,D'Angelo Russell,Jarred Vanderbilt,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
52100121,2021-22 Regular Season,2022-04-12,Ivica Zubac,Marcus Morris Sr.,Paul George,Nicolas Batum,Reggie Jackson,Karl-Anthony Towns,Patrick Beverley,Anthony Edwards,D'Angelo Russell,Jarred Vanderbilt,1,0,0,0:12:00,0:00:00,0:00:00,2,MIN,jump ball,,Ivica Zubac,Karl-Anthony Towns,,,,,,,Ivica Zubac,,Marcus Morris Sr.,,,,jump ball,,,,,,Jump Ball Towns vs. Zubac: Tip to Morris Sr.
52100121,2021-22 Regular Season,2022-04-12,Ivica Zubac,Marcus Morris Sr.,Paul George,Nicolas Batum,Reggie Jackson,Karl-Anthony Towns,Patrick Beverley,Anthony Edwards,D'Angelo Russell,Jarred Vanderbilt,1,0,0,0:11:44,0:00:16,0:00:16,3,LAC,shot,,,,,,,,,,Marcus Morris Sr.,0,,,missed,,turnaround fadeaway,8,None,None,,,MISS Morris Sr. 8' Turnaround Fadeaway Shot
52100121,2021-22 Regular Season,2022-04-12,Ivica Zubac,Marcus Morris Sr.,Paul George,Nicolas Batum,Reggie Jackson,Karl-Anthony Towns,Patrick Beverley,Anthony Edwards,D'Angelo Russell,Jarred Vanderbilt,1,0,0,0:11:41,0:00:19,0:00:03,4,MIN,rebound,,,,,,,,,,Patrick Beverley,,,,,,rebound defensive,,,,,,Beverley REBOUND (Off:0 Def:1)
52100121,2021-22 Regular Season,2022-04-12,Ivica Zubac,Marcus Morris Sr.,Paul George,Nicolas Batum,Reggie Jackson,Karl-Anthony Towns,Patrick Beverley,Anthony Edwards,D'Angelo Russell,Jarred Vanderbilt,1,0,2,0:11:34,0:00:26,0:00:07,5,MIN,shot,,,,,,,,,,Anthony Edwards,2,,,made,,driving layup,3,None,None,,,Edwards 3' Driving Layup (2 PTS)
52100121,2021-22 Regular Season,2022-04-12,Ivica Zubac,Marcus Morris Sr.,Paul George,Nicolas Batum,Reggie Jackson,Karl-Anthony Towns,Patrick Beverley,Anthony Edwards,D'Angelo Russell,Jarred Vanderbilt,1,0,2,0:11:16,0:00:44,0:00:18,6,LAC,shot,,,,,,,,,,Paul George,0,,,missed,,jump shot,16,None,None,,,MISS George 16' Pullup Jump Shot
52100121,2021-22 Regular Season,2022-04-12,Ivica Zubac,Marcus Morris Sr.,Paul George,Nicolas Batum,Reggie Jackson,Karl-Anthony Towns,Patrick Beverley,Anthony Edwards,D'Angelo Russell,Jarred Vanderbilt,1,0,2,0:11:14,0:00:46,0:00:02,7,MIN,rebound,,,,,,,,,,D'Angelo Russell,,,,,,rebound defensive,,,,,,Russell REBOUND (Off:0 Def:1)
52100121,2021-22 Regular Season,2022-04-12,Ivica Zubac,Marcus Morris Sr.,Paul George,Nicolas Batum,Reggie Jackson,Karl-Anthony Towns,Patrick Beverley,Anthony Edwards,D'Angelo Russell,Jarred Vanderbilt,1,0,2,0:11:05,0:00:55,0:00:09,8,MIN,shot,,,,,,,,,,D'Angelo Russell,0,,,missed,,3pt step back jump shot,,None,None,,,MISS Russell 25' 3PT Step Back Jump Shot
52100121,2021-22 Regular Season,2022-04-12,Ivica Zubac,Marcus Morris Sr.,Paul George,Nicolas Batum,Reggie Jackson,Karl-Anthony Towns,Patrick Beverley,Anthony Edwards,D'Angelo Russell,Jarred Vanderbilt,1,0,2,0:11:04,0:00:56,0:00:01,9,MIN,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,TIMBERWOLVES Rebound
52100121,2021-22 Regular Season,2022-04-12,Ivica Zubac,Marcus Morris Sr.,Paul George,Nicolas Batum,Reggie Jackson,Karl-Anthony Towns,Patrick Beverley,Anthony Edwards,D'Angelo Russell,Jarred Vanderbilt,1,0,2,0:11:04,0:00:56,0:00:00,10,LAC,foul,,,,,,,,Jarred Vanderbilt,,Marcus Morris Sr.,,,l.b.foul,,,loose ball,,,,,,Morris Sr. L.B.FOUL (P1.T1) (S.Foster)
52100121,2021-22 Regular Season,2022-04-12,Ivica Zubac,Marcus Morris Sr.,Paul George,Nicolas Batum,Reggie Jackson,Karl-Anthony Towns,Patrick Beverley,Anthony Edwards,D'Angelo Russell,Jarred Vanderbilt,1,0,2,0:10:56,0:01:04,0:00:08,11,MIN,turnover,,,,,,,,,,Karl-Anthony Towns,,,traveling,,,traveling,,,,,,Towns Traveling Turnover (P1.T1)
