game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,0,0,0:12:00,0:00:00,0:00:00,2,ATL,jump ball,,,Clint Capela,,,,,,,,,,,,,jump ball,,,,,, 
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,0,0,0:11:38,0:00:22,0:00:22,3,MIA,shot,,,,,,,,,,Gabe Vincent,0,,,missed,,3pt pullup jump shot,26,21,256,22.9,30.6,MISS Vincent 26' 3PT Pullup Jump Shot
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,0,0,0:11:35,0:00:25,0:00:03,4,ATL,rebound,,,,,,,,,,Clint Capela,,,,,,rebound defensive,,,,,,Capela REBOUND (Off:0 Def:1)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,0,0,0:11:18,0:00:42,0:00:17,5,ATL,shot,,,,,,,,,,Kevin Huerter,0,,,missed,,3pt pullup jump shot,24,-235,50,1.5,84.0,MISS Huerter 24' 3PT Pullup Jump Shot
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,0,0,0:11:14,0:00:46,0:00:04,6,MIA,rebound,,,,,,,,,,Bam Adebayo,,,,,,rebound defensive,,,,,,Adebayo REBOUND (Off:0 Def:1)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,3,0,0:11:05,0:00:55,0:00:09,7,MIA,shot,Jimmy Butler,,,,,,,,,P.J. Tucker,3,,,made,,3pt jump shot,23,-227,26,47.7,7.6,Tucker 3PT Jump Shot (3 PTS) (Butler 1 AST)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,3,3,0:10:51,0:01:09,0:00:14,8,ATL,shot,John Collins,,,,,,,,,De'Andre Hunter,3,,,made,,3pt jump shot,23,224,55,47.400000000000006,83.5,Hunter 3PT Jump Shot (3 PTS) (Collins 1 AST)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,3,3,0:10:28,0:01:32,0:00:23,9,MIA,shot,,,,,,,,,,Max Strus,0,,,missed,,3pt jump shot,26,99,236,15.1,28.6,MISS Strus 26' 3PT Jump Shot
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,3,3,0:10:27,0:01:33,0:00:01,10,ATL,rebound,,,,,,,,,,,,,,,,rebound defensive,,,,,,HAWKS Rebound
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,3,3,0:10:11,0:01:49,0:00:16,11,ATL,turnover,,,,,,,,,,Kevin Huerter,,,bad pass,,,bad pass,,,,,,Huerter Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,3,3,0:09:46,0:02:14,0:00:25,12,MIA,shot,,,,,,,,,,Jimmy Butler,0,,,missed,,driving floating jump shot,6,2,63,24.8,11.3,MISS Butler 6' Driving Floating Jump Shot
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,3,3,0:09:44,0:02:16,0:00:02,13,MIA,rebound,,,,,,,,,,Bam Adebayo,,,,,,rebound offensive,,,,,,Adebayo REBOUND (Off:1 Def:1)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,3,3,0:09:38,0:02:22,0:00:06,14,MIA,shot,,,,,,,,,,Bam Adebayo,0,,,missed,,driving layup,3,26,22,22.4,7.2,MISS Adebayo 3' Driving Layup
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,3,3,0:09:38,0:02:22,0:00:00,15,MIA,rebound,,,,,,,,,,,,,,,,rebound offensive,,,,,,Heat Rebound
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,3,3,0:09:38,0:02:22,0:00:00,16,ATL,foul,,,,,,,,Bam Adebayo,,John Collins,,,l.b.foul,,,loose ball,,,,,,Collins L.B.FOUL (P1.T1) (B.Barnaky)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,5,3,0:09:23,0:02:37,0:00:15,17,MIA,shot,,,,,,,,,,Jimmy Butler,2,,,made,,driving floating jump shot,16,-67,151,31.7,20.1,Butler 17' Driving Floating Jump Shot (2 PTS)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,5,3,0:09:15,0:02:45,0:00:08,18,ATL,shot,,,,,,,,,,John Collins,0,,,missed,,3pt jump shot,25,221,123,47.1,76.7,MISS Collins 25' 3PT Jump Shot
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,5,3,0:09:13,0:02:47,0:00:02,19,ATL,rebound,,,,,,,,,,Clint Capela,,,,,,rebound offensive,,,,,,Capela REBOUND (Off:1 Def:1)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,5,5,0:09:11,0:02:49,0:00:02,20,ATL,shot,,,,,,,,,,Clint Capela,2,,,made,,hook shot,7,-10,73,24.0,81.7,Capela 7' Driving Hook Shot (2 PTS)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,5,5,0:08:56,0:03:04,0:00:15,21,MIA,shot,,,,,,,,,,Jimmy Butler,0,,,missed,,driving floating jump shot,5,5,47,24.5,9.7,MISS Butler 5' Driving Floating Jump Shot
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,5,5,0:08:52,0:03:08,0:00:04,22,MIA,rebound,,,,,,,,,,Bam Adebayo,,,,,,rebound offensive,,,,,,Adebayo REBOUND (Off:2 Def:1)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,7,5,0:08:52,0:03:08,0:00:00,23,MIA,shot,,,,,,,,,,Bam Adebayo,2,,,made,,dunk,0,0,0,25.0,5.0,Adebayo Tip Dunk Shot (2 PTS)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,7,5,0:08:41,0:03:19,0:00:11,24,MIA,foul,,,,,,,,De'Andre Hunter,,Bam Adebayo,,,p.foul,,,personal,,,,,,Adebayo P.FOUL (P1.T1) (D.Guthrie)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,7,8,0:08:33,0:03:27,0:00:08,25,ATL,shot,Trae Young,,,,,,,,,De'Andre Hunter,3,,,made,,3pt jump shot,23,-232,7,1.7999999999999972,88.3,Hunter 3PT Jump Shot (6 PTS) (Young 1 AST)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,7,8,0:08:19,0:03:41,0:00:14,26,MIA,shot,,,,,,,,,,P.J. Tucker,0,,,missed,,3pt jump shot,23,232,8,1.7999999999999972,5.8,MISS Tucker 3PT Jump Shot
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,7,8,0:08:16,0:03:44,0:00:03,27,MIA,rebound,,,,,,,,,,P.J. Tucker,,,,,,rebound offensive,,,,,,Tucker REBOUND (Off:1 Def:0)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,7,8,0:08:11,0:03:49,0:00:05,28,MIA,shot,,,,,,,,,,Gabe Vincent,0,,,missed,,3pt jump shot,24,228,71,2.1999999999999993,12.100000000000001,MISS Vincent 24' 3PT Jump Shot
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,7,8,0:08:08,0:03:52,0:00:03,29,ATL,rebound,,,,,,,,,,Clint Capela,,,,,,rebound defensive,,,,,,Capela REBOUND (Off:1 Def:2)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,7,11,0:08:03,0:03:57,0:00:05,30,ATL,shot,,,,,,,,,,Trae Young,3,,,made,,3pt pullup jump shot,32,-121,295,12.899999999999999,59.5,Young 32' 3PT Pullup Jump Shot (3 PTS)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,7,11,0:07:49,0:04:11,0:00:14,31,ATL,foul,,,,,,,,Jimmy Butler,,Kevin Huerter,,,s.foul,,,shooting,,,,,,Huerter S.FOUL (P1.T2) (D.Guthrie)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,8,11,0:07:49,0:04:11,0:00:00,32,MIA,free throw,,,,,,,1,,2,Jimmy Butler,1,,,made,,free throw 1/2,,,,,,Butler Free Throw 1 of 2 (3 PTS)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,9,11,0:07:49,0:04:11,0:00:00,33,MIA,free throw,,,,,,,2,,2,Jimmy Butler,1,,,made,,free throw 2/2,,,,,,Butler Free Throw 2 of 2 (4 PTS)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,9,13,0:07:30,0:04:30,0:00:19,34,ATL,shot,,,,,,,,,,De'Andre Hunter,2,,,made,,jump shot,16,-163,21,8.7,86.9,Hunter 16' Step Back Jump Shot (8 PTS)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,12,13,0:07:07,0:04:53,0:00:23,35,MIA,shot,P.J. Tucker,,,,,,,,,Max Strus,3,,,made,,3pt pullup jump shot,26,-150,213,40.0,26.3,Strus 26' 3PT Pullup Jump Shot (3 PTS) (Tucker 1 AST)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,12,13,0:06:48,0:05:12,0:00:19,36,ATL,shot,,,,,,,,,,John Collins,0,,,missed,,jump shot,9,29,84,27.9,80.6,MISS Collins 9' Pullup Jump Shot
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,12,13,0:06:45,0:05:15,0:00:03,37,MIA,rebound,,,,,,,,,,Jimmy Butler,,,,,,rebound defensive,,,,,,Butler REBOUND (Off:0 Def:1)
42100104,2021-22 Playoffs,2022-04-24,Gabe Vincent,Bam Adebayo,P.J. Tucker,Jimmy Butler,Max Strus,Clint Capela,Kevin Huerter,De'Andre Hunter,John Collins,Trae Young,1,12,13,0:06:40,0:05:20,0:00:05,38,MIA,shot,,,,,,,,,,Jimmy Butler,0,,,missed,,driving floating jump shot,9,26,84,22.4,13.4,MISS Butler 9' Driving Floating Jump Shot
