game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
42100175,2021-22 Playoffs,2022-04-25,Rudy Gobert,Royce O'Neale,Mike Conley,Donovan Mitchell,Bojan Bogdanovic,Dwight Powell,Luka Doncic,Jalen Brunson,Reggie Bullock,Dorian Finney-Smith,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
42100175,2021-22 Playoffs,2022-04-25,Rudy Gobert,Royce O'Neale,Mike Conley,Donovan Mitchell,Bojan Bogdanovic,Dwight Powell,Luka Doncic,Jalen Brunson,Reggie Bullock,Dorian Finney-Smith,1,0,0,0:12:00,0:00:00,0:00:00,2,DAL,jump ball,,Rudy Gobert,Dwight Powell,,,,,,,Rudy Gobert,,Royce O'Neale,,,,jump ball,,,,,,Jump Ball Powell vs. Gobert: Tip to O'Neale
42100175,2021-22 Playoffs,2022-04-25,Rudy Gobert,Royce O'Neale,Mike Conley,Donovan Mitchell,Bojan Bogdanovic,Dwight Powell,Luka Doncic,Jalen Brunson,Reggie Bullock,Dorian Finney-Smith,1,0,0,0:11:48,0:00:12,0:00:12,3,UTA,shot,,,,,,,,,,Mike Conley,0,,,missed,,3pt jump shot,25,216,122,3.3999999999999986,17.200000000000003,MISS Conley 25' 3PT Jump Shot
42100175,2021-22 Playoffs,2022-04-25,Rudy Gobert,Royce O'Neale,Mike Conley,Donovan Mitchell,Bojan Bogdanovic,Dwight Powell,Luka Doncic,Jalen Brunson,Reggie Bullock,Dorian Finney-Smith,1,0,0,0:11:47,0:00:13,0:00:01,4,DAL,rebound,,,,,,,,,,Luka Doncic,,,,,,rebound defensive,,,,,,Doncic REBOUND (Off:0 Def:1)
42100175,2021-22 Playoffs,2022-04-25,Rudy Gobert,Royce O'Neale,Mike Conley,Donovan Mitchell,Bojan Bogdanovic,Dwight Powell,Luka Doncic,Jalen Brunson,Reggie Bullock,Dorian Finney-Smith,1,0,2,0:11:33,0:00:27,0:00:14,5,DAL,shot,Luka Doncic,,,,,,,,,Dwight Powell,2,,,made,,dunk,0,-2,-1,24.8,89.1,Powell Alley Oop Dunk (2 PTS) (Doncic 1 AST)
42100175,2021-22 Playoffs,2022-04-25,Rudy Gobert,Royce O'Neale,Mike Conley,Donovan Mitchell,Bojan Bogdanovic,Dwight Powell,Luka Doncic,Jalen Brunson,Reggie Bullock,Dorian Finney-Smith,1,0,2,0:11:18,0:00:42,0:00:15,6,UTA,shot,,,,,,,,,,Donovan Mitchell,0,,,missed,,3pt step back jump shot,26,6,256,24.4,30.6,MISS Mitchell 26' 3PT Step Back Jump Shot
42100175,2021-22 Playoffs,2022-04-25,Rudy Gobert,Royce O'Neale,Mike Conley,Donovan Mitchell,Bojan Bogdanovic,Dwight Powell,Luka Doncic,Jalen Brunson,Reggie Bullock,Dorian Finney-Smith,1,0,2,0:11:16,0:00:44,0:00:02,7,DAL,rebound,,,,,,,,,,Luka Doncic,,,,,,rebound defensive,,,,,,Doncic REBOUND (Off:0 Def:2)
42100175,2021-22 Playoffs,2022-04-25,Rudy Gobert,Royce O'Neale,Mike Conley,Donovan Mitchell,Bojan Bogdanovic,Dwight Powell,Luka Doncic,Jalen Brunson,Reggie Bullock,Dorian Finney-Smith,1,0,4,0:10:59,0:01:01,0:00:17,8,DAL,shot,,,,,,,,,,Luka Doncic,2,,,made,,driving floating bank jump shot,5,-45,16,20.5,87.4,Doncic 5' Driving Floating Bank Jump Shot (2 PTS)
42100175,2021-22 Playoffs,2022-04-25,Rudy Gobert,Royce O'Neale,Mike Conley,Donovan Mitchell,Bojan Bogdanovic,Dwight Powell,Luka Doncic,Jalen Brunson,Reggie Bullock,Dorian Finney-Smith,1,0,4,0:10:46,0:01:14,0:00:13,9,UTA,shot,,,,,,,,,,Bojan Bogdanovic,0,,,missed,,3pt jump shot,25,92,233,15.799999999999999,28.3,MISS Bogdanovic 25' 3PT Jump Shot
42100175,2021-22 Playoffs,2022-04-25,Rudy Gobert,Royce O'Neale,Mike Conley,Donovan Mitchell,Bojan Bogdanovic,Dwight Powell,Luka Doncic,Jalen Brunson,Reggie Bullock,Dorian Finney-Smith,1,0,4,0:10:43,0:01:17,0:00:03,10,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound offensive,,,,,,Gobert REBOUND (Off:1 Def:0)
