game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
42100156,2021-22 Playoffs,2022-04-29,Jaren Jackson Jr.,Ja Morant,Desmond Bane,Xavier Tillman,Dillon Brooks,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Patrick Beverley,Jarred Vanderbilt,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
42100156,2021-22 Playoffs,2022-04-29,Jaren Jackson Jr.,Ja Morant,Desmond Bane,Xavier Tillman,Dillon Brooks,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Patrick Beverley,Jarred Vanderbilt,1,0,0,0:12:00,0:00:00,0:00:00,2,MIN,jump ball,,Jaren Jackson Jr.,Karl-Anthony Towns,,,,,,,Jaren Jackson Jr.,,Ja Morant,,,,jump ball,,,,,,Jump Ball Towns vs. Jackson Jr.: Tip to Morant
42100156,2021-22 Playoffs,2022-04-29,Jaren Jackson Jr.,Ja Morant,Desmond Bane,Xavier Tillman,Dillon Brooks,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Patrick Beverley,Jarred Vanderbilt,1,0,0,0:11:46,0:00:14,0:00:14,3,MEM,turnover,,,,,,,,,,Desmond Bane,,,,,D'Angelo Russell,lost ball,,,,,,Russell STEAL (1 STL): Bane Lost Ball Turnover (P1.T1)
42100156,2021-22 Playoffs,2022-04-29,Jaren Jackson Jr.,Ja Morant,Desmond Bane,Xavier Tillman,Dillon Brooks,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Patrick Beverley,Jarred Vanderbilt,1,0,0,0:11:36,0:00:24,0:00:10,4,MEM,violation,,,,,,,,,,Xavier Tillman,,,,,,kicked ball,,,,,,Tillman Violation:Kicked Ball (M.Lindsay)
42100156,2021-22 Playoffs,2022-04-29,Jaren Jackson Jr.,Ja Morant,Desmond Bane,Xavier Tillman,Dillon Brooks,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Patrick Beverley,Jarred Vanderbilt,1,0,2,0:11:24,0:00:36,0:00:12,5,MIN,shot,Anthony Edwards,,,,,,,,,Karl-Anthony Towns,2,,,made,,jump shot,18,-181,32,6.899999999999999,85.8,Towns 18' Step Back Jump Shot (2 PTS) (Edwards 1 AST)
42100156,2021-22 Playoffs,2022-04-29,Jaren Jackson Jr.,Ja Morant,Desmond Bane,Xavier Tillman,Dillon Brooks,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Patrick Beverley,Jarred Vanderbilt,1,0,2,0:11:12,0:00:48,0:00:12,6,MEM,shot,,,,,,,,,,Desmond Bane,0,,,missed,,3pt jump shot,24,-235,4,48.5,5.4,MISS Bane 24' 3PT Jump Shot
42100156,2021-22 Playoffs,2022-04-29,Jaren Jackson Jr.,Ja Morant,Desmond Bane,Xavier Tillman,Dillon Brooks,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Patrick Beverley,Jarred Vanderbilt,1,0,2,0:11:09,0:00:51,0:00:03,7,MIN,rebound,,,,,,,,,,Patrick Beverley,,,,,,rebound defensive,,,,,,Beverley REBOUND (Off:0 Def:1)
42100156,2021-22 Playoffs,2022-04-29,Jaren Jackson Jr.,Ja Morant,Desmond Bane,Xavier Tillman,Dillon Brooks,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Patrick Beverley,Jarred Vanderbilt,1,0,2,0:11:01,0:00:59,0:00:08,8,MIN,shot,,,,,,,,,,Karl-Anthony Towns,0,,,missed,,jump shot,10,-50,83,20.0,80.7,MISS Towns 10' Jump Shot
42100156,2021-22 Playoffs,2022-04-29,Jaren Jackson Jr.,Ja Morant,Desmond Bane,Xavier Tillman,Dillon Brooks,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Patrick Beverley,Jarred Vanderbilt,1,0,2,0:10:59,0:01:01,0:00:02,9,MEM,rebound,,,,,,,,,,Desmond Bane,,,,,,rebound defensive,,,,,,Bane REBOUND (Off:0 Def:1)
42100156,2021-22 Playoffs,2022-04-29,Jaren Jackson Jr.,Ja Morant,Desmond Bane,Xavier Tillman,Dillon Brooks,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Patrick Beverley,Jarred Vanderbilt,1,0,2,0:10:55,0:01:05,0:00:04,10,MEM,turnover,,,,,,,,,,Desmond Bane,,,bad pass,,Jarred Vanderbilt,bad pass,,,,,,Vanderbilt STEAL (1 STL): Bane Bad Pass Turnover (P2.T2)
