game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,0,0,0:12:00,0:00:00,0:00:00,2,MIA,jump ball,,Joel Embiid,Bam Adebayo,,,,,,,Bam Adebayo,,Gabe Vincent,,,,jump ball,,,,,,Jump Ball Adebayo vs. Embiid: Tip to Vincent
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,0,0,0:11:36,0:00:24,0:00:24,3,MIA,shot,,,,,,,,,,Max Strus,0,,,missed,,3pt jump shot,27,-49,262,20.1,62.8,MISS Strus 27' 3PT Jump Shot
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,0,0,0:11:33,0:00:27,0:00:03,4,PHI,rebound,,,,,,,,,,Tyrese Maxey,,,,,,rebound defensive,,,,,,Maxey REBOUND (Off:0 Def:1)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,2,0,0:11:22,0:00:38,0:00:11,5,PHI,shot,,,,,,,,,,Joel Embiid,2,,,made,,jump shot,16,53,149,19.7,19.9,Embiid 16' Pullup Jump Shot (2 PTS)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,2,2,0:11:00,0:01:00,0:00:22,6,MIA,shot,Gabe Vincent,,,,,,,,,P.J. Tucker,2,,,made,,floating jump shot,12,51,108,30.1,78.2,Tucker 12' Floating Jump Shot (2 PTS) (Vincent 1 AST)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,2,2,0:10:34,0:01:26,0:00:26,7,PHI,shot,,,,,,,,,,Tobias Harris,0,,,missed,,jump shot,20,-200,-5,45.0,4.5,MISS Harris 20' Jump Shot
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,2,2,0:10:30,0:01:30,0:00:04,8,MIA,rebound,,,,,,,,,,Gabe Vincent,,,,,,rebound defensive,,,,,,Vincent REBOUND (Off:0 Def:1)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,2,2,0:10:21,0:01:39,0:00:09,9,MIA,shot,,,,,,,,,,Jimmy Butler,0,,,missed,,3pt pullup jump shot,26,-146,209,10.399999999999999,68.1,MISS Butler 25' 3PT Pullup Jump Shot
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,2,2,0:10:18,0:01:42,0:00:03,10,PHI,rebound,,,,,,,,,,Tyrese Maxey,,,,,,rebound defensive,,,,,,Maxey REBOUND (Off:0 Def:2)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,2,2,0:10:11,0:01:49,0:00:07,11,PHI,turnover,,,,,,,,,,Danny Green,,,bad pass,,,bad pass,,,,,,Green Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,2,2,0:09:56,0:02:04,0:00:15,12,MIA,shot,,,,,,,,,,Bam Adebayo,0,,,missed,,jump shot,17,-4,169,24.6,72.1,MISS Adebayo 17' Pullup Jump Shot
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,2,2,0:09:56,0:02:04,0:00:00,13,PHI,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,2,2,0:09:46,0:02:14,0:00:10,14,PHI,shot,,,,,,,,,,Tobias Harris,0,,,missed,,driving floating jump shot,2,20,4,23.0,5.4,MISS Harris 2' Driving Floating Jump Shot
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,2,2,0:09:43,0:02:17,0:00:03,15,MIA,rebound,,,,,,,,,,Jimmy Butler,,,,,,rebound defensive,,,,,,Butler REBOUND (Off:0 Def:1)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,2,5,0:09:30,0:02:30,0:00:13,16,MIA,shot,P.J. Tucker,,,,,,,,,Jimmy Butler,3,,,made,,3pt jump shot,26,-235,108,1.5,78.2,Butler 26' 3PT Jump Shot (3 PTS) (Tucker 1 AST)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,2,5,0:09:12,0:02:48,0:00:18,17,PHI,shot,,,,,,,,,,James Harden,0,,,missed,,3pt pullup jump shot,25,237,80,1.2999999999999972,13.0,MISS Harden 25' 3PT Pullup Jump Shot
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,2,5,0:09:10,0:02:50,0:00:02,18,MIA,rebound,,,,,,,,,,Max Strus,,,,,,rebound defensive,,,,,,Strus REBOUND (Off:0 Def:1)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,2,5,0:08:58,0:03:02,0:00:12,19,MIA,shot,,,,,,,,,,Jimmy Butler,0,,,missed,,jump shot,7,46,52,29.6,83.8,MISS Butler 7' Turnaround Fadeaway Bank Jump Shot
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,2,7,0:08:54,0:03:06,0:00:04,20,MIA,shot,,,,,,,,,,Bam Adebayo,2,,,made,,dunk,0,0,0,25.0,89.0,Adebayo Tip Dunk Shot (2 PTS)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,2,7,0:08:54,0:03:06,0:00:00,21,MIA,rebound,,,,,,,,,,Bam Adebayo,,,,,,rebound offensive,,,,,,Adebayo REBOUND (Off:1 Def:0)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,5,7,0:08:32,0:03:28,0:00:22,22,PHI,shot,Danny Green,,,,,,,,,Tobias Harris,3,,,made,,3pt jump shot,24,-235,16,48.5,6.6,Harris 24' 3PT Jump Shot (3 PTS) (Green 1 AST)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,5,7,0:08:08,0:03:52,0:00:24,23,MIA,shot,,,,,,,,,,Gabe Vincent,0,,,missed,,3pt pullup jump shot,26,-119,232,13.1,65.8,MISS Vincent 26' 3PT Pullup Jump Shot
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,5,7,0:08:06,0:03:54,0:00:02,24,PHI,rebound,,,,,,,,,,Danny Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,7,7,0:08:02,0:03:58,0:00:04,25,PHI,shot,James Harden,,,,,,,,,Joel Embiid,2,,,made,,layup,2,15,8,23.5,5.8,Embiid 2' Running Finger Roll Layup (4 PTS) (Harden 1 AST)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,7,9,0:07:52,0:04:08,0:00:10,26,MIA,shot,,,,,,,,,,Jimmy Butler,2,,,made,,driving floating bank jump shot,4,37,22,28.7,86.8,Butler 4' Driving Floating Bank Jump Shot (5 PTS)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,9,9,0:07:45,0:04:15,0:00:07,27,PHI,shot,,,,,,,,,,James Harden,2,,,made,,driving floating jump shot,2,-10,22,26.0,7.2,Harden 2' Driving Floating Jump Shot (2 PTS)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,9,9,0:07:45,0:04:15,0:00:00,28,MIA,foul,,,,,,,,James Harden,,Max Strus,,,s.foul,,,shooting,,,,,,Strus S.FOUL (P1.T1) (J.Williams)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,10,9,0:07:45,0:04:15,0:00:00,29,PHI,free throw,,,,,,,1,,1,James Harden,1,,,made,,free throw 1/1,,,,,,Harden Free Throw 1 of 1 (3 PTS)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,10,11,0:07:28,0:04:32,0:00:17,30,MIA,shot,,,,,,,,,,Jimmy Butler,2,,,made,,jump shot,12,-6,125,24.4,76.5,Butler 13' Turnaround Jump Shot (7 PTS)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,10,11,0:07:02,0:04:58,0:00:26,31,PHI,shot,,,,,,,,,,Joel Embiid,0,,,missed,,jump shot,20,-99,178,34.9,22.8,MISS Embiid 20' Step Back Jump Shot
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,10,11,0:07:00,0:05:00,0:00:02,32,MIA,rebound,,,,,,,,,,Max Strus,,,,,,rebound defensive,,,,,,Strus REBOUND (Off:0 Def:2)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,10,11,0:07:00,0:05:00,0:00:00,33,PHI,foul,,,,,,,,Max Strus,,Danny Green,,,p.foul,,,personal,,,,,,Green P.FOUL (P1.T1) (K.Fitzgerald)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,10,11,0:06:54,0:05:06,0:00:06,34,MIA,turnover,,,,,,,,,,Max Strus,,,,,Joel Embiid,lost ball,,,,,,Strus Lost Ball Turnover (P1.T1): Embiid STEAL (1 STL)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,10,11,0:06:48,0:05:12,0:00:06,35,PHI,shot,,,,,,,,,,Tyrese Maxey,0,,,missed,,driving reverse layup,0,-5,2,25.5,5.2,MISS Maxey 1' Driving Reverse Layup
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,10,11,0:06:43,0:05:17,0:00:05,36,MIA,rebound,,,,,,,,,,Max Strus,,,,,,rebound defensive,,,,,,Strus REBOUND (Off:0 Def:3)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,10,13,0:06:41,0:05:19,0:00:02,37,MIA,shot,,,,,,,,,,Max Strus,2,,,made,,layup,1,9,-1,25.9,89.1,Strus 1' Running Layup (2 PTS)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,10,13,0:06:27,0:05:33,0:00:14,38,PHI,turnover,,,,,,,,,,James Harden,,,,,P.J. Tucker,lost ball,,,,,,Tucker STEAL (1 STL): Harden Lost Ball Turnover (P1.T2)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,10,15,0:06:22,0:05:38,0:00:05,39,MIA,shot,P.J. Tucker,,,,,,,,,Jimmy Butler,2,,,made,,dunk,0,4,3,25.4,88.7,Butler 1' Running Dunk (9 PTS) (Tucker 2 AST)
42100205,2021-22 Playoffs,2022-05-10,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,James Harden,Bam Adebayo,Gabe Vincent,Max Strus,P.J. Tucker,Jimmy Butler,1,10,15,0:06:05,0:05:55,0:00:17,40,PHI,turnover,,,,,,,,,,Danny Green,,,bad pass,,Bam Adebayo,bad pass,,,,,,Adebayo STEAL (1 STL): Green Bad Pass Turnover (P2.T3)
