game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
42100402,2021-22 Playoffs,2022-06-05,Robert Williams III,Marcus Smart,Al Horford,Jaylen Brown,Jayson Tatum,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Klay Thompson,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
42100402,2021-22 Playoffs,2022-06-05,Robert Williams III,Marcus Smart,Al Horford,Jaylen Brown,Jayson Tatum,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Klay Thompson,1,0,0,0:12:00,0:00:00,0:00:00,2,GSW,jump ball,,Robert Williams III,Kevon Looney,,,,,,,Robert Williams III,,Marcus Smart,,,,jump ball,,,,,,Jump Ball Looney vs. Williams III: Tip to Smart
42100402,2021-22 Playoffs,2022-06-05,Robert Williams III,Marcus Smart,Al Horford,Jaylen Brown,Jayson Tatum,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Klay Thompson,1,0,0,0:11:47,0:00:13,0:00:13,3,GSW,jump ball,,Al Horford,Draymond Green,,,,,,,Al Horford,,Robert Williams III,,,,jump ball,,,,,,Jump Ball Green vs. Horford: Tip to Williams III
42100402,2021-22 Playoffs,2022-06-05,Robert Williams III,Marcus Smart,Al Horford,Jaylen Brown,Jayson Tatum,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Klay Thompson,1,0,0,0:11:36,0:00:24,0:00:11,4,BOS,turnover,,,,,,,,,,Marcus Smart,,,bad pass,,,bad pass,,,,,,Smart Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
42100402,2021-22 Playoffs,2022-06-05,Robert Williams III,Marcus Smart,Al Horford,Jaylen Brown,Jayson Tatum,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Klay Thompson,1,0,3,0:11:25,0:00:35,0:00:11,5,GSW,shot,Kevon Looney,,,,,,,,,Andrew Wiggins,3,,,made,,3pt pullup jump shot,24,-54,239,19.6,65.1,Wiggins 25' 3PT Pullup Jump Shot (3 PTS) (Looney 1 AST)
42100402,2021-22 Playoffs,2022-06-05,Robert Williams III,Marcus Smart,Al Horford,Jaylen Brown,Jayson Tatum,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Klay Thompson,1,3,3,0:11:16,0:00:44,0:00:09,6,BOS,shot,,,,,,,,,,Jaylen Brown,3,,,made,,3pt jump shot,27,-186,200,43.6,25.0,Brown 27' 3PT Jump Shot (3 PTS)
42100402,2021-22 Playoffs,2022-06-05,Robert Williams III,Marcus Smart,Al Horford,Jaylen Brown,Jayson Tatum,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Klay Thompson,1,3,3,0:11:11,0:00:49,0:00:05,7,GSW,turnover,,,,,,,,,,Stephen Curry,,,bad pass,,Jayson Tatum,bad pass,,,,,,Curry Bad Pass Turnover (P1.T1): Tatum STEAL (1 STL)
42100402,2021-22 Playoffs,2022-06-05,Robert Williams III,Marcus Smart,Al Horford,Jaylen Brown,Jayson Tatum,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Klay Thompson,1,3,3,0:11:10,0:00:50,0:00:01,8,GSW,foul,,,,,,,,Jayson Tatum,,Kevon Looney,,,personal take foul,,,personal take,,,,,,Looney Personal Take Foul (P1.T1) (J.Tiven)
42100402,2021-22 Playoffs,2022-06-05,Robert Williams III,Marcus Smart,Al Horford,Jaylen Brown,Jayson Tatum,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Klay Thompson,1,5,3,0:10:57,0:01:03,0:00:13,9,BOS,shot,Jayson Tatum,,,,,,,,,Marcus Smart,2,,,made,,driving layup,10,-37,91,28.7,14.1,Smart 10' Driving Layup (2 PTS) (Tatum 1 AST)
42100402,2021-22 Playoffs,2022-06-05,Robert Williams III,Marcus Smart,Al Horford,Jaylen Brown,Jayson Tatum,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Klay Thompson,1,5,3,0:10:46,0:01:14,0:00:11,10,GSW,shot,,,,,,,,,,Klay Thompson,0,,,missed,,3pt jump shot,26,6,262,25.6,62.8,MISS Thompson 26' 3PT Jump Shot
42100402,2021-22 Playoffs,2022-06-05,Robert Williams III,Marcus Smart,Al Horford,Jaylen Brown,Jayson Tatum,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Klay Thompson,1,5,3,0:10:44,0:01:16,0:00:02,11,BOS,rebound,,,,,,,,,,Robert Williams III,,,,,,rebound defensive,,,,,,Williams III REBOUND (Off:0 Def:1)
42100402,2021-22 Playoffs,2022-06-05,Robert Williams III,Marcus Smart,Al Horford,Jaylen Brown,Jayson Tatum,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Klay Thompson,1,8,3,0:10:39,0:01:21,0:00:05,12,BOS,shot,Jayson Tatum,,,,,,,,,Jaylen Brown,3,,,made,,3pt running pull-up jump shot,26,-189,175,43.900000000000006,22.5,Brown 26' 3PT Running Pull-Up Jump Shot (6 PTS) (Tatum 2 AST)
42100402,2021-22 Playoffs,2022-06-05,Robert Williams III,Marcus Smart,Al Horford,Jaylen Brown,Jayson Tatum,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Klay Thompson,1,8,5,0:10:25,0:01:35,0:00:14,13,GSW,shot,Andrew Wiggins,,,,,,,,,Kevon Looney,2,,,made,,dunk,3,22,22,27.2,86.8,Looney 3' Dunk (2 PTS) (Wiggins 1 AST)
42100402,2021-22 Playoffs,2022-06-05,Robert Williams III,Marcus Smart,Al Horford,Jaylen Brown,Jayson Tatum,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Klay Thompson,1,10,5,0:10:09,0:01:51,0:00:16,14,BOS,shot,,,,,,,,,,Jayson Tatum,2,,,made,,layup,3,23,23,22.7,7.300000000000001,Tatum 3' Driving Finger Roll Layup (2 PTS)
