game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
42100404,2021-22 Playoffs,2022-06-10,Draymond Green,Klay Thompson,Stephen Curry,Otto Porter Jr.,Andrew Wiggins,Robert Williams III,Marcus Smart,Jayson Tatum,Al Horford,Jaylen Brown,1,0,0,0:12:00,0:00:00,0:00:00,1,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
42100404,2021-22 Playoffs,2022-06-10,Draymond Green,Klay Thompson,Stephen Curry,Otto Porter Jr.,Andrew Wiggins,Robert Williams III,Marcus Smart,Jayson Tatum,Al Horford,Jaylen Brown,1,0,0,0:12:00,0:00:00,0:00:00,2,BOS,jump ball,,Draymond Green,Robert Williams III,,,,,,,Robert Williams III,,Marcus Smart,,,,jump ball,,,,,,Jump Ball Williams III vs. Green: Tip to Smart
42100404,2021-22 Playoffs,2022-06-10,Draymond Green,Klay Thompson,Stephen Curry,Otto Porter Jr.,Andrew Wiggins,Robert Williams III,Marcus Smart,Jayson Tatum,Al Horford,Jaylen Brown,1,0,2,0:11:49,0:00:11,0:00:11,3,BOS,shot,Jayson Tatum,,,,,,,,,Marcus Smart,2,,,made,,layup,6,-17,54,23.3,83.6,Smart 6' Driving Finger Roll Layup (2 PTS) (Tatum 1 AST)
42100404,2021-22 Playoffs,2022-06-10,Draymond Green,Klay Thompson,Stephen Curry,Otto Porter Jr.,Andrew Wiggins,Robert Williams III,Marcus Smart,Jayson Tatum,Al Horford,Jaylen Brown,1,2,2,0:11:22,0:00:38,0:00:27,4,GSW,shot,,,,,,,,,,Klay Thompson,2,,,made,,layup,4,34,12,21.6,6.2,Thompson 4' Driving Finger Roll Layup (2 PTS)
42100404,2021-22 Playoffs,2022-06-10,Draymond Green,Klay Thompson,Stephen Curry,Otto Porter Jr.,Andrew Wiggins,Robert Williams III,Marcus Smart,Jayson Tatum,Al Horford,Jaylen Brown,1,2,2,0:10:56,0:01:04,0:00:26,5,GSW,foul,,,,,,,,Jayson Tatum,,Stephen Curry,,,s.foul,,,shooting,,,,,,Curry S.FOUL (P1.T1) (K.Fitzgerald)
42100404,2021-22 Playoffs,2022-06-10,Draymond Green,Klay Thompson,Stephen Curry,Otto Porter Jr.,Andrew Wiggins,Robert Williams III,Marcus Smart,Jayson Tatum,Al Horford,Jaylen Brown,1,2,2,0:10:56,0:01:04,0:00:00,6,BOS,free throw,,,,,,,1,,2,Jayson Tatum,0,,,missed,,free throw 1/2,,,,,,MISS Tatum Free Throw 1 of 2
42100404,2021-22 Playoffs,2022-06-10,Draymond Green,Klay Thompson,Stephen Curry,Otto Porter Jr.,Andrew Wiggins,Robert Williams III,Marcus Smart,Jayson Tatum,Al Horford,Jaylen Brown,1,2,2,0:10:56,0:01:04,0:00:00,7,BOS,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,CELTICS Rebound
42100404,2021-22 Playoffs,2022-06-10,Draymond Green,Klay Thompson,Stephen Curry,Otto Porter Jr.,Andrew Wiggins,Robert Williams III,Marcus Smart,Jayson Tatum,Al Horford,Jaylen Brown,1,2,3,0:10:56,0:01:04,0:00:00,8,BOS,free throw,,,,,,,2,,2,Jayson Tatum,1,,,made,,free throw 2/2,,,,,,Tatum Free Throw 2 of 2 (1 PTS)
42100404,2021-22 Playoffs,2022-06-10,Draymond Green,Klay Thompson,Stephen Curry,Otto Porter Jr.,Andrew Wiggins,Robert Williams III,Marcus Smart,Jayson Tatum,Al Horford,Jaylen Brown,1,2,3,0:10:44,0:01:16,0:00:12,9,BOS,foul,,,,,,,,Stephen Curry,,Marcus Smart,,,s.foul,,,shooting,,,,,,Smart S.FOUL (P1.T1) (K.Fitzgerald)
42100404,2021-22 Playoffs,2022-06-10,Draymond Green,Klay Thompson,Stephen Curry,Otto Porter Jr.,Andrew Wiggins,Robert Williams III,Marcus Smart,Jayson Tatum,Al Horford,Jaylen Brown,1,3,3,0:10:44,0:01:16,0:00:00,10,GSW,free throw,,,,,,,1,,2,Stephen Curry,1,,,made,,free throw 1/2,,,,,,Curry Free Throw 1 of 2 (1 PTS)
